ID;Arbeidspositie;Arbeidsverleden;Geslacht;Persoonskenmerken;Perioden;NietWerkzameBevolking_1
0;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2021 1e kwartaal;4013
1;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2021 2e kwartaal;3932
2;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2021 3e kwartaal;3820
3;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2021 4e kwartaal;3800
4;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2021;3891
5;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2022 1e kwartaal;3763
6;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2022 2e kwartaal;3668
7;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2022 3e kwartaal;3660
8;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2022 4e kwartaal;3628
9;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2022;3680
10;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2023 1e kwartaal;3639
11;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2023 2e kwartaal;3579
12;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2023 3e kwartaal;3565
13;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2023 4e kwartaal;3572
14;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2023;3589
15;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2024 1e kwartaal;3608
16;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2024 2e kwartaal;3555
17;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2024 3e kwartaal;3587
18;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2024 4e kwartaal;3609
19;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2024;3590
20;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2021 1e kwartaal;664
21;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2021 2e kwartaal;612
22;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2021 3e kwartaal;553
23;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2021 4e kwartaal;573
24;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2021;600
25;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2022 1e kwartaal;559
26;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2022 2e kwartaal;514
27;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2022 3e kwartaal;508
28;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2022 4e kwartaal;522
29;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2022;526
30;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2023 1e kwartaal;537
31;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2023 2e kwartaal;497
32;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2023 3e kwartaal;491
33;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2023 4e kwartaal;516
34;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2023;510
35;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2024 1e kwartaal;539
36;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2024 2e kwartaal;505
37;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2024 3e kwartaal;516
38;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2024 4e kwartaal;527
39;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2024;522
40;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2021 1e kwartaal;293
41;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2021 2e kwartaal;300
42;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2021 3e kwartaal;290
43;Niet-werkzame bevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2021 4e kwartaal;276
