ID;TripCharacteristics;Population;ModesOfTravel;Margins;RegionCharacteristics;Periods;AverageDistanceTravelledPerTrip_1;AverageTravelTimePerTrip_2
0;Total;Population 6 years or older;Total;Value;The Netherlands;2018;13.0;26.81
1;Total;Population 6 years or older;Total;Value;The Netherlands;2019;13.29;27.46
2;Total;Population 6 years or older;Total;Value;The Netherlands;2020;10.58;26.34
3;Total;Population 6 years or older;Total;Value;The Netherlands;2021;10.87;27.87
4;Total;Population 6 years or older;Total;Value;The Netherlands;2022;11.2;26.96
5;Total;Population 6 years or older;Total;Value;The Netherlands;2023;11.76;27.05
6;Total;Population 6 years or older;Total;Value;Noord-Nederland (LD);2018;14.8;26.82
7;Total;Population 6 years or older;Total;Value;Noord-Nederland (LD);2019;15.41;27.92
8;Total;Population 6 years or older;Total;Value;Noord-Nederland (LD);2020;11.75;25.85
9;Total;Population 6 years or older;Total;Value;Noord-Nederland (LD);2021;12.63;28.12
10;Total;Population 6 years or older;Total;Value;Noord-Nederland (LD);2022;13.11;27.71
11;Total;Population 6 years or older;Total;Value;Noord-Nederland (LD);2023;12.9;26.51
12;Total;Population 6 years or older;Total;Value;Oost-Nederland (LD);2018;13.62;26.06
13;Total;Population 6 years or older;Total;Value;Oost-Nederland (LD);2019;13.97;26.81
14;Total;Population 6 years or older;Total;Value;Oost-Nederland (LD);2020;11.21;25.62
15;Total;Population 6 years or older;Total;Value;Oost-Nederland (LD);2021;11.49;27.03
16;Total;Population 6 years or older;Total;Value;Oost-Nederland (LD);2022;11.69;26.05
17;Total;Population 6 years or older;Total;Value;Oost-Nederland (LD);2023;12.35;26.0
18;Total;Population 6 years or older;Total;Value;West-Nederland (LD);2018;12.56;27.65
19;Total;Population 6 years or older;Total;Value;West-Nederland (LD);2019;12.93;28.5
20;Total;Population 6 years or older;Total;Value;West-Nederland (LD);2020;10.32;27.52
21;Total;Population 6 years or older;Total;Value;West-Nederland (LD);2021;10.51;28.9
22;Total;Population 6 years or older;Total;Value;West-Nederland (LD);2022;10.66;27.61
23;Total;Population 6 years or older;Total;Value;West-Nederland (LD);2023;11.37;28.15
24;Total;Population 6 years or older;Total;Value;Zuid-Nederland (LD);2018;12.51;25.73
25;Total;Population 6 years or older;Total;Value;Zuid-Nederland (LD);2019;12.41;25.6
