ID;Geslacht;Kenmerken;Perioden;WerknemersMetKinderenTot8Jaar_1;WerknemersMetOuderschapsverlof_2;GeenOuderschapsverlofWelBehoefte_3;GeenOuderschapsverlofGeenBehoefte_4;OuderschapsverlofOnbekend_5
0;Mannen en vrouwen;Totaal kenmerken;2005;1366.0;121.0;140.0;993.0;112.0
1;Mannen en vrouwen;Totaal kenmerken;2007;1392.0;122.0;161.0;979.0;130.0
2;Mannen en vrouwen;Totaal kenmerken;2009;1371.0;126.0;148.0;971.0;127.0
3;Mannen en vrouwen;Totaal kenmerken;2011;1328.0;160.0;111.0;932.0;125.0
4;Mannen en vrouwen;Totaal kenmerken;2013;1260.0;182.0;109.0;840.0;129.0
5;Mannen en vrouwen;Arbeidsduur: 12 tot 24 uur per week;2005;312.0;29.0;21.0;223.0;38.0
6;Mannen en vrouwen;Arbeidsduur: 12 tot 24 uur per week;2007;299.0;21.0;22.0;212.0;43.0
7;Mannen en vrouwen;Arbeidsduur: 12 tot 24 uur per week;2009;275.0;18.0;20.0;199.0;37.0
8;Mannen en vrouwen;Arbeidsduur: 12 tot 24 uur per week;2011;248.0;23.0;15.0;182.0;28.0
9;Mannen en vrouwen;Arbeidsduur: 12 tot 24 uur per week;2013;203.0;21.0;9.0;142.0;31.0
10;Mannen en vrouwen;Arbeidsduur: 24 tot 35 uur per week;2005;326.0;46.0;38.0;201.0;42.0
11;Mannen en vrouwen;Arbeidsduur: 24 tot 35 uur per week;2007;362.0;48.0;44.0;222.0;49.0
12;Mannen en vrouwen;Arbeidsduur: 24 tot 35 uur per week;2009;390.0;55.0;45.0;238.0;52.0
13;Mannen en vrouwen;Arbeidsduur: 24 tot 35 uur per week;2011;401.0;69.0;33.0;242.0;57.0
14;Mannen en vrouwen;Arbeidsduur: 24 tot 35 uur per week;2013;411.0;90.0;32.0;232.0;57.0
15;Mannen en vrouwen;Arbeidsduur: 35 uur of meer per week;2005;728.0;46.0;81.0;569.0;32.0
16;Mannen en vrouwen;Arbeidsduur: 35 uur of meer per week;2007;730.0;53.0;94.0;545.0;37.0
17;Mannen en vrouwen;Arbeidsduur: 35 uur of meer per week;2009;706.0;52.0;83.0;533.0;38.0
18;Mannen en vrouwen;Arbeidsduur: 35 uur of meer per week;2011;679.0;67.0;63.0;508.0;40.0
19;Mannen en vrouwen;Arbeidsduur: 35 uur of meer per week;2013;646.0;72.0;68.0;465.0;41.0
20;Mannen en vrouwen;Inkomen: tot  20 000 euro;2005;82.0;5.0;11.0;58.0;8.0
21;Mannen en vrouwen;Inkomen: tot  20 000 euro;2007;46.0;2.0;6.0;33.0;5.0
22;Mannen en vrouwen;Inkomen: tot  20 000 euro;2009;39.0;;4.0;30.0;3.0
23;Mannen en vrouwen;Inkomen: tot  20 000 euro;2011;;;;;
24;Mannen en vrouwen;Inkomen: tot  20 000 euro;2013;;;;;
25;Mannen en vrouwen;Inkomen: 20 000 tot  30 000 euro;2005;400.0;20.0;33.0;325.0;21.0
26;Mannen en vrouwen;Inkomen: 20 000 tot  30 000 euro;2007;259.0;11.0;31.0;200.0;17.0
27;Mannen en vrouwen;Inkomen: 20 000 tot  30 000 euro;2009;190.0;8.0;24.0;145.0;12.0
28;Mannen en vrouwen;Inkomen: 20 000 tot  30 000 euro;2011;;;;;
29;Mannen en vrouwen;Inkomen: 20 000 tot  30 000 euro;2013;;;;;
30;Mannen en vrouwen;Inkomen: 30 000 tot  40 000 euro;2005;489.0;45.0;51.0;352.0;42.0
31;Mannen en vrouwen;Inkomen: 30 000 tot  40 000 euro;2007;515.0;43.0;63.0;366.0;44.0
32;Mannen en vrouwen;Inkomen: 30 000 tot  40 000 euro;2009;437.0;30.0;52.0;324.0;32.0
33;Mannen en vrouwen;Inkomen: 30 000 tot  40 000 euro;2011;;;;;
34;Mannen en vrouwen;Inkomen: 30 000 tot  40 000 euro;2013;;;;;
35;Mannen en vrouwen;Inkomen: 40 000 tot  50 000 euro;2005;210.0;23.0;24.0;137.0;26.0
36;Mannen en vrouwen;Inkomen: 40 000 tot  50 000 euro;2007;285.0;30.0;31.0;191.0;34.0
37;Mannen en vrouwen;Inkomen: 40 000 tot  50 000 euro;2009;326.0;34.0;31.0;224.0;37.0
38;Mannen en vrouwen;Inkomen: 40 000 tot  50 000 euro;2011;;;;;
39;Mannen en vrouwen;Inkomen: 40 000 tot  50 000 euro;2013;;;;;
40;Mannen en vrouwen;Inkomen: 50 000 euro en meer;2005;178.0;27.0;20.0;116.0;16.0
41;Mannen en vrouwen;Inkomen: 50 000 euro en meer;2007;278.0;37.0;28.0;183.0;31.0
42;Mannen en vrouwen;Inkomen: 50 000 euro en meer;2009;356.0;51.0;35.0;229.0;41.0
43;Mannen en vrouwen;Inkomen: 50 000 euro en meer;2011;;;;;
44;Mannen en vrouwen;Inkomen: 50 000 euro en meer;2013;;;;;
45;Mannen en vrouwen;Inkomen onbekend;2005;7.0;;;5.0;
46;Mannen en vrouwen;Inkomen onbekend;2007;9.0;;;7.0;
