ID;Periods;ConsumerConfidence_1;EconomicClimate_2;WillingnessToBuy_3;EconomicSituationLast12Months_4;EconomicSituationNext12Months_5;FinancialSituationLast12Months_6;FinancialSituationNext12Months_7;RightTimeToMakeLargePurchases_8;Total_9;GotALotBetter_10;GotALittleBetter_11;StayedTheSame_12;GotALittleWorse_13;GotALotWorse_14;DoNotKnow_15;Total_16;GotALotBetter_17;GotALittleBetter_18;StayedTheSame_19;GotALittleWorse_20;GotALotWorse_21;DoNotKnow_22;Total_23;GotALotBetter_24;GotALittleBetter_25;StayedTheSame_26;GotALittleWorse_27;GotALotWorse_28;DoNotKnow_29;Total_30;GotALotBetter_31;GotALittleBetter_32;StayedTheSame_33;GotALittleWorse_34;GotALotWorse_35;DoNotKnow_36;Total_37;YesItIsTheRightMomentNow_38;ItIsNeitherTheRightMomentNorTheW_39;NoItIsNotTheRightMomentNow_40;DoNotKnow_41;Total_42;RisenALot_43;RisenModerately_44;RisenSlightly_45;StayedAboutTheSame_46;Fallen_47;DonTKnow_48;Total_49;IncreaseMoreRapidly_50;IncreaseAtTheSameRate_51;IncreaseAtASlowerRate_52;StayAboutTheSame_53;Fall_54;DoNotKnow_55;Total_56;IncreaseSharply_57;IncreaseSlightly_58;RemainTheSame_59;FallSlightly_60;FallSharply_61;DoNotKnow_62;Total_63;RunningIntoDebt_64;HavingToDrawOnOurSavings_65;JustManagingToMakeEndsMeet_66;SavingALittle_67;SavingALot_68;DoNotKnow_69;Total_70;VeryLikely_71;FairlyLikely_72;NotLikely_73;NotAtAllLikely_74;DoNotKnow_75;Total_76;AVeryGoodMomentToSave_77;AFairlyGoodMomentToSave_78;NotAGoodMomentToSave_79;AVeryBadMomentToSave_80;DoNotKnow_81;Total_82;MuchMore_83;ALittleMore_84;AboutTheSame_85;ALittleLess_86;MuchLess_87;DoNotKnow_88;Total_89;VeryLikely_90;FairlyLikely_91;NotLikely_92;NotAtAllLikely_93;DoNotKnow_94;Total_95;YesDefinitely_96;Possibly_97;ProbablyNot_98;NoCertainlyNot_99;DoNotKnow_100;Total_101;VeryLikely_102;FairlyLikely_103;NotLikely_104;NotAtAllLikely_105;DoNotKnow_106;Total_107;FoodBeveragesTobacco_108;ClothingAndFootwear_109;CarAndTransportation_110;VacationCityTrips_111;CateringEntertainmentMembershipsCu_112;HousingEnergyInternetTelephone_113;EconomiseOnNothingParticularWillNo_114;DoNotKnow_115
0;2017 January;23;44;9;45;42;0;11;17;100;7;51;26;10;3;3;100;7;46;33;8;2;4;100;4;21;48;20;6;1;100;4;21;56;13;2;3;100;29;54;12;5;100;9;35;24;28;1;3;100;13;39;15;27;1;4;100;3;14;26;49;4;3;100;3;11;27;44;10;5;100;21;40;23;10;6;100;2;31;42;16;8;100;4;15;44;15;16;7;100;8;18;36;35;3;100;3;6;17;71;2;100;10;19;23;46;2;100;8;7;6;23;6;5;39;6
1;2017 February;23;42;10;44;41;3;9;17;100;8;50;26;10;3;3;100;5;46;33;9;2;5;100;5;23;47;19;6;0;100;4;21;56;14;3;2;100;28;56;11;6;100;11;41;21;25;0;3;100;13;40;15;27;1;4;100;3;14;21;54;6;2;100;3;10;26;48;8;4;100;18;42;25;11;4;100;4;34;38;16;8;100;5;13;44;17;16;6;100;8;18;35;36;2;100;4;8;16;72;1;100;9;15;25;49;2;100;6;6;5;24;6;5;42;5
2;2017 March;24;47;8;47;47;-4;11;17;100;10;49;26;8;3;4;100;8;48;29;8;1;6;100;5;20;46;23;5;1;100;4;23;55;13;2;3;100;29;54;12;5;100;13;36;22;25;1;4;100;22;39;5;24;1;9;100;3;14;24;49;6;5;100;4;10;27;46;9;5;100;19;39;27;9;5;100;4;35;40;13;8;100;3;12;49;16;14;6;100;9;18;36;34;3;100;3;7;16;71;2;100;9;16;25;48;2;100;6;8;4;23;6;5;43;6
3;2017 1st quarter;23;44;9;45;43;0;10;17;100;8;50;26;10;3;3;100;7;47;32;8;2;5;100;4;21;47;21;6;1;100;4;22;56;13;2;3;100;29;54;12;5;100;11;37;22;26;1;3;100;16;39;12;26;1;6;100;3;14;24;51;5;4;100;3;10;27;46;9;5;100;20;40;25;10;5;100;3;34;40;15;8;100;4;13;45;16;15;6;100;8;18;36;35;3;100;3;7;16;71;2;100;9;17;24;48;2;100;7;7;5;23;6;5;41;6
4;2017 April;27;51;11;50;51;2;13;18;100;11;50;25;9;2;3;100;9;49;30;6;1;6;100;4;22;48;18;7;1;100;3;25;54;12;3;3;100;29;54;11;6;100;12;39;20;24;0;4;100;23;38;6;25;2;7;100;4;12;22;52;5;4;100;4;9;26;46;9;5;100;17;42;25;12;3;100;4;32;41;17;6;100;3;13;49;14;16;5;100;7;18;37;35;4;100;4;7;16;72;2;100;8;17;24;48;2;100;7;7;4;23;6;4;43;5
5;2017 May;21;44;6;46;42;-4;9;14;100;9;49;26;9;3;4;100;7;45;32;8;2;6;100;4;22;45;21;8;1;100;3;23;55;12;4;4;100;27;53;13;8;100;14;38;21;21;0;4;100;22;37;5;25;2;10;100;4;14;24;47;5;5;100;5;12;27;42;9;5;100;17;38;28;11;6;100;4;36;40;15;6;100;3;13;45;13;19;7;100;7;18;36;35;4;100;4;7;14;73;2;100;10;16;23;47;3;100;7;6;5;25;6;5;41;4
6;2017 June;24;43;12;47;40;5;10;20;100;14;45;25;9;3;5;100;6;45;32;9;2;6;100;5;23;48;18;5;1;100;4;22;56;13;3;3;100;30;55;10;5;100;12;37;21;24;0;5;100;22;40;5;24;2;7;100;4;14;23;48;7;4;100;3;9;26;47;9;6;100;20;39;23;12;5;100;2;34;40;15;7;100;2;10;51;14;17;5;100;6;18;37;37;3;100;3;8;17;70;2;100;9;16;23;49;2;100;8;7;4;23;5;6;40;6
7;2017 2nd quarter;24;46;10;48;44;1;11;17;100;11;48;25;9;3;4;100;7;46;32;8;1;6;100;4;22;47;19;7;1;100;3;23;55;12;3;3;100;28;54;11;6;100;13;38;21;23;0;4;100;22;38;5;24;2;8;100;4;13;23;49;6;5;100;4;10;26;45;9;5;100;18;40;25;12;5;100;3;34;41;16;7;100;3;12;48;14;17;6;100;7;18;36;35;4;100;4;7;16;72;2;100;9;17;23;48;2;100;7;7;4;23;6;5;41;5
8;2017 July;26;47;13;50;43;6;13;20;100;11;49;27;7;2;3;100;7;46;33;7;2;5;100;4;25;47;17;6;1;100;3;25;55;12;2;3;100;32;51;12;6;100;13;37;17;27;0;5;100;25;35;6;24;1;9;100;5;13;24;47;7;3;100;3;11;26;47;9;5;100;17;42;24;11;5;100;2;31;45;15;6;100;4;14;49;13;15;5;100;9;19;35;35;2;100;4;7;16;71;2;100;10;17;25;46;2;100;9;7;6;23;6;6;38;5
9;2017 August;28;52;12;58;46;5;11;20;100;12;54;21;5;3;5;100;7;47;32;6;2;5;100;6;21;50;17;5;1;100;3;22;57;13;1;4;100;31;52;11;6;100;12;41;19;24;1;4;100;22;38;6;25;2;7;100;3;11;23;51;8;4;100;3;11;24;46;11;5;100;21;39;25;9;5;100;4;33;38;17;7;100;4;11;49;16;14;5;100;6;23;34;33;4;100;2;7;19;69;2;100;9;17;26;46;2;100;7;7;5;20;6;6;44;5
