ID;Herkomst;Kenmerken;ParticuliereHuishoudensMetInkomen_1;BesteedbaarInkomen_2;GestandaardiseerdInkomen_3;AantalHuishoudensMet52WekenInkomen_4;BesteedbaarInkomen_5;GestandaardiseerdInkomen_6;MetLaagInkomen_7;MetLangdurigLaagInkomen_8;OnderOfRondSociaalMinimum_9
0;Nederland;Totaal Kenmerken;6623.8;25.9;18.0;6477.2;26.2;18.2;825.5;370.7;610.7
1;Nederland;Sociaal economische categorie: actief;4275.3;29.7;19.6;4219.3;30.0;19.8;256.6;52.6;165.9
2;Nederland;Sociaal economische categorie: pensioen;1550.0;19.9;16.3;1547.3;20.0;16.3;223.6;142.2;183.6
3;Nederland;Soc. econ. categorie:overige uitkeringen;798.5;17.0;12.4;710.6;17.2;12.6;345.2;175.8;261.3
4;Nederland;Eenpersoonshuishoudens;2141.3;15.6;15.6;2053.7;15.9;15.9;448.2;233.9;330.6
5;Nederland;Meerpersoonshuishoudens zonder kinderen;2629.5;31.0;21.0;2604.5;31.1;21.1;129.4;45.0;120.9
6;Nederland;Meerpersoonshuishoudens met kinderen;1853.0;30.5;16.4;1819.0;30.8;16.5;247.8;91.8;159.2
7;Nederland;Leeftijd hoofdkostwinner: tot 45 jaar;3007.7;25.8;17.4;2903.2;26.4;17.7;373.9;115.5;253.1
8;Nederland;Leeftijd hoofdkostwinner: 45-65 jaar;2226.5;29.7;19.8;2186.1;30.0;19.9;242.4;117.3;180.7
9;Nederland;Leeftijd hoofdkostwinner: 65 jr en ouder;1389.6;20.0;16.4;1388.0;20.0;16.4;209.2;137.8;176.9
10;Autochtonen;Totaal Kenmerken;5505.6;26.4;18.3;5421.9;26.6;18.5;585.8;270.6;434.4
11;Autochtonen;Sociaal economische categorie: actief;3559.6;30.3;20.0;3532.9;30.5;20.1;184.0;36.4;121.7
12;Autochtonen;Sociaal economische categorie: pensioen;1392.8;19.9;16.3;1390.5;19.9;16.3;192.7;123.4;156.5
13;Autochtonen;Soc. econ. categorie:overige uitkeringen;553.2;17.7;13.1;498.5;17.9;13.3;209.2;110.7;156.3
14;Autochtonen;Eenpersoonshuishoudens;1739.6;15.9;15.9;1691.2;16.1;16.1;342.4;188.2;251.4
15;Autochtonen;Meerpersoonshuishoudens zonder kinderen;2293.9;31.2;21.2;2278.1;31.3;21.2;97.1;33.7;91.1
16;Autochtonen;Meerpersoonshuishoudens met kinderen;1472.1;31.5;16.9;1452.6;31.6;17.0;146.3;48.6;91.9
17;Autochtonen;Leeftijd hoofdkostwinner: tot 45 jaar;2378.6;26.7;18.0;2324.5;27.1;18.2;234.8;69.7;157.2
18;Autochtonen;Leeftijd hoofdkostwinner: 45-65 jaar;1874.4;30.3;20.1;1845.7;30.6;20.2;171.8;82.1;127.9
19;Autochtonen;Leeftijd hoofdkostwinner: 65 jr en ouder;1252.6;20.0;16.4;1251.7;20.0;16.4;179.2;118.8;149.4
20;Allochtonen;Totaal Kenmerken;1113.1;23.2;16.1;1051.4;24.1;16.7;238.8;100.1;175.6
21;Allochtonen;Sociaal economische categorie: actief;712.3;26.6;17.9;683.4;27.5;18.5;72.3;16.2;43.9
22;Allochtonen;Sociaal economische categorie: pensioen;156.9;20.2;16.4;156.5;20.2;16.4;30.8;18.8;26.9
23;Allochtonen;Soc. econ. categorie:overige uitkeringen;243.9;15.3;10.8;211.5;15.6;11.0;135.8;65.1;104.8
24;Allochtonen;Eenpersoonshuishoudens;398.6;14.3;14.3;360.3;15.2;15.2;105.3;45.6;78.7
25;Allochtonen;Meerpersoonshuishoudens zonder kinderen;334.4;29.8;20.2;325.3;30.2;20.4;32.2;11.3;29.7
26;Allochtonen;Meerpersoonshuishoudens met kinderen;380.1;26.8;14.4;365.8;27.3;14.7;101.3;43.1;67.3
27;Allochtonen;Leeftijd hoofdkostwinner: tot 45 jaar;625.4;22.2;15.1;576.0;23.4;15.8;138.5;45.8;95.5
28;Allochtonen;Leeftijd hoofdkostwinner: 45-65 jaar;351.0;26.4;17.9;339.5;26.8;18.1;70.5;35.3;52.7
