ID;Geslacht;Leeftijdsklassen;Herkomstgroepering;Perioden;TotaleBevolking_1;Werknemers_2;Zelfstandigen_3;PersonenMetEenUitkeringTotaal_4;PersonenMetEenAOUitkering_5;PersonenMetEenWWUitkering_6;PersonenMetEenBijstandsuitkering_7;PersonenMetEenAndereUitkering_8;PersonenMetPensioen_9;TotaleBevolking_10;Werknemers_11;Zelfstandigen_12;PersonenMetEenUitkeringTotaal_13;PersonenMetEenAOUitkering_14;PersonenMetEenWWUitkering_15;PersonenMetEenBijstandsuitkering_16;PersonenMetEenAndereUitkering_17;PersonenMetPensioen_18
0;Totaal mannen en vrouwen;0;0;1999, vrijdag 24 september;15842.7;6762.0;803.7;1811.4;855.3;174.7;455.7;468.3;2497.3;100.0;43.0;5.0;11.0;5.0;1.0;3.0;3.0;16.0
1;Totaal mannen en vrouwen;0;0;2000, vrijdag 29 september;15962.6;6915.1;828.0;1756.2;876.2;145.5;425.5;454.0;2540.5;100.0;43.0;5.0;11.0;5.0;1.0;3.0;3.0;16.0
2;Totaal mannen en vrouwen;0;0;2001, vrijdag 28 september;16086.0;7057.0;835.0;1735.0;895.7;130.3;406.3;451.8;2588.3;100.0;44.0;5.0;11.0;6.0;1.0;3.0;3.0;16.0
3;Totaal mannen en vrouwen;0;0;2002, vrijdag 27 september;16182.4;7107.0;827.3;1740.9;912.1;150.3;401.4;440.1;2636.1;100.0;44.0;5.0;11.0;6.0;1.0;2.0;3.0;16.0
4;Totaal mannen en vrouwen;0;0;2003, vrijdag 26 september;16250.9;7065.4;825.3;1808.4;906.6;213.1;419.5;449.5;2691.9;100.0;43.0;5.0;11.0;6.0;1.0;3.0;3.0;17.0
5;Totaal mannen en vrouwen;0;0;2004, vrijdag 24 september;16297.4;6980.7;800.5;1836.1;893.4;253.6;427.5;452.0;2755.1;100.0;43.0;5.0;11.0;5.0;2.0;3.0;3.0;17.0
6;Totaal mannen en vrouwen;0;0;2005, vrijdag 30 september;16330.6;7000.4;817.0;1814.4;849.5;251.3;430.8;494.9;2822.9;100.0;43.0;5.0;11.0;5.0;2.0;3.0;3.0;17.0
7;Totaal mannen en vrouwen;0;0;2006, vrijdag 29 september;16353.9;7093.8;869.0;1749.9;798.1;214.6;407.1;521.5;2863.1;100.0;43.0;5.0;11.0;5.0;1.0;2.0;3.0;18.0
8;Totaal mannen en vrouwen;0;0;2007, vrijdag 28 september;16401.0;7331.1;901.3;1607.1;783.3;164.5;374.2;;2942.6;100.0;45.0;5.0;10.0;5.0;1.0;2.0;;18.0
9;Totaal mannen en vrouwen;0;0;2008, vrijdag 26 september;16472.2;7412.6;925.8;1556.0;774.1;134.4;360.2;;2999.8;100.0;45.0;6.0;9.0;5.0;1.0;2.0;;18.0
10;Totaal mannen en vrouwen;0;1;1999, vrijdag 24 september;13084.0;5730.8;708.0;1346.9;709.3;137.1;235.2;377.6;2250.8;100.0;44.0;5.0;10.0;5.0;1.0;2.0;3.0;17.0
11;Totaal mannen en vrouwen;0;1;2000, vrijdag 29 september;13112.1;5827.1;725.6;1302.2;723.0;113.5;213.5;366.5;2282.3;100.0;44.0;6.0;10.0;6.0;1.0;2.0;3.0;17.0
12;Totaal mannen en vrouwen;0;1;2001, vrijdag 28 september;13136.8;5926.1;726.1;1281.0;736.1;100.6;197.6;363.3;2318.3;100.0;45.0;6.0;10.0;6.0;1.0;2.0;3.0;18.0
13;Totaal mannen en vrouwen;0;1;2002, vrijdag 27 september;13154.0;5960.0;717.4;1277.5;746.7;112.8;190.1;355.7;2353.3;100.0;45.0;5.0;10.0;6.0;1.0;1.0;3.0;18.0
14;Totaal mannen en vrouwen;0;1;2003, vrijdag 26 september;13167.2;5928.2;713.5;1315.7;740.1;157.2;194.5;364.9;2395.7;100.0;45.0;5.0;10.0;6.0;1.0;1.0;3.0;18.0
15;Totaal mannen en vrouwen;0;1;2004, vrijdag 24 september;13179.2;5861.9;691.1;1329.3;727.9;186.1;196.3;368.3;2446.2;100.0;44.0;5.0;10.0;6.0;1.0;1.0;3.0;19.0
16;Totaal mannen en vrouwen;0;1;2005, vrijdag 30 september;13188.0;5864.8;704.1;1310.0;693.0;186.3;196.6;402.9;2498.5;100.0;44.0;5.0;10.0;5.0;1.0;1.0;3.0;19.0
17;Totaal mannen en vrouwen;0;1;2006, vrijdag 29 september;13187.5;5906.9;745.6;1257.0;651.4;161.4;182.4;414.5;2539.1;100.0;45.0;6.0;10.0;5.0;1.0;1.0;3.0;19.0
18;Totaal mannen en vrouwen;0;1;2007, vrijdag 28 september;13192.1;6066.4;767.2;1148.7;637.3;124.4;164.3;;2593.5;100.0;46.0;6.0;9.0;5.0;1.0;1.0;;20.0
19;Totaal mannen en vrouwen;0;1;2008, vrijdag 26 september;13197.6;6098.7;784.1;1102.5;626.2;100.2;151.0;;2639.9;100.0;46.0;6.0;8.0;5.0;1.0;1.0;;20.0
20;Totaal mannen en vrouwen;0;2;1999, vrijdag 24 september;2758.5;1031.1;95.7;464.4;146.1;37.6;220.5;90.8;246.5;100.0;37.0;3.0;17.0;5.0;1.0;8.0;3.0;9.0
21;Totaal mannen en vrouwen;0;2;2000, vrijdag 29 september;2850.4;1088.0;102.5;454.0;153.1;32.0;212.0;87.5;258.2;100.0;38.0;4.0;16.0;5.0;1.0;7.0;3.0;9.0
22;Totaal mannen en vrouwen;0;2;2001, vrijdag 28 september;2949.2;1130.9;109.0;453.9;159.6;29.7;208.8;88.4;270.1;100.0;38.0;4.0;15.0;5.0;1.0;7.0;3.0;9.0
23;Totaal mannen en vrouwen;0;2;2002, vrijdag 27 september;3028.3;1147.0;110.0;463.4;165.4;37.5;211.4;84.4;282.8;100.0;38.0;4.0;15.0;5.0;1.0;7.0;3.0;9.0
24;Totaal mannen en vrouwen;0;2;2003, vrijdag 26 september;3083.7;1137.2;111.8;492.7;166.6;56.0;225.0;84.6;296.2;100.0;37.0;4.0;16.0;5.0;2.0;7.0;3.0;10.0
