ID;Sectors;Periods;LabourVolume_1;Expenditure_2
0;Total health-related R&D;2003;17.9;1929
1;Total health-related R&D;2004;17.6;1899
2;Total health-related R&D;2005;18.0;2036
3;Total health-related R&D;2006;19.8;2306
4;Total health-related R&D;2007;21.4;2580
5;H-r R&D universities and un. hospitals;2003;9.5;881
6;H-r R&D universities and un. hospitals;2004;9.8;895
7;H-r R&D universities and un. hospitals;2005;9.9;956
8;H-r R&D universities and un. hospitals;2006;10.1;987
9;H-r R&D universities and un. hospitals;2007;10.4;1069
10;H-r R&D pharmaceutical industry;2003;2.9;462
11;H-r R&D pharmaceutical industry;2004;2.7;458
12;H-r R&D pharmaceutical industry;2005;2.9;479
13;H-r R&D pharmaceutical industry;2006;1.9;299
14;H-r R&D pharmaceutical industry;2007;2.0;319
15;H-r R&D other ind. & wholesale;2003;1.8;254
16;H-r R&D other ind. & wholesale;2004;1.6;237
17;H-r R&D other ind. & wholesale;2005;1.7;249
18;H-r R&D other ind. & wholesale;2006;3.6;528
19;H-r R&D other ind. & wholesale;2007;4.8;691
20;H-r R&D by research companies;2003;1.7;187
21;H-r R&D by research companies;2004;1.7;173
22;H-r R&D by research companies;2005;1.7;200
23;H-r R&D by research companies;2006;2.2;325
24;H-r R&D by research companies;2007;2.5;334
25;H-r R&D in institutes excl. universities;2003;2.0;146
26;H-r R&D in institutes excl. universities;2004;1.8;137
27;H-r R&D in institutes excl. universities;2005;1.8;152
28;H-r R&D in institutes excl. universities;2006;2.1;168
29;H-r R&D in institutes excl. universities;2007;1.7;167
