ID;Zorgfuncties;Zorgaanbieders;Perioden;UitgavenGezondheidsEnWelzijnszorg_1
0;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2021;129060
1;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2022;132858
2;Totaal uitgaven aan zorg en welzijn;Totaal aanbieders gezondheidszorg;2023;142824
3;Totaal uitgaven aan zorg en welzijn;HP1: Ziekenhuizen;2021;36889
4;Totaal uitgaven aan zorg en welzijn;HP1: Ziekenhuizen;2022;37937
5;Totaal uitgaven aan zorg en welzijn;HP1: Ziekenhuizen;2023;40611
6;Totaal uitgaven aan zorg en welzijn;HP11:Algemene en academ. ziekenhuizen;2021;29075
7;Totaal uitgaven aan zorg en welzijn;HP11:Algemene en academ. ziekenhuizen;2022;29641
8;Totaal uitgaven aan zorg en welzijn;HP11:Algemene en academ. ziekenhuizen;2023;31534
9;Totaal uitgaven aan zorg en welzijn;HP12: Geestelijke gez., verslavingszorg;2021;6366
10;Totaal uitgaven aan zorg en welzijn;HP12: Geestelijke gez., verslavingszorg;2022;6824
11;Totaal uitgaven aan zorg en welzijn;HP12: Geestelijke gez., verslavingszorg;2023;7494
12;Totaal uitgaven aan zorg en welzijn;HP13: Categorale ziekenhuizen;2021;1448
13;Totaal uitgaven aan zorg en welzijn;HP13: Categorale ziekenhuizen;2022;1473
14;Totaal uitgaven aan zorg en welzijn;HP13: Categorale ziekenhuizen;2023;1583
15;Totaal uitgaven aan zorg en welzijn;HP2: Instellingen langdurige zorg;2021;32532
16;Totaal uitgaven aan zorg en welzijn;HP2: Instellingen langdurige zorg;2022;33136
17;Totaal uitgaven aan zorg en welzijn;HP2: Instellingen langdurige zorg;2023;36114
18;Totaal uitgaven aan zorg en welzijn;HP21: Verpleeg-,verzorgingsh., thuiszorg;2021;21443
19;Totaal uitgaven aan zorg en welzijn;HP21: Verpleeg-,verzorgingsh., thuiszorg;2022;21686
20;Totaal uitgaven aan zorg en welzijn;HP21: Verpleeg-,verzorgingsh., thuiszorg;2023;23711
21;Totaal uitgaven aan zorg en welzijn;HP22-29: Instellingen gehandicaptenzorg;2021;11089
22;Totaal uitgaven aan zorg en welzijn;HP22-29: Instellingen gehandicaptenzorg;2022;11450
23;Totaal uitgaven aan zorg en welzijn;HP22-29: Instellingen gehandicaptenzorg;2023;12403
24;Totaal uitgaven aan zorg en welzijn;HP3: Aanbieders ambulante zorg;2021;19720
25;Totaal uitgaven aan zorg en welzijn;HP3: Aanbieders ambulante zorg;2022;21264
26;Totaal uitgaven aan zorg en welzijn;HP3: Aanbieders ambulante zorg;2023;23095
