ID;Bedrijfsomvang;BedrijfstakBranchesSBI2008;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2
0;Totaal 1 of meer werkzame personen;900063;2005 1e kwartaal;69.0;-2.3
1;Totaal 1 of meer werkzame personen;900063;2005 2e kwartaal;93.1;9.0
2;Totaal 1 of meer werkzame personen;900063;2005 3e kwartaal;82.9;8.6
3;Totaal 1 of meer werkzame personen;900063;2005 4e kwartaal;108.2;5.9
4;Totaal 1 of meer werkzame personen;900063;2005;88.3;5.6
5;Totaal 1 of meer werkzame personen;900063;2006 1e kwartaal;76.5;10.9
6;Totaal 1 of meer werkzame personen;900063;2006 2e kwartaal;99.2;6.6
7;Totaal 1 of meer werkzame personen;900063;2006 3e kwartaal;88.4;6.7
8;Totaal 1 of meer werkzame personen;900063;2006 4e kwartaal;118.6;9.6
9;Totaal 1 of meer werkzame personen;900063;2006;95.7;8.4
10;Totaal 1 of meer werkzame personen;900063;2007 1e kwartaal;87.2;14.0
11;Totaal 1 of meer werkzame personen;900063;2007 2e kwartaal;108.6;9.5
12;Totaal 1 of meer werkzame personen;900063;2007 3e kwartaal;96.3;8.9
13;Totaal 1 of meer werkzame personen;900063;2007 4e kwartaal;127.5;7.5
14;Totaal 1 of meer werkzame personen;900063;2007;104.9;9.6
15;Totaal 1 of meer werkzame personen;900063;2008 1e kwartaal;97.6;11.9
16;Totaal 1 of meer werkzame personen;900063;2008 2e kwartaal;121.4;11.7
17;Totaal 1 of meer werkzame personen;900063;2008 3e kwartaal;106.8;10.9
18;Totaal 1 of meer werkzame personen;900063;2008 4e kwartaal;134.2;5.2
19;Totaal 1 of meer werkzame personen;900063;2008;115.0;9.6
20;Totaal 1 of meer werkzame personen;900063;2009 1e kwartaal;98.9;1.3
21;Totaal 1 of meer werkzame personen;900063;2009 2e kwartaal;116.5;-4.0
22;Totaal 1 of meer werkzame personen;900063;2009 3e kwartaal;101.8;-4.6
23;Totaal 1 of meer werkzame personen;900063;2009 4e kwartaal;121.4;-9.5
24;Totaal 1 of meer werkzame personen;900063;2009;109.7;-4.6
25;Totaal 1 of meer werkzame personen;900063;2010 1e kwartaal;82.0;-17.1
26;Totaal 1 of meer werkzame personen;900063;2010 2e kwartaal;107.1;-8.1
27;Totaal 1 of meer werkzame personen;900063;2010 3e kwartaal;94.8;-6.9
28;Totaal 1 of meer werkzame personen;900063;2010 4e kwartaal;116.2;-4.3
29;Totaal 1 of meer werkzame personen;900063;2010;100.0;-8.8
30;Totaal 1 of meer werkzame personen;900063;2011 1e kwartaal;89.5;9.2
31;Totaal 1 of meer werkzame personen;900063;2011 2e kwartaal;110.2;2.9
32;Totaal 1 of meer werkzame personen;900063;2011 3e kwartaal;98.2;3.6
33;Totaal 1 of meer werkzame personen;900063;2011 4e kwartaal;119.2;2.6
34;Totaal 1 of meer werkzame personen;900063;2011;104.3;4.3
35;Totaal 1 of meer werkzame personen;900063;2012 1e kwartaal;82.1;-8.2
36;Totaal 1 of meer werkzame personen;900063;2012 2e kwartaal;102.7;-6.8
37;Totaal 1 of meer werkzame personen;900063;2012 3e kwartaal;94.0;-4.3
38;Totaal 1 of meer werkzame personen;900063;2012 4e kwartaal;109.2;-8.4
39;Totaal 1 of meer werkzame personen;900063;2012;97.0;-6.9
40;Totaal 1 of meer werkzame personen;900063;2013 1e kwartaal;74.7;-9.1
41;Totaal 1 of meer werkzame personen;900063;2013 2e kwartaal;96.3;-6.2
42;Totaal 1 of meer werkzame personen;900063;2013 3e kwartaal;89.7;-4.6
43;Totaal 1 of meer werkzame personen;900063;2013 4e kwartaal;110.3;1.0
44;Totaal 1 of meer werkzame personen;900063;2013;92.7;-4.4
45;Totaal 1 of meer werkzame personen;900063;2014 1e kwartaal;78.2;4.7
46;Totaal 1 of meer werkzame personen;900063;2014 2e kwartaal;94.6;-1.8
47;Totaal 1 of meer werkzame personen;900063;2014 3e kwartaal;88.2;-1.7
48;Totaal 1 of meer werkzame personen;900063;2014 4e kwartaal;115.8;5.0
49;Totaal 1 of meer werkzame personen;900063;2014;94.2;1.5
50;Totaal 1 of meer werkzame personen;900063;2015 1e kwartaal;82.3;5.2
51;Totaal 1 of meer werkzame personen;900063;2015 2e kwartaal;103.6;9.6
52;Totaal 1 of meer werkzame personen;900063;2015 3e kwartaal;94.1;6.7
53;Totaal 1 of meer werkzame personen;900063;2015 4e kwartaal;117.5;1.5
54;Totaal 1 of meer werkzame personen;900063;2015;99.4;5.5
55;Totaal 1 of meer werkzame personen;900063;2016 1e kwartaal;87.4;6.2
56;Totaal 1 of meer werkzame personen;900063;2016 2e kwartaal;107.2;3.4
57;Totaal 1 of meer werkzame personen;900063;2016 3e kwartaal;102.0;8.4
58;Totaal 1 of meer werkzame personen;900063;2016 4e kwartaal;126.9;8.0
59;Totaal 1 of meer werkzame personen;900063;2016;105.9;6.5
60;Totaal 1 of meer werkzame personen;900063;2017 1e kwartaal;92.6;6.0
61;Totaal 1 of meer werkzame personen;900063;2017 2e kwartaal;113.9;6.3
62;Totaal 1 of meer werkzame personen;900063;2017 3e kwartaal;105.7;3.6
63;Totaal 1 of meer werkzame personen;900063;2017 4e kwartaal;135.3;6.7
64;Totaal 1 of meer werkzame personen;900063;2017;111.9;5.7
65;Totaal 1 of meer werkzame personen;350400;2005 1e kwartaal;73.9;-5.2
66;Totaal 1 of meer werkzame personen;350400;2005 2e kwartaal;101.9;8.2
67;Totaal 1 of meer werkzame personen;350400;2005 3e kwartaal;85.8;6.1
68;Totaal 1 of meer werkzame personen;350400;2005 4e kwartaal;114.3;5.7
69;Totaal 1 of meer werkzame personen;350400;2005;94.0;4.1
70;Totaal 1 of meer werkzame personen;350400;2006 1e kwartaal;83.5;12.9
71;Totaal 1 of meer werkzame personen;350400;2006 2e kwartaal;109.0;6.9
