ID;Peilmoment;OnderwijsOfKwalificatieOpPeilmoment;Leeftijd;Geslacht;Persoonskenmerken;TotaalVsvErs_1;VsvErsVanuitVo_2;VsvErsVanuitMbo_3;TotaalVsvErs_4;VsvErsVanuitVo_5;VsvErsVanuitMbo_6;VsvErsVanuitVavo_7;TotaalVsvErs_8;VsvErsVanuitVo_9;VsvErsVanuitMbo_10;VsvErsVanuitVavo_11;TotaalVsvErs_12;VsvErsVanuitVo_13;VsvErsVanuitMbo_14;VsvErsVanuitVavo_15
0;3;0;0;Totaal mannen en vrouwen;0;76150.0;17370.0;58780.0;74510.0;15950.0;56230.0;2330.0;72610.0;14660.0;55420.0;2520.0;71480.0;12390.0;56350.0;2750.0
1;3;0;0;Totaal mannen en vrouwen;1;50080.0;11610.0;38470.0;48650.0;10980.0;36270.0;1400.0;47550.0;10250.0;35770.0;1530.0;46320.0;8520.0;36160.0;1650.0
2;3;0;0;Totaal mannen en vrouwen;Allochtonen;26070.0;5770.0;20310.0;25860.0;4970.0;19960.0;930.0;25050.0;4410.0;19650.0;1000.0;25130.0;3860.0;20170.0;1100.0
3;3;0;0;Totaal mannen en vrouwen;3;6350.0;1650.0;4700.0;6340.0;1440.0;4590.0;310.0;5920.0;1300.0;4300.0;320.0;5930.0;1170.0;4450.0;320.0
4;3;0;0;Totaal mannen en vrouwen;2;19730.0;4120.0;15610.0;19510.0;3530.0;15370.0;620.0;19130.0;3110.0;15350.0;680.0;19200.0;2690.0;15720.0;790.0
5;3;0;0;Totaal mannen en vrouwen;4;3730.0;800.0;2930.0;3700.0;680.0;2930.0;100.0;3780.0;650.0;3010.0;120.0;3600.0;510.0;2950.0;140.0
6;3;0;0;Totaal mannen en vrouwen;5;3660.0;680.0;2980.0;3740.0;560.0;3070.0;110.0;3930.0;550.0;3280.0;100.0;4060.0;520.0;3410.0;130.0
7;3;0;0;Totaal mannen en vrouwen;6;3910.0;680.0;3230.0;3900.0;620.0;3140.0;150.0;3760.0;550.0;3050.0;170.0;3900.0;460.0;3250.0;190.0
8;3;0;0;Totaal mannen en vrouwen;7;1900.0;320.0;1580.0;1850.0;300.0;1510.0;40.0;1940.0;260.0;1630.0;50.0;1990.0;230.0;1710.0;50.0
9;3;0;0;Totaal mannen en vrouwen;8;6520.0;1630.0;4890.0;6320.0;1360.0;4730.0;230.0;5710.0;1100.0;4370.0;240.0;5660.0;970.0;4410.0;280.0
10;3;0;0;Totaal mannen en vrouwen;Niet verdacht van misdrijf;65660.0;15050.0;50610.0;62800.0;13690.0;47110.0;2000.0;59730.0;12370.0;45250.0;2110.0;58530.0;10480.0;45780.0;2270.0
11;3;0;0;Totaal mannen en vrouwen;Wel verdacht van misdrijf;10490.0;2320.0;8170.0;11710.0;2260.0;9120.0;330.0;12880.0;2290.0;10170.0;420.0;12960.0;1910.0;10570.0;480.0
12;3;0;0;Totaal mannen en vrouwen;1 keer verdacht van misdrijf;6670.0;1480.0;5190.0;7270.0;1410.0;5630.0;230.0;7760.0;1400.0;6100.0;260.0;7650.0;1170.0;6190.0;300.0
13;3;0;0;Totaal mannen en vrouwen;2 keer of meer verdacht van misdrijf;3820.0;840.0;2980.0;4440.0;850.0;3480.0;110.0;5120.0;890.0;4080.0;160.0;5300.0;740.0;4380.0;180.0
14;3;0;0;Totaal mannen en vrouwen;Vier grote gemeenten;12240.0;2890.0;9340.0;12480.0;2660.0;9280.0;540.0;12490.0;2390.0;9510.0;590.0;12250.0;2030.0;9570.0;660.0
15;3;0;0;Totaal mannen en vrouwen;Gemeenten >= 100 000 (excl. G4);15210.0;3440.0;11770.0;15080.0;3130.0;11400.0;550.0;15230.0;2970.0;11720.0;540.0;14990.0;2500.0;11840.0;640.0
16;3;0;0;Totaal mannen en vrouwen;Gemeenten < 100 000 inwoners;48700.0;11040.0;37660.0;46960.0;10160.0;35550.0;1250.0;44870.0;9300.0;34170.0;1400.0;44240.0;7860.0;34940.0;1450.0
17;3;0;0;Mannen;0;44730.0;9910.0;34820.0;43870.0;9010.0;33580.0;1290.0;42540.0;8440.0;32680.0;1430.0;41980.0;7110.0;33270.0;1610.0
18;3;0;0;Mannen;1;29380.0;6540.0;22840.0;28460.0;6120.0;21570.0;770.0;27770.0;5870.0;21030.0;870.0;27050.0;4850.0;21240.0;950.0
19;3;0;0;Mannen;Allochtonen;15350.0;3370.0;11980.0;15410.0;2890.0;12000.0;520.0;14770.0;2570.0;11650.0;550.0;14940.0;2260.0;12030.0;660.0
20;3;0;0;Mannen;3;3690.0;940.0;2750.0;3580.0;800.0;2620.0;160.0;3370.0;740.0;2460.0;160.0;3380.0;650.0;2540.0;190.0
21;3;0;0;Mannen;2;11670.0;2430.0;9230.0;11830.0;2090.0;9380.0;360.0;11400.0;1830.0;9180.0;390.0;11560.0;1610.0;9480.0;470.0
22;3;0;0;Mannen;4;2280.0;480.0;1810.0;2330.0;410.0;1870.0;60.0;2410.0;420.0;1920.0;70.0;2300.0;310.0;1900.0;90.0
23;3;0;0;Mannen;5;2270.0;450.0;1820.0;2370.0;350.0;1950.0;70.0;2500.0;350.0;2080.0;70.0;2610.0;320.0;2210.0;80.0
24;3;0;0;Mannen;6;2160.0;370.0;1790.0;2250.0;370.0;1800.0;80.0;2100.0;320.0;1690.0;90.0;2240.0;300.0;1830.0;110.0
25;3;0;0;Mannen;7;1060.0;190.0;870.0;1050.0;190.0;840.0;20.0;1080.0;140.0;920.0;30.0;1100.0;130.0;950.0;20.0
