ID;TypeZelfstandige;BedrijfstakkenBranchesSBI2008;RegioS;Perioden;Zelfstandigen_1;GemiddeldPersoonlijkInkomen_2;MediaanPersoonlijkInkomen_3;GemiddeldInkomenAlsZelfstandige_4;MediaanInkomenAlsZelfstandige_5;GemiddeldGestandaardiseerdInkomen_6;MediaanGestandaardiseerdInkomen_7;ZelfstandigenMetBedrijfsvermogen_8;MediaanVermogen_9;MediaanBedrijfsvermogen_10;Zelfstandigen_11;GemiddeldPersoonlijkInkomen_12;MediaanPersoonlijkInkomen_13;GemiddeldInkomenAlsZelfstandige_14;MediaanInkomenAlsZelfstandige_15;GemiddeldGestandaardiseerdInkomen_16;MediaanGestandaardiseerdInkomen_17;ZelfstandigenMetBedrijfsvermogen_18;MediaanVermogen_19;MediaanBedrijfsvermogen_20
0;Zelfstandige;A-U Alle economische activiteiten;Nederland;2007;1005.0;38.0;28.4;36.8;26.9;32.8;26.5;839.5;226.5;33.3;1522.2;37.6;28.8;25.5;12.1;31.4;25.8;1055.5;199.8;26.6
1;Zelfstandige;A-U Alle economische activiteiten;Nederland;2008;1054.2;38.7;29.0;37.8;27.6;31.4;26.9;884.7;211.3;32.8;1603.9;38.3;29.4;26.2;12.2;30.5;26.3;1115.9;184.9;25.9
2;Zelfstandige;A-U Alle economische activiteiten;Nederland;2009;1076.7;36.6;26.6;35.7;25.5;29.8;25.9;933.8;182.0;29.1;1654.2;36.9;28.1;24.5;11.1;29.4;25.8;1185.0;160.0;23.0
3;Zelfstandige;A-U Alle economische activiteiten;Nederland;2010;1056.4;38.3;28.2;37.2;26.9;30.7;26.3;;;;1645.5;38.2;29.3;25.2;12.3;30.0;26.0;;;
4;Zelfstandige;A-U Alle economische activiteiten;Nederland;2011;1093.1;38.8;29.4;38.3;28.2;34.9;29.6;949.2;167.5;27.9;1679.1;38.9;30.3;26.3;13.3;33.9;29.1;1205.2;148.4;22.6
5;Zelfstandige;A-U Alle economische activiteiten;Nederland;2012;1106.2;38.1;28.2;37.5;27.1;34.7;29.3;966.6;145.4;27.7;1695.5;38.6;29.7;25.9;13.0;33.8;28.9;1230.3;127.7;22.4
6;Zelfstandige;A-U Alle economische activiteiten;Nederland;2013;1120.2;37.9;27.8;37.0;26.5;33.9;29.0;977.2;116.5;27.3;1710.5;38.6;29.3;25.7;13.0;33.4;28.9;1245.4;99.7;22.3
7;Zelfstandige;A-U Alle economische activiteiten;Nederland;2014;1149.7;39.1;28.9;38.1;27.5;38.5;30.4;1000.7;112.3;26.4;1733.1;39.8;30.1;26.9;14.0;37.3;30.1;1273.6;97.9;21.7
8;Zelfstandige;A-U Alle economische activiteiten;Nederland;2015;1180.0;39.8;29.9;38.8;28.4;35.7;30.9;1017.2;118.2;27.3;1763.6;40.3;30.7;27.5;14.8;35.1;30.6;1295.1;104.5;22.5
9;Zelfstandige;A-U Alle economische activiteiten;Nederland;2016;1208.4;41.5;31.6;40.5;30.0;38.3;32.8;1054.1;127.5;29.0;1791.0;41.6;32.0;28.9;15.9;37.4;32.4;1340.2;113.6;23.9
10;Zelfstandige;A-U Alle economische activiteiten;Nederland;2017;1223.5;43.6;33.2;42.1;31.6;40.2;34.2;1072.6;144.3;30.9;1841.8;45.3;33.5;30.1;16.7;39.9;33.6;1377.4;130.8;26.1
11;Zelfstandige;A-U Alle economische activiteiten;Nederland;2018;1261.8;44.9;35.0;43.8;33.4;41.6;35.0;1110.1;170.4;33.6;1896.2;44.2;34.6;30.8;17.5;40.0;34.2;1412.6;151.7;27.7
12;Zelfstandige;A-U Alle economische activiteiten;Nederland;2019;1294.4;46.5;36.5;45.3;34.8;47.5;36.7;1143.6;194.0;35.8;1957.7;45.3;35.6;31.7;18.1;44.9;35.8;1453.3;174.2;29.9
13;Zelfstandige;A-U Alle economische activiteiten;Nederland;2020;1291.9;47.4;37.3;45.5;34.9;46.0;38.1;1150.4;221.7;38.9;1976.7;45.8;35.8;31.4;16.9;43.7;37.0;1488.8;194.7;31.9
