ID;Sex;Age;BackgroundAndGeneration;MedicineGroupATC;Periods;PersonsWithDispensedMedicines_1;PersonsWithMedicinesRelative_2
0;Total male and female;10000;Total background and generation;Total;2006;11241725;67.54
1;Total male and female;10000;Total background and generation;Total;2007;11320680;67.86
2;Total male and female;10000;Total background and generation;Total;2008;11704500;69.83
3;Total male and female;10000;Total background and generation;Total;2009;11803505;70.09
4;Total male and female;10000;Total background and generation;Total;2010;11859005;70.05
5;Total male and female;10000;Total background and generation;Total;2011;11696090;68.74
6;Total male and female;10000;Total background and generation;Total;2012;11587020;67.85
7;Total male and female;10000;Total background and generation;Total;2013;11439885;66.78
8;Total male and female;10000;Total background and generation;Total;2014;11420305;66.4
9;Total male and female;10000;Total background and generation;Total;2015;11454920;66.26
10;Total male and female;10000;Total background and generation;Total;2016;11517975;66.24
11;Total male and female;10000;Total background and generation;Total;2017;11482350;65.65
12;Total male and female;10000;Total background and generation;Total;2018;11591535;65.87
13;Total male and female;10000;Total background and generation;Total;2019;11591365;65.4
14;Total male and female;10000;Total background and generation;Total;2020;11177900;62.8
15;Total male and female;10000;Total background and generation;A Alimentary tract and metabolism;2006;3127780;18.79
16;Total male and female;10000;Total background and generation;A Alimentary tract and metabolism;2007;3369155;20.2
17;Total male and female;10000;Total background and generation;A Alimentary tract and metabolism;2008;3588285;21.41
18;Total male and female;10000;Total background and generation;A Alimentary tract and metabolism;2009;3812715;22.64
19;Total male and female;10000;Total background and generation;A Alimentary tract and metabolism;2010;4053230;23.94
20;Total male and female;10000;Total background and generation;A Alimentary tract and metabolism;2011;4239530;24.92
21;Total male and female;10000;Total background and generation;A Alimentary tract and metabolism;2012;3567995;20.89
22;Total male and female;10000;Total background and generation;A Alimentary tract and metabolism;2013;3695510;21.57
23;Total male and female;10000;Total background and generation;A Alimentary tract and metabolism;2014;3888135;22.61
24;Total male and female;10000;Total background and generation;A Alimentary tract and metabolism;2015;4056530;23.47
25;Total male and female;10000;Total background and generation;A Alimentary tract and metabolism;2016;4205595;24.19
26;Total male and female;10000;Total background and generation;A Alimentary tract and metabolism;2017;4300740;24.59
27;Total male and female;10000;Total background and generation;A Alimentary tract and metabolism;2018;4407310;25.04
28;Total male and female;10000;Total background and generation;A Alimentary tract and metabolism;2019;4381755;24.72
29;Total male and female;10000;Total background and generation;A Alimentary tract and metabolism;2020;4314580;24.24
30;Total male and female;10000;Total background and generation;A01 Stomatological preparations;2006;135560;0.81
31;Total male and female;10000;Total background and generation;A01 Stomatological preparations;2007;145735;0.87
32;Total male and female;10000;Total background and generation;A01 Stomatological preparations;2008;147900;0.88
33;Total male and female;10000;Total background and generation;A01 Stomatological preparations;2009;149050;0.89
34;Total male and female;10000;Total background and generation;A01 Stomatological preparations;2010;154710;0.91
35;Total male and female;10000;Total background and generation;A01 Stomatological preparations;2011;96590;0.57
36;Total male and female;10000;Total background and generation;A01 Stomatological preparations;2012;38160;0.22
37;Total male and female;10000;Total background and generation;A01 Stomatological preparations;2013;37720;0.22
38;Total male and female;10000;Total background and generation;A01 Stomatological preparations;2014;38925;0.23
39;Total male and female;10000;Total background and generation;A01 Stomatological preparations;2015;38365;0.22
40;Total male and female;10000;Total background and generation;A01 Stomatological preparations;2016;38155;0.22
41;Total male and female;10000;Total background and generation;A01 Stomatological preparations;2017;36165;0.21
42;Total male and female;10000;Total background and generation;A01 Stomatological preparations;2018;35780;0.2
43;Total male and female;10000;Total background and generation;A01 Stomatological preparations;2019;43930;0.25
44;Total male and female;10000;Total background and generation;A01 Stomatological preparations;2020;45190;0.25
45;Total male and female;10000;Total background and generation;A01A Stomatological preparations;2006;135560;0.81
