ID;Geslacht;Niveau;Leerweg;Migratieachtergrond;Perioden;GediplomeerdenMbo_1
0;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;2005/'06;146300
1;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;2006/'07;148753
2;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;2007/'08;156116
3;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;2008/'09;161752
4;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;2009/'10;200375
5;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;2010/'11;175553
6;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;2011/'12;179189
7;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;2012/'13;182430
8;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;2013/'14;178176
9;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;2014/'15;167790
10;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;2015/'16;154473
11;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;2016/'17;157167
12;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;2017/'18;151780
13;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;2018/'19;153981
14;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;2019/'20;154637
15;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Totaal;2020/'21;157296
16;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Nederlandse achtergrond;2005/'06;112034
17;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Nederlandse achtergrond;2006/'07;113050
18;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Nederlandse achtergrond;2007/'08;117562
19;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Nederlandse achtergrond;2008/'09;121933
20;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Nederlandse achtergrond;2009/'10;154378
21;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Nederlandse achtergrond;2010/'11;131159
22;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Nederlandse achtergrond;2011/'12;133690
23;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Nederlandse achtergrond;2012/'13;135103
24;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Nederlandse achtergrond;2013/'14;130475
25;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Nederlandse achtergrond;2014/'15;124039
26;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Nederlandse achtergrond;2015/'16;114077
27;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Nederlandse achtergrond;2016/'17;116900
28;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Nederlandse achtergrond;2017/'18;111294
29;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Nederlandse achtergrond;2018/'19;111741
30;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Nederlandse achtergrond;2019/'20;111230
31;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Nederlandse achtergrond;2020/'21;111880
32;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Met migratieachtergrond;2005/'06;33934
33;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Met migratieachtergrond;2006/'07;35476
34;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Met migratieachtergrond;2007/'08;38261
35;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Met migratieachtergrond;2008/'09;39466
36;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Met migratieachtergrond;2009/'10;45431
37;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Met migratieachtergrond;2010/'11;43766
38;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Met migratieachtergrond;2011/'12;44781
39;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Met migratieachtergrond;2012/'13;46178
40;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Met migratieachtergrond;2013/'14;46500
41;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Met migratieachtergrond;2014/'15;43489
42;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Met migratieachtergrond;2015/'16;40151
43;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Met migratieachtergrond;2016/'17;40098
44;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Met migratieachtergrond;2017/'18;40369
45;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Met migratieachtergrond;2018/'19;42168
46;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Met migratieachtergrond;2019/'20;43321
47;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Met migratieachtergrond;2020/'21;45367
48;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Westerse migratieachtergrond;2005/'06;8819
49;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Westerse migratieachtergrond;2006/'07;8803
50;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Westerse migratieachtergrond;2007/'08;9607
51;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Westerse migratieachtergrond;2008/'09;9819
52;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Westerse migratieachtergrond;2009/'10;12536
53;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Westerse migratieachtergrond;2010/'11;10720
54;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Westerse migratieachtergrond;2011/'12;10818
55;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Westerse migratieachtergrond;2012/'13;11334
56;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Westerse migratieachtergrond;2013/'14;11000
57;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Westerse migratieachtergrond;2014/'15;10071
58;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Westerse migratieachtergrond;2015/'16;9255
