ID;TotaalHerkomstgroeperingen;Leeftijdsgroepen;Geslacht;Perioden;Vermogensmisdrijven_1;VernielingEnOpenbareOrde_2;Geweldsmisdrijven_3;Verkeersmisdrijven_4;OverigeMisdrijven_5;Firstoffender_6;Meerpleger_7;Veelpleger_8;EnkelsoortigeVerdachte_9;TweesoortigeVerdachte_10;MeersoortigeVerdachte_11;Vermogensmisdrijven_12;VernielingEnOpenbareOrde_13;Geweldsmisdrijven_14;Verkeersmisdrijven_15;OverigeMisdrijven_16;Firstoffender_17;Meerpleger_18;Veelpleger_19;EnkelsoortigeVerdachte_20;TweesoortigeVerdachte_21;MeersoortigeVerdachte_22
0;Totaal allochtonen;12 tot 18 jaar;Totaal mannen en vrouwen;1999;55.7;23.4;40.6;3.0;8.4;48.4;41.6;10.1;75.8;18.2;6.0;55.1;22.8;40.7;3.3;8.8;48.7;41.2;10.1;75.8;18.4;5.7
1;Totaal allochtonen;12 tot 18 jaar;Totaal mannen en vrouwen;2000;54.5;24.3;39.6;2.8;7.0;51.0;39.1;10.0;78.0;16.6;5.5;54.7;24.0;39.6;3.0;7.1;50.6;39.1;10.3;77.8;16.7;5.5
2;Totaal allochtonen;12 tot 18 jaar;Totaal mannen en vrouwen;2001;54.1;23.0;38.4;2.7;7.0;53.3;38.3;8.3;79.2;16.8;4.0;54.4;22.7;38.5;2.6;6.7;52.2;38.9;8.9;79.1;17.0;3.9
3;Totaal allochtonen;12 tot 18 jaar;Totaal mannen en vrouwen;2002;53.2;24.2;39.3;2.2;8.2;54.4;38.0;7.7;77.7;18.2;4.2;53.2;24.7;39.4;2.2;8.4;53.3;38.9;7.8;77.1;18.5;4.3
4;Totaal allochtonen;12 tot 18 jaar;Totaal mannen en vrouwen;2003;50.0;26.8;38.2;2.8;9.8;54.2;38.9;6.9;77.4;18.1;4.5;51.0;26.0;37.8;2.6;9.8;53.3;39.5;7.2;77.7;17.8;4.5
5;Totaal allochtonen;12 tot 18 jaar;Totaal mannen en vrouwen;2004;50.5;27.1;39.0;2.0;10.3;52.7;39.6;7.7;76.7;18.4;4.8;51.0;26.5;38.3;1.9;10.8;52.0;40.1;7.9;77.1;18.2;4.7
6;Totaal allochtonen;12 tot 18 jaar;Totaal mannen en vrouwen;2005;50.4;28.7;39.9;1.9;9.0;52.1;39.8;8.1;75.7;19.1;5.1;50.6;29.0;39.7;1.8;8.9;52.1;39.5;8.4;75.8;19.0;5.2
7;Totaal allochtonen;12 tot 18 jaar;Totaal mannen en vrouwen;2006*;51.8;29.6;37.4;1.9;8.9;50.4;40.8;8.8;76.4;18.1;5.5;51.9;30.1;37.4;2.0;9.6;49.4;41.4;9.2;75.5;18.6;5.9
8;Totaal allochtonen;12 tot 18 jaar;Mannen;1999;53.9;25.3;42.0;3.4;9.1;44.5;44.2;11.3;73.7;19.8;6.5;53.6;24.5;42.0;3.9;9.4;44.9;43.7;11.4;73.8;20.0;6.3
9;Totaal allochtonen;12 tot 18 jaar;Mannen;2000;52.6;26.0;42.1;3.2;7.7;47.7;41.1;11.2;75.5;18.3;6.2;52.7;25.6;42.4;3.3;7.9;47.3;41.1;11.6;75.3;18.4;6.3
10;Totaal allochtonen;12 tot 18 jaar;Mannen;2001;52.3;24.3;40.6;3.1;8.0;50.0;40.4;9.6;76.8;18.5;4.7;52.7;24.0;40.7;3.1;7.7;48.8;41.0;10.3;76.7;18.9;4.5
11;Totaal allochtonen;12 tot 18 jaar;Mannen;2002;50.9;26.1;41.3;2.6;9.3;52.1;39.1;8.8;75.5;19.5;4.9;51.0;26.8;41.5;2.6;9.5;50.8;40.3;8.9;74.6;20.2;5.2
12;Totaal allochtonen;12 tot 18 jaar;Mannen;2003;48.2;27.4;40.8;3.2;10.9;51.0;41.5;7.6;75.2;19.6;5.2;49.4;26.5;40.4;2.8;10.9;49.9;42.2;7.9;75.4;19.4;5.1
13;Totaal allochtonen;12 tot 18 jaar;Mannen;2004;49.5;28.3;40.3;2.2;11.2;49.2;41.9;8.9;74.8;19.7;5.5;49.8;27.8;39.6;2.1;11.7;48.5;42.5;9.0;75.2;19.4;5.3
14;Totaal allochtonen;12 tot 18 jaar;Mannen;2005;48.8;30.5;42.3;2.2;9.8;48.3;42.3;9.4;72.8;21.4;5.8;49.0;30.8;41.7;2.1;9.8;48.6;41.5;9.9;73.2;20.9;5.9
15;Totaal allochtonen;12 tot 18 jaar;Mannen;2006*;50.9;31.9;38.8;2.1;9.5;46.9;42.9;10.2;73.7;20.1;6.2;51.7;32.2;38.3;2.3;10.3;45.9;43.5;10.6;72.7;20.8;6.5
16;Totaal allochtonen;12 tot 18 jaar;Vrouwen;1999;64.9;13.1;33.0;;4.9;68.7;27.8;3.4;86.9;10.1;3.0;62.6;14.1;34.2;;5.3;67.9;28.5;3.5;86.5;10.5;3.0
17;Totaal allochtonen;12 tot 18 jaar;Vrouwen;2000;64.7;15.5;25.8;;3.1;68.9;28.0;3.1;91.4;7.3;;65.5;15.9;24.9;;3.1;68.3;28.2;3.6;90.8;7.9;
18;Totaal allochtonen;12 tot 18 jaar;Vrouwen;2001;62.9;16.6;27.7;;2.1;69.8;28.0;2.1;90.9;8.2;;62.7;16.6;28.0;;1.9;68.9;28.7;2.5;91.0;8.1;
19;Totaal allochtonen;12 tot 18 jaar;Vrouwen;2002;64.0;15.6;29.9;;3.4;65.0;32.6;2.4;87.6;11.8;;63.3;15.3;29.9;;3.4;64.9;32.5;2.6;88.4;10.9;
20;Totaal allochtonen;12 tot 18 jaar;Vrouwen;2003;59.0;23.4;24.8;;4.4;71.0;25.9;3.2;88.6;10.4;;58.8;23.4;24.3;;4.6;70.9;25.8;3.3;89.3;9.5;
21;Totaal allochtonen;12 tot 18 jaar;Vrouwen;2004;56.0;20.7;32.2;;5.6;71.1;27.3;;86.7;11.7;;57.4;19.6;31.4;;5.9;70.7;27.6;;87.1;11.4;
22;Totaal allochtonen;12 tot 18 jaar;Vrouwen;2005;58.1;20.2;28.8;;5.2;69.7;28.5;1.8;89.5;8.6;1.9;58.2;20.2;30.3;;4.7;69.0;29.4;1.6;88.3;9.7;2.0
23;Totaal allochtonen;12 tot 18 jaar;Vrouwen;2006*;56.0;18.6;30.7;;6.0;67.4;30.7;1.8;89.9;8.1;2.0;53.2;19.1;32.8;;6.2;67.7;30.5;1.9;90.5;7.3;2.2
24;Totaal allochtonen;18 tot 25 jaar;Totaal mannen en vrouwen;1999;47.0;19.0;31.1;14.7;19.0;31.9;56.1;12.0;76.4;17.4;6.2;45.6;19.2;30.7;15.6;18.9;32.6;55.8;11.6;76.8;17.3;5.9
25;Totaal allochtonen;18 tot 25 jaar;Totaal mannen en vrouwen;2000;44.7;19.8;31.5;14.2;17.6;35.2;53.9;10.8;78.5;16.3;5.2;43.0;20.2;31.1;15.2;17.6;35.4;54.1;10.6;78.9;16.1;5.0
26;Totaal allochtonen;18 tot 25 jaar;Totaal mannen en vrouwen;2001;44.9;18.4;31.9;13.6;17.2;36.1;53.1;10.8;79.4;16.0;4.6;43.2;18.4;32.3;14.6;17.5;35.3;53.9;10.7;79.3;16.1;4.6
27;Totaal allochtonen;18 tot 25 jaar;Totaal mannen en vrouwen;2002;42.3;20.1;32.0;14.1;18.6;37.6;52.7;9.7;78.5;16.7;4.8;40.7;20.6;32.0;15.4;19.2;36.1;53.8;10.1;77.9;17.2;5.0
28;Totaal allochtonen;18 tot 25 jaar;Totaal mannen en vrouwen;2003;42.0;19.9;32.1;14.3;18.7;38.3;52.9;8.8;78.8;16.1;5.1;40.6;20.3;32.4;15.5;19.0;36.5;54.0;9.4;78.3;16.6;5.2
29;Totaal allochtonen;18 tot 25 jaar;Totaal mannen en vrouwen;2004;40.8;20.8;33.7;12.5;20.7;36.2;55.2;8.6;78.0;16.4;5.6;39.5;21.0;33.4;13.4;22.3;34.6;56.1;9.2;77.3;16.9;5.9
30;Totaal allochtonen;18 tot 25 jaar;Totaal mannen en vrouwen;2005;40.1;20.2;34.9;13.1;18.2;35.0;56.9;8.1;78.7;16.8;4.5;38.6;20.6;34.3;13.8;20.1;33.8;57.4;8.8;78.2;17.1;4.7
31;Totaal allochtonen;18 tot 25 jaar;Totaal mannen en vrouwen;2006*;38.7;20.8;34.7;15.9;16.7;34.0;58.0;8.1;78.8;16.8;4.5;37.7;20.9;34.5;16.5;17.6;33.1;58.1;8.8;78.5;16.9;4.6
32;Totaal allochtonen;18 tot 25 jaar;Mannen;1999;42.3;20.7;33.9;16.4;20.6;28.0;58.4;13.6;74.2;18.8;7.0;41.3;20.7;33.1;17.2;20.3;29.1;58.0;12.9;74.9;18.6;6.6
33;Totaal allochtonen;18 tot 25 jaar;Mannen;2000;40.3;21.7;34.4;15.7;19.0;31.3;56.5;12.1;76.1;18.0;5.9;38.9;22.0;33.6;16.7;18.8;31.8;56.5;11.7;76.7;17.7;5.6
34;Totaal allochtonen;18 tot 25 jaar;Mannen;2001;39.9;20.3;35.3;15.1;18.8;31.3;56.2;12.5;76.8;17.9;5.3;38.8;20.2;35.1;16.0;18.9;31.0;56.8;12.2;77.1;17.8;5.1
35;Totaal allochtonen;18 tot 25 jaar;Mannen;2002;37.5;22.4;35.2;15.9;19.7;33.6;55.2;11.2;75.9;18.6;5.5;36.3;22.7;34.6;17.1;20.4;32.2;56.3;11.5;75.5;18.8;5.6
36;Totaal allochtonen;18 tot 25 jaar;Mannen;2003;37.7;21.9;35.0;16.0;19.7;34.2;55.6;10.2;76.5;17.8;5.8;36.6;22.0;35.0;17.0;20.1;32.6;56.7;10.7;76.1;18.1;5.8
37;Totaal allochtonen;18 tot 25 jaar;Mannen;2004;37.6;22.5;36.3;13.8;21.6;32.2;58.1;9.8;75.7;17.9;6.4;36.6;22.5;35.6;14.7;23.3;30.6;59.1;10.3;75.1;18.3;6.6
38;Totaal allochtonen;18 tot 25 jaar;Mannen;2005;36.5;21.9;38.2;14.4;19.1;30.6;60.0;9.4;76.1;18.8;5.2;35.5;22.0;37.1;15.0;20.8;29.7;60.2;10.1;75.9;18.8;5.3
39;Totaal allochtonen;18 tot 25 jaar;Mannen;2006*;35.2;22.3;37.0;17.3;17.7;29.3;61.5;9.3;76.6;18.3;5.0;34.8;22.2;36.5;17.7;18.5;28.8;61.2;10.0;76.6;18.3;5.2
40;Totaal allochtonen;18 tot 25 jaar;Vrouwen;1999;75.3;9.0;14.0;4.5;9.2;56.0;41.6;2.3;90.0;8.4;1.6;74.4;9.3;14.2;4.6;9.6;55.7;41.6;2.8;89.7;8.8;1.5
41;Totaal allochtonen;18 tot 25 jaar;Vrouwen;2000;71.5;7.9;13.7;4.9;9.0;59.5;37.7;2.8;93.8;5.4;;71.0;7.9;13.6;5.4;9.1;60.0;37.2;2.8;93.9;5.1;
42;Totaal allochtonen;18 tot 25 jaar;Vrouwen;2001;72.1;7.4;13.6;5.6;8.8;62.4;36.4;1.2;93.5;5.5;1.0;71.3;7.5;14.3;5.9;8.6;63.1;35.5;1.4;93.6;5.5;0.9
43;Totaal allochtonen;18 tot 25 jaar;Vrouwen;2002;69.1;7.4;14.5;4.4;12.5;59.7;39.1;1.2;92.8;6.5;;68.0;8.0;15.4;4.8;12.0;60.2;38.6;1.2;92.5;6.8;
44;Totaal allochtonen;18 tot 25 jaar;Vrouwen;2003;66.0;9.2;16.2;5.2;13.0;61.1;37.5;1.4;91.7;7.1;1.2;66.0;9.4;15.9;6.0;12.0;61.6;37.0;1.4;92.0;6.8;1.2
45;Totaal allochtonen;18 tot 25 jaar;Vrouwen;2004;59.2;11.6;19.1;5.2;15.3;58.7;39.0;2.3;91.0;7.9;1.1;58.0;11.5;19.5;5.2;16.0;60.0;37.6;2.4;91.2;7.7;1.1
46;Totaal allochtonen;18 tot 25 jaar;Vrouwen;2005;59.3;11.8;17.7;6.0;13.8;58.7;40.2;1.1;92.5;6.4;1.0;57.0;12.0;17.7;6.6;15.7;58.6;40.4;1.0;92.1;6.8;1.1
47;Totaal allochtonen;18 tot 25 jaar;Vrouwen;2006*;57.3;12.1;21.9;8.3;11.3;59.4;39.1;1.5;90.3;8.5;1.2;55.8;12.4;21.6;8.5;12.4;59.8;38.7;1.6;90.4;8.5;1.1
48;Totaal allochtonen;25 tot 45 jaar;Totaal mannen en vrouwen;1999;40.6;14.7;25.2;25.9;17.7;32.3;47.8;19.9;80.7;15.2;4.1;40.9;14.6;25.0;26.1;17.6;32.0;47.2;20.8;80.7;15.1;4.2
49;Totaal allochtonen;25 tot 45 jaar;Totaal mannen en vrouwen;2000;37.2;14.3;27.0;26.3;17.4;32.8;47.4;19.8;82.0;14.5;3.6;37.4;14.2;26.7;26.5;17.4;32.5;47.0;20.5;82.0;14.4;3.6
50;Totaal allochtonen;25 tot 45 jaar;Totaal mannen en vrouwen;2001;35.8;14.5;27.9;26.5;16.4;32.5;47.9;19.5;82.9;13.5;3.5;36.3;14.5;27.7;26.4;16.6;32.4;47.5;20.1;82.8;13.6;3.6
51;Totaal allochtonen;25 tot 45 jaar;Totaal mannen en vrouwen;2002;34.6;14.9;29.8;26.2;17.9;32.5;48.0;19.6;81.6;14.2;4.2;35.1;14.9;29.5;26.2;18.0;32.3;47.6;20.1;81.4;14.2;4.3
52;Totaal allochtonen;25 tot 45 jaar;Totaal mannen en vrouwen;2003;31.7;14.2;31.9;26.4;18.6;31.8;49.6;18.6;82.0;13.8;4.2;32.2;14.1;31.5;26.4;18.7;31.5;49.5;19.0;82.0;13.9;4.2
53;Totaal allochtonen;25 tot 45 jaar;Totaal mannen en vrouwen;2004;30.8;14.6;33.6;24.5;19.6;31.3;50.4;18.3;81.7;14.4;4.0;31.0;14.5;33.2;24.7;19.6;31.3;50.3;18.5;81.8;14.3;4.0
54;Totaal allochtonen;25 tot 45 jaar;Totaal mannen en vrouwen;2005;29.6;14.6;34.5;24.4;19.1;31.2;50.1;18.7;82.3;13.9;3.8;29.8;14.6;34.3;24.5;19.0;30.9;50.2;18.9;82.3;13.8;3.9
55;Totaal allochtonen;25 tot 45 jaar;Totaal mannen en vrouwen;2006*;29.6;14.1;34.5;24.9;17.9;30.7;50.7;18.6;82.9;13.7;3.5;29.7;14.2;34.4;25.2;17.9;30.4;50.9;18.7;82.8;13.7;3.5
56;Totaal allochtonen;25 tot 45 jaar;Mannen;1999;34.8;16.2;27.7;29.1;18.7;28.6;49.3;22.2;79.0;16.3;4.7;35.1;16.0;27.5;29.3;18.7;28.1;48.7;23.2;79.0;16.2;4.8
57;Totaal allochtonen;25 tot 45 jaar;Mannen;2000;31.8;15.4;29.4;29.4;18.2;29.1;49.0;21.9;80.6;15.4;4.1;32.1;15.2;29.1;29.6;18.1;28.9;48.6;22.6;80.7;15.2;4.1
58;Totaal allochtonen;25 tot 45 jaar;Mannen;2001;30.4;15.6;30.1;29.7;17.4;28.7;49.5;21.8;81.4;14.6;4.0;31.0;15.6;29.9;29.6;17.5;28.5;49.1;22.4;81.2;14.7;4.1
59;Totaal allochtonen;25 tot 45 jaar;Mannen;2002;29.6;16.0;32.3;29.2;18.9;28.8;49.4;21.8;79.8;15.3;4.9;30.2;16.0;32.0;29.1;19.0;28.6;49.0;22.4;79.7;15.3;5.0
60;Totaal allochtonen;25 tot 45 jaar;Mannen;2003;27.0;15.0;34.5;29.1;19.5;28.0;51.3;20.7;80.3;15.0;4.7;27.6;14.9;34.0;29.0;19.6;27.8;51.2;21.1;80.3;15.0;4.7
61;Totaal allochtonen;25 tot 45 jaar;Mannen;2004;26.6;15.4;36.3;26.9;20.3;27.3;52.1;20.6;79.9;15.6;4.5;27.1;15.3;35.7;26.9;20.2;27.4;51.9;20.7;80.1;15.4;4.5
62;Totaal allochtonen;25 tot 45 jaar;Mannen;2005;25.4;15.3;37.3;26.8;19.7;26.8;51.9;21.3;80.6;15.0;4.3;25.8;15.3;36.9;26.8;19.6;26.8;51.8;21.3;80.7;15.0;4.3
63;Totaal allochtonen;25 tot 45 jaar;Mannen;2006*;25.5;15.0;37.1;27.2;18.8;26.1;52.7;21.2;81.1;14.9;4.0;25.7;15.0;36.8;27.5;18.6;26.1;52.7;21.2;81.0;14.9;4.0
64;Totaal allochtonen;25 tot 45 jaar;Vrouwen;1999;70.7;7.4;12.1;9.2;12.2;51.8;40.1;8.1;89.5;9.4;1.1;70.4;7.5;12.2;9.5;12.2;51.6;39.9;8.5;89.5;9.3;1.2
65;Totaal allochtonen;25 tot 45 jaar;Vrouwen;2000;66.2;8.8;13.9;9.6;13.1;52.4;38.7;8.9;89.4;9.8;0.9;65.9;8.9;13.7;9.8;13.3;52.2;38.5;9.3;89.4;9.8;0.8
66;Totaal allochtonen;25 tot 45 jaar;Vrouwen;2001;63.2;9.0;16.8;10.0;11.4;52.1;39.9;8.0;90.9;8.0;1.1;63.1;9.1;16.7;10.1;11.5;51.7;39.9;8.4;90.7;8.2;1.1
67;Totaal allochtonen;25 tot 45 jaar;Vrouwen;2002;60.6;9.5;16.6;11.0;12.6;51.8;40.5;7.8;90.8;8.3;1.0;60.7;9.5;16.6;10.8;12.9;51.4;40.4;8.2;90.6;8.4;1.0
68;Totaal allochtonen;25 tot 45 jaar;Vrouwen;2003;56.5;9.5;18.1;12.4;13.7;52.0;40.6;7.4;91.1;7.5;1.3;56.3;9.6;18.4;12.3;14.0;51.4;40.7;7.8;90.8;7.8;1.4
69;Totaal allochtonen;25 tot 45 jaar;Vrouwen;2004;52.3;10.2;19.5;12.4;16.0;52.5;41.2;6.3;90.8;8.0;1.2;52.2;10.1;19.6;12.5;16.2;51.9;41.5;6.6;90.7;8.1;1.2
70;Totaal allochtonen;25 tot 45 jaar;Vrouwen;2005;49.5;11.0;21.4;13.1;16.1;52.2;41.5;6.3;90.4;8.2;1.4;50.0;11.0;21.3;12.9;16.0;51.4;42.0;6.7;90.3;8.2;1.4
71;Totaal allochtonen;25 tot 45 jaar;Vrouwen;2006*;48.7;10.3;22.4;14.3;14.1;52.1;41.6;6.3;91.1;7.9;1.0;49.2;10.3;22.5;13.9;14.0;51.4;42.0;6.7;91.1;7.9;1.0
72;Totaal allochtonen;45 tot 80 jaar;Totaal mannen en vrouwen;1999;37.4;11.2;17.9;32.1;14.3;46.3;37.2;16.5;88.6;10.0;1.4;38.6;11.0;18.4;30.7;14.8;45.1;38.3;16.6;88.0;10.5;1.4
73;Totaal allochtonen;45 tot 80 jaar;Totaal mannen en vrouwen;2000;35.6;11.6;20.2;31.5;14.4;46.1;37.5;16.4;88.2;10.3;1.5;36.6;11.7;20.5;30.7;14.5;46.0;37.8;16.3;87.7;10.8;1.5
74;Totaal allochtonen;45 tot 80 jaar;Totaal mannen en vrouwen;2001;34.5;10.9;22.9;30.4;14.6;43.0;39.5;17.6;88.8;9.5;1.8;35.8;10.7;23.1;29.1;14.5;42.4;40.4;17.2;88.8;9.4;1.8
75;Totaal allochtonen;45 tot 80 jaar;Totaal mannen en vrouwen;2002;33.8;11.4;23.3;30.5;15.5;41.0;40.6;18.5;88.0;9.7;2.3;34.7;11.5;23.6;29.8;15.5;40.7;41.5;17.8;87.7;9.9;2.4
76;Totaal allochtonen;45 tot 80 jaar;Totaal mannen en vrouwen;2003;30.5;11.7;26.5;28.9;17.2;41.0;41.2;17.8;87.6;10.1;2.3;31.0;11.9;27.0;28.0;17.3;40.9;42.2;16.9;87.4;10.2;2.3
77;Totaal allochtonen;45 tot 80 jaar;Totaal mannen en vrouwen;2004;29.0;11.8;26.8;28.5;18.3;39.9;41.7;18.4;88.1;9.7;2.2;30.0;11.7;27.7;27.4;17.8;39.8;42.5;17.8;87.9;9.9;2.2
