ID;WoonregioS;WerkregioS;Perioden;TotaalHoofdbanenVanWerknemers_1;HoofdbaanBinnenWoongemeente_2;HoofdbaanBuitenWoongemeente_3;HoofdbaanBinnenWoonCOROP_4;HoofdbaanBuitenWoonCOROP_5;HoofdbaanBinnenWoonprovincie_6;HoofdbaanBuitenWoonprovincie_7;GemiddeldeWoonwerkafstand_8
0;Nederland inclusief buitenland;Nederland totaal;31 december 1998;6514.1;2881.3;3632.8;4578.4;1935.8;5472.8;1041.3;
1;Nederland inclusief buitenland;Nederland totaal;31 december 2000;6681.0;2879.5;3801.5;4757.8;1923.1;5527.1;1153.9;
2;Nederland inclusief buitenland;Nederland totaal;30 september 2004;7129.5;3150.3;3979.1;5008.8;2120.6;5822.0;1307.5;
3;Nederland inclusief buitenland;Nederland totaal;30 september 2005;7159.6;3157.3;4002.3;5002.7;2156.8;5820.7;1338.9;
4;Nederland inclusief buitenland;Provincie onbekend;31 december 1998;0.0;;;;;;;0.0
5;Nederland inclusief buitenland;Provincie onbekend;31 december 2000;0.0;;;;;;;0.0
6;Nederland inclusief buitenland;Provincie onbekend;30 september 2004;51.3;0.0;51.3;0.0;51.3;0.0;51.3;
7;Nederland inclusief buitenland;Provincie onbekend;30 september 2005;52.7;0.0;52.7;0.0;52.7;0.0;52.7;
8;Nederland inclusief buitenland;Groningen (PV);31 december 1998;210.9;99.9;111.0;153.5;57.4;174.0;36.8;
9;Nederland inclusief buitenland;Groningen (PV);31 december 2000;217.7;102.2;115.5;157.7;60.0;179.1;38.6;
10;Nederland inclusief buitenland;Groningen (PV);30 september 2004;228.6;109.2;119.4;163.8;64.8;186.6;42.0;
11;Nederland inclusief buitenland;Groningen (PV);30 september 2005;230.6;109.6;121.1;163.8;66.8;186.7;43.9;
12;Nederland inclusief buitenland;Friesland (PV);31 december 1998;207.6;105.8;101.8;161.5;46.1;188.3;19.2;
13;Nederland inclusief buitenland;Friesland (PV);31 december 2000;219.4;108.7;110.7;168.4;51.0;197.6;21.9;
14;Nederland inclusief buitenland;Friesland (PV);30 september 2004;234.5;117.0;117.5;178.7;55.8;211.5;23.0;
15;Nederland inclusief buitenland;Friesland (PV);30 september 2005;237.8;117.4;120.4;179.5;58.3;213.3;24.4;
16;Nederland inclusief buitenland;Drenthe (PV);31 december 1998;160.5;87.0;73.5;112.9;47.6;127.2;33.3;
17;Nederland inclusief buitenland;Drenthe (PV);31 december 2000;165.5;89.0;76.5;115.8;49.7;130.1;35.4;
18;Nederland inclusief buitenland;Drenthe (PV);30 september 2004;174.4;91.9;82.5;119.1;55.3;135.3;39.1;
19;Nederland inclusief buitenland;Drenthe (PV);30 september 2005;176.1;93.7;82.4;121.9;54.3;135.7;40.4;
20;Nederland inclusief buitenland;Overijssel (PV);31 december 1998;413.4;206.9;206.5;331.6;81.8;353.7;59.7;
21;Nederland inclusief buitenland;Overijssel (PV);31 december 2000;426.9;211.7;215.2;338.3;88.6;362.1;64.8;
22;Nederland inclusief buitenland;Overijssel (PV);30 september 2004;466.8;238.3;228.5;358.8;108.0;386.0;80.8;
23;Nederland inclusief buitenland;Overijssel (PV);30 september 2005;469.3;238.9;230.4;358.6;110.7;386.3;83.0;
24;Nederland inclusief buitenland;Flevoland (PV);31 december 1998;91.0;55.3;35.7;65.5;25.5;65.5;25.5;
25;Nederland inclusief buitenland;Flevoland (PV);31 december 2000;101.3;59.1;42.2;70.7;30.7;70.7;30.7;
