ID;Inkomensbestanddelen;KenmerkenVanPersonen;Populatie;Perioden;AantalPersonen_1;Percentage_2;Bedrag_3;GemiddeldBedrag_4;AandeelInBrutoInkomen_5
0;Primair inkomen;Totaal personen;Personen met inkomen;1990;8165;80.3;137070.0;16.8;75.0
1;Primair inkomen;Totaal personen;Personen met inkomen;1991;8273;80.0;144279.0;17.4;74.9
2;Primair inkomen;Totaal personen;Personen met inkomen;1992;8462;80.4;152918.0;18.1;74.6
3;Primair inkomen;Totaal personen;Personen met inkomen;1993;8486;79.9;153869.0;18.1;73.9
4;Primair inkomen;Totaal personen;Personen met inkomen;1994;8533;79.7;155108.0;18.2;73.9
5;Primair inkomen;Totaal personen;Personen met inkomen;1995;8787;80.7;161625.0;18.4;74.6
6;Primair inkomen;Totaal personen;Personen met inkomen;1996;8964;81.3;166022.0;18.5;74.6
7;Primair inkomen;Totaal personen;Personen met inkomen;1997;9243;82.5;172410.0;18.7;75.3
8;Primair inkomen;Totaal personen;Personen met inkomen;1998;9449;83.2;181885.0;19.2;76.1
9;Primair inkomen;Totaal personen;Personen met inkomen;1999;9570;83.4;195257.0;20.4;77.3
10;Primair inkomen;Totaal personen;Personen met inkomen;2000;9747;83.5;206943.0;21.2;77.1
11;Primair inkomen;Totaal personen;Personen met 52 weken inkomen;1990;7051;80.9;132429.0;18.8;75.5
12;Primair inkomen;Totaal personen;Personen met 52 weken inkomen;1991;7233;80.5;140005.0;19.4;75.4
13;Primair inkomen;Totaal personen;Personen met 52 weken inkomen;1992;7445;81.0;148778.0;20.0;75.2
14;Primair inkomen;Totaal personen;Personen met 52 weken inkomen;1993;7509;80.7;149865.0;20.0;74.5
15;Primair inkomen;Totaal personen;Personen met 52 weken inkomen;1994;7556;80.6;151054.0;20.0;74.4
16;Primair inkomen;Totaal personen;Personen met 52 weken inkomen;1995;7776;81.4;157499.0;20.3;75.2
17;Primair inkomen;Totaal personen;Personen met 52 weken inkomen;1996;7952;81.6;161428.0;20.3;75.0
18;Primair inkomen;Totaal personen;Personen met 52 weken inkomen;1997;8213;82.6;167940.0;20.4;75.5
19;Primair inkomen;Totaal personen;Personen met 52 weken inkomen;1998;8382;83.1;176683.0;21.1;76.2
20;Primair inkomen;Totaal personen;Personen met 52 weken inkomen;1999;8465;83.2;188702.0;22.3;77.3
