ID;Geslacht;Leeftijd;Herkomst;Generatie;PercentageAOWOpbouw;Loonklasse;Perioden;AantalWerknemers_1;OpgebouwdeJaarlijkseAanspraken_2;ContanteWaarde_3;TeBereikenJaarlijkseAanspraken_4;Vervangingspercentage_5;OpgebouwdeJaarlijkseAanspraken_6;ContanteWaarde_7;TeBereikenJaarlijkseAanspraken_8;Vervangingspercentage_9;VierdePijler_10;OpgebouwdeJaarlijkseAanspraken_11;ContanteWaarde_12;TeBereikenJaarlijkseAanspraken_13;Vervangingspercentage_14
0;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Totaal alle AOW-percentages;Totaal loonklassen;2005;6293950.0;4100.0;22300.0;8700.0;29.0;4600.0;27500.0;12800.0;42.0;48.0;8700.0;49800.0;21500.0;71.0
1;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Totaal alle AOW-percentages;Tot 25.000 euro per jaar;2005;2863900.0;3700.0;20500.0;8900.0;58.0;1300.0;7500.0;4300.0;28.0;37.0;5000.0;28000.0;13200.0;86.0
2;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Totaal alle AOW-percentages;25.000 tot 50.000 euro per jaar;2005;2792600.0;4400.0;22900.0;8700.0;25.0;5600.0;31700.0;17700.0;51.0;52.0;10000.0;54600.0;26400.0;76.0
3;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Totaal alle AOW-percentages;50.000 tot 75.000 euro per jaar;2005;453050.0;5000.0;27800.0;8300.0;14.0;12800.0;79200.0;25800.0;43.0;75.0;17800.0;107000.0;34100.0;57.0
4;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Totaal alle AOW-percentages;75.000 euro of meer per jaar;2005;184400.0;4900.0;28000.0;7900.0;7.0;21900.0;147200.0;38200.0;33.0;79.0;26800.0;175200.0;46100.0;40.0
5;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Minder dan 70% AOW-opbouw;Totaal loonklassen;2005;384850.0;2000.0;11000.0;6200.0;20.0;3600.0;23300.0;8800.0;28.0;30.0;5600.0;34300.0;15000.0;48.0
6;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Minder dan 70% AOW-opbouw;Tot 25.000 euro per jaar;2005;201500.0;1800.0;10100.0;6400.0;43.0;800.0;4700.0;2800.0;18.0;22.0;2600.0;14800.0;9200.0;61.0
7;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Minder dan 70% AOW-opbouw;25.000 tot 50.000 euro per jaar;2005;139500.0;2200.0;11700.0;6300.0;19.0;3700.0;22000.0;11400.0;34.0;32.0;5900.0;33700.0;17700.0;53.0
8;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Minder dan 70% AOW-opbouw;50.000 tot 75.000 euro per jaar;2005;23600.0;2300.0;13400.0;5600.0;9.0;11500.0;74700.0;22400.0;37.0;61.0;13800.0;88100.0;28000.0;46.0
9;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Minder dan 70% AOW-opbouw;75.000 euro of meer per jaar;2005;20250.0;2000.0;12500.0;5100.0;4.0;21300.0;157200.0;35400.0;25.0;61.0;23300.0;169700.0;40500.0;29.0
10;Totaal mannen en vrouwen;0;0;Totaal alle generaties;70% tot 95% AOW-opbouw;Totaal loonklassen;2005;257800.0;4100.0;23700.0;8100.0;25.0;5000.0;32000.0;11800.0;36.0;38.0;9100.0;55700.0;19900.0;61.0
11;Totaal mannen en vrouwen;0;0;Totaal alle generaties;70% tot 95% AOW-opbouw;Tot 25.000 euro per jaar;2005;114400.0;3800.0;22600.0;8300.0;52.0;1300.0;8700.0;3800.0;24.0;28.0;5100.0;31300.0;12100.0;76.0
12;Totaal mannen en vrouwen;0;0;Totaal alle generaties;70% tot 95% AOW-opbouw;25.000 tot 50.000 euro per jaar;2005;113450.0;4300.0;24600.0;8100.0;23.0;5200.0;33000.0;14200.0;41.0;40.0;9500.0;57600.0;22300.0;64.0
13;Totaal mannen en vrouwen;0;0;Totaal alle generaties;70% tot 95% AOW-opbouw;50.000 tot 75.000 euro per jaar;2005;18500.0;4400.0;25500.0;7800.0;13.0;12600.0;81700.0;24800.0;41.0;67.0;17000.0;107200.0;32600.0;54.0
14;Totaal mannen en vrouwen;0;0;Totaal alle generaties;70% tot 95% AOW-opbouw;75.000 euro of meer per jaar;2005;11500.0;4400.0;24400.0;7600.0;6.0;25800.0;173900.0;47000.0;36.0;76.0;30200.0;198300.0;54600.0;42.0
15;Totaal mannen en vrouwen;0;0;Totaal alle generaties;95% of meer AOW-opbouw;Totaal loonklassen;2005;5651300.0;4300.0;23000.0;8900.0;30.0;4700.0;27600.0;13100.0;44.0;49.0;9000.0;50600.0;22000.0;74.0
16;Totaal mannen en vrouwen;0;0;Totaal alle generaties;95% of meer AOW-opbouw;Tot 25.000 euro per jaar;2005;2548000.0;3800.0;21300.0;9100.0;59.0;1300.0;7600.0;4400.0;29.0;39.0;5100.0;28900.0;13500.0;88.0
17;Totaal mannen en vrouwen;0;0;Totaal alle generaties;95% of meer AOW-opbouw;25.000 tot 50.000 euro per jaar;2005;2539650.0;4500.0;23500.0;8800.0;25.0;5700.0;32200.0;18200.0;52.0;54.0;10200.0;55700.0;27000.0;77.0
18;Totaal mannen en vrouwen;0;0;Totaal alle generaties;95% of meer AOW-opbouw;50.000 tot 75.000 euro per jaar;2005;410950.0;5100.0;28700.0;8400.0;14.0;12900.0;79400.0;26000.0;44.0;77.0;18000.0;108100.0;34400.0;58.0
19;Totaal mannen en vrouwen;0;0;Totaal alle generaties;95% of meer AOW-opbouw;75.000 euro of meer per jaar;2005;152700.0;5300.0;30300.0;8300.0;8.0;21700.0;143800.0;37900.0;34.0;81.0;27000.0;174100.0;46200.0;42.0
20;Totaal mannen en vrouwen;0;0;Eerste generatie allochtonen;Totaal alle AOW-percentages;Totaal loonklassen;2005;584550.0;2900.0;15100.0;7600.0;28.0;2400.0;14600.0;7500.0;27.0;24.0;5300.0;29700.0;15100.0;55.0
21;Totaal mannen en vrouwen;0;0;Eerste generatie allochtonen;Totaal alle AOW-percentages;Tot 25.000 euro per jaar;2005;317050.0;2500.0;13300.0;7600.0;49.0;700.0;4200.0;2900.0;18.0;18.0;3200.0;17500.0;10500.0;67.0
22;Totaal mannen en vrouwen;0;0;Eerste generatie allochtonen;Totaal alle AOW-percentages;25.000 tot 50.000 euro per jaar;2005;230200.0;3300.0;17200.0;7600.0;23.0;3500.0;20100.0;11300.0;34.0;29.0;6800.0;37300.0;18900.0;57.0
23;Totaal mannen en vrouwen;0;0;Eerste generatie allochtonen;Totaal alle AOW-percentages;50.000 tot 75.000 euro per jaar;2005;23100.0;3400.0;19300.0;7100.0;12.0;9200.0;58200.0;20500.0;34.0;54.0;12600.0;77500.0;27600.0;46.0
24;Totaal mannen en vrouwen;0;0;Eerste generatie allochtonen;Totaal alle AOW-percentages;75.000 euro of meer per jaar;2005;14200.0;2400.0;14000.0;5900.0;4.0;12800.0;87600.0;25100.0;18.0;47.0;15200.0;101600.0;31000.0;22.0
25;Totaal mannen en vrouwen;0;0;Eerste generatie allochtonen;Minder dan 70% AOW-opbouw;Totaal loonklassen;2005;291050.0;1700.0;9000.0;6400.0;23.0;1700.0;9800.0;6300.0;23.0;21.0;3400.0;18800.0;12700.0;46.0
26;Totaal mannen en vrouwen;0;0;Eerste generatie allochtonen;Minder dan 70% AOW-opbouw;Tot 25.000 euro per jaar;2005;168250.0;1600.0;8500.0;6500.0;43.0;500.0;2700.0;2500.0;16.0;17.0;2100.0;11200.0;9000.0;59.0
27;Totaal mannen en vrouwen;0;0;Eerste generatie allochtonen;Minder dan 70% AOW-opbouw;25.000 tot 50.000 euro per jaar;2005;101400.0;2000.0;9900.0;6400.0;19.0;2400.0;13100.0;10100.0;30.0;23.0;4400.0;23000.0;16500.0;49.0
28;Totaal mannen en vrouwen;0;0;Eerste generatie allochtonen;Minder dan 70% AOW-opbouw;50.000 tot 75.000 euro per jaar;2005;11350.0;1800.0;9600.0;5800.0;10.0;6600.0;39100.0;18300.0;30.0;44.0;8400.0;48700.0;24100.0;40.0
29;Totaal mannen en vrouwen;0;0;Eerste generatie allochtonen;Minder dan 70% AOW-opbouw;75.000 euro of meer per jaar;2005;10050.0;1300.0;7500.0;5000.0;3.0;9400.0;62700.0;20300.0;14.0;37.0;10700.0;70200.0;25300.0;17.0
30;Totaal mannen en vrouwen;0;0;Eerste generatie allochtonen;70% tot 95% AOW-opbouw;Totaal loonklassen;2005;119200.0;4100.0;24500.0;8100.0;30.0;3300.0;22300.0;8100.0;30.0;30.0;7400.0;46800.0;16200.0;60.0
