ID;Begrotingshoofdstukken;Perioden;Uitgaven_1;Ontvangsten_2;Saldo_3
0;Totaal begrotingshoofdstukken;1998;120608.0;121790.0;1182.0
1;Totaal begrotingshoofdstukken;1999;162438.0;162624.0;186.0
2;Totaal begrotingshoofdstukken;2000;144360.0;132313.0;-12047.0
3;Totaal begrotingshoofdstukken;2001;147573.0;142656.0;-4917.0
4;Totaal begrotingshoofdstukken;2002;163456.0;174781.0;11325.0
5;Totaal begrotingshoofdstukken;2003;168733.0;169384.0;651.0
6;Totaal begrotingshoofdstukken;2004;166401.0;167473.0;1072.0
7;Totaal begrotingshoofdstukken;2005;189775.0;190250.0;476.0
8;Totaal begrotingshoofdstukken;2006;186450.0;188458.0;2009.0
9;Totaal begrotingshoofdstukken;2007;194789.0;195485.0;696.0
10;Totaal begrotingshoofdstukken;2008;238864.0;236041.0;-2823.0
11;Totaal begrotingshoofdstukken;2009;246698.0;245824.0;-874.0
12;Totaal begrotingshoofdstukken;2010;237570.0;234957.0;-2613.0
13;Totaal begrotingshoofdstukken;2011;236681.0;227835.0;-8847.0
14;Totaal begrotingshoofdstukken;2012;236390.0;231511.0;-4879.0
15;Totaal begrotingshoofdstukken;2013;225423.0;228661.0;3238.0
16;Totaal begrotingshoofdstukken;2014;242630.0;231114.0;-11513.0
17;Totaal begrotingshoofdstukken;2015;246283.0;244542.0;-1741.0
18;Totaal begrotingshoofdstukken;2016;231086.0;233145.0;2059.0
19;Totaal begrotingshoofdstukken;2017;235520.0;241506.0;5986.0
20;Totaal begrotingshoofdstukken;2018;242126.0;245161.0;3035.0
21;Huis der Koningin;1998;6.0;0.0;-6.0
22;Huis der Koningin;1999;6.0;0.0;-6.0
23;Huis der Koningin;2000;6.0;0.0;-6.0
24;Huis der Koningin;2001;7.0;0.0;-7.0
25;Huis der Koningin;2002;8.0;0.0;-8.0
26;Huis der Koningin;2003;7.0;0.0;-7.0
27;Huis der Koningin;2004;7.0;0.0;-7.0
28;Huis der Koningin;2005;6.0;0.0;-6.0
29;Huis der Koningin;2006;6.0;0.0;-6.0
30;Huis der Koningin;2007;6.0;0.0;-6.0
31;Huis der Koningin;2008;6.0;0.0;-6.0
32;Huis der Koningin;2009;7.0;0.0;-7.0
33;Huis der Koningin;2010;;;
34;Huis der Koningin;2011;;;
35;Huis der Koningin;2012;;;
36;Huis der Koningin;2013;;;
37;Huis der Koningin;2014;;;
38;Huis der Koningin;2015;;;
