ID;Geslacht;Leeftijd;Onderwijssoort;Uitkeringen;StartkwalificatieOpPeilmoment;Peilmoment;Perioden;Schoolverlaters_1;VoortijdigSchoolverlaters_2;SchoolverlatersMetStartkwalificatie_3
0;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;Direct na verlaten onderwijs;2007/'08;113740.0;48450.0;65290.0
1;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;Direct na verlaten onderwijs;2008/'09;107180.0;43340.0;63840.0
2;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;Direct na verlaten onderwijs;2009/'10;109620.0;42990.0;66640.0
3;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;Direct na verlaten onderwijs;2010/'11;110260.0;41730.0;68530.0
4;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;Direct na verlaten onderwijs;2011/'12;113080.0;40290.0;72790.0
5;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;Direct na verlaten onderwijs;2012/'13;98290.0;31290.0;67000.0
6;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;Direct na verlaten onderwijs;2013/'14;95050.0;29320.0;65730.0
7;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;Direct na verlaten onderwijs;2014/'15;102950.0;28120.0;74840.0
8;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;Direct na verlaten onderwijs;2015/'16;100740.0;27440.0;73310.0
9;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;Direct na verlaten onderwijs;2016/'17;103960.0;28360.0;75600.0
10;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;Direct na verlaten onderwijs;2017/'18;105320.0;30260.0;75060.0
11;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;Direct na verlaten onderwijs;2018/'19;109160.0;31470.0;77680.0
12;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;Direct na verlaten onderwijs;2019/'20;98560.0;26360.0;72200.0
13;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;Direct na verlaten onderwijs;2020/'21;104660.0;28790.0;75870.0
14;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;Direct na verlaten onderwijs;2021/'22;119000.0;35840.0;83170.0
15;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2007/'08;113740.0;48450.0;65290.0
16;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2008/'09;107180.0;43340.0;63840.0
17;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2009/'10;109620.0;42990.0;66640.0
18;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2010/'11;110260.0;41730.0;68530.0
19;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2011/'12;113080.0;40290.0;72790.0
20;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2012/'13;98290.0;31290.0;67000.0
21;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2013/'14;95050.0;29320.0;65730.0
22;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2014/'15;102950.0;28120.0;74840.0
23;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2015/'16;100740.0;27440.0;73310.0
24;Totaal schoolverlaters;Totaal schoolverlaters;Totaal schoolverlaters;Totaal;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2016/'17;103960.0;28360.0;75600.0
