ID;Beroepsklasse;Perioden;PersonenDieTweeJaarEenBaanHebben_1;GeenBeroepenmobiliteit_2;Beroepenmobiliteit_3
0;1;2003/'04;6442.0;5707.0;736.0
1;1;2004/'05;6423.0;5710.0;712.0
2;1;2005/'06;6509.0;5721.0;788.0
3;1;2006/'07;6679.0;5761.0;922.0
4;1;2007/'08;6866.0;5866.0;999.0
5;1;2008/'09;6926.0;6038.0;888.0
6;1;2009/'10;6853.0;6078.0;776.0
7;1;2010/'11;6782.0;5942.0;840.0
8;1;2011/'12;6765.0;5939.0;826.0
9;2;2003/'04;426.0;373.0;53.0
10;2;2004/'05;403.0;350.0;53.0
11;2;2005/'06;428.0;361.0;67.0
12;2;2006/'07;447.0;370.0;77.0
13;2;2007/'08;468.0;384.0;84.0
14;2;2008/'09;436.0;372.0;64.0
15;2;2009/'10;432.0;371.0;61.0
16;2;2010/'11;399.0;346.0;53.0
17;2;2011/'12;409.0;362.0;47.0
18;3;2003/'04;11.0;8.0;3.0
19;3;2004/'05;4.0;4.0;
20;3;2005/'06;6.0;5.0;
21;3;2006/'07;6.0;4.0;2.0
22;3;2007/'08;12.0;9.0;3.0
23;3;2008/'09;10.0;8.0;2.0
24;3;2009/'10;11.0;8.0;3.0
25;3;2010/'11;10.0;9.0;
26;3;2011/'12;14.0;11.0;3.0
27;4;2003/'04;4.0;4.0;
28;4;2004/'05;5.0;4.0;
29;4;2005/'06;5.0;5.0;
30;4;2006/'07;5.0;5.0;
31;4;2007/'08;7.0;5.0;2.0
32;4;2008/'09;6.0;5.0;
33;4;2009/'10;6.0;6.0;0.0
34;4;2010/'11;4.0;4.0;
35;4;2011/'12;5.0;4.0;
36;5;2003/'04;84.0;76.0;8.0
37;5;2004/'05;96.0;90.0;6.0
38;5;2005/'06;85.0;78.0;7.0
39;5;2006/'07;93.0;81.0;12.0
40;5;2007/'08;93.0;80.0;13.0
41;5;2008/'09;87.0;78.0;9.0
42;5;2009/'10;93.0;84.0;9.0
43;5;2010/'11;91.0;82.0;9.0
44;5;2011/'12;82.0;76.0;7.0
45;6;2003/'04;3.0;3.0;
46;6;2004/'05;3.0;3.0;
47;6;2005/'06;3.0;3.0;
48;6;2006/'07;;;
49;6;2007/'08;3.0;3.0;
50;6;2008/'09;;;
51;6;2009/'10;2.0;1.0;1.0
52;6;2010/'11;2.0;2.0;
53;6;2011/'12;3.0;3.0;
54;7;2003/'04;428.0;393.0;35.0
55;7;2004/'05;437.0;395.0;42.0
56;7;2005/'06;431.0;384.0;47.0
57;7;2006/'07;425.0;370.0;55.0
58;7;2007/'08;394.0;346.0;48.0
59;7;2008/'09;412.0;368.0;44.0
60;7;2009/'10;373.0;344.0;29.0
61;7;2010/'11;360.0;328.0;32.0
62;7;2011/'12;358.0;325.0;32.0
63;8;2003/'04;234.0;218.0;16.0
64;8;2004/'05;220.0;207.0;13.0
65;8;2005/'06;218.0;201.0;17.0
66;8;2006/'07;222.0;204.0;18.0
67;8;2007/'08;221.0;201.0;20.0
68;8;2008/'09;214.0;197.0;17.0
69;8;2009/'10;220.0;203.0;17.0
70;8;2010/'11;200.0;181.0;20.0
71;8;2011/'12;210.0;195.0;16.0
72;9;2003/'04;26.0;22.0;4.0
73;9;2004/'05;35.0;24.0;11.0
74;9;2005/'06;23.0;14.0;9.0
75;9;2006/'07;24.0;17.0;7.0
76;9;2007/'08;24.0;16.0;8.0
77;9;2008/'09;20.0;17.0;3.0
78;9;2009/'10;21.0;17.0;4.0
79;9;2010/'11;27.0;23.0;4.0
80;9;2011/'12;28.0;22.0;5.0
81;31 Administratief, commercieel;2003/'04;476.0;422.0;54.0
82;31 Administratief, commercieel;2004/'05;529.0;466.0;63.0
83;31 Administratief, commercieel;2005/'06;532.0;454.0;78.0
84;31 Administratief, commercieel;2006/'07;531.0;442.0;89.0
85;31 Administratief, commercieel;2007/'08;526.0;431.0;95.0
86;31 Administratief, commercieel;2008/'09;504.0;425.0;79.0
87;31 Administratief, commercieel;2009/'10;485.0;426.0;59.0
88;31 Administratief, commercieel;2010/'11;495.0;428.0;67.0
89;31 Administratief, commercieel;2011/'12;458.0;402.0;56.0
90;33 Beveiliging;2003/'04;49.0;46.0;3.0
91;33 Beveiliging;2004/'05;39.0;33.0;6.0
92;33 Beveiliging;2005/'06;52.0;46.0;6.0
93;33 Beveiliging;2006/'07;53.0;44.0;9.0
94;33 Beveiliging;2007/'08;49.0;41.0;8.0
95;33 Beveiliging;2008/'09;50.0;45.0;5.0
96;33 Beveiliging;2009/'10;48.0;42.0;6.0
97;33 Beveiliging;2010/'11;47.0;42.0;5.0
98;33 Beveiliging;2011/'12;48.0;40.0;8.0
99;37 Verzorgend;2003/'04;137.0;115.0;22.0
100;37 Verzorgend;2004/'05;158.0;130.0;28.0
101;37 Verzorgend;2005/'06;155.0;128.0;27.0
102;37 Verzorgend;2006/'07;176.0;146.0;30.0
103;37 Verzorgend;2007/'08;173.0;133.0;40.0
104;37 Verzorgend;2008/'09;183.0;150.0;33.0
105;37 Verzorgend;2009/'10;183.0;156.0;27.0
106;37 Verzorgend;2010/'11;163.0;140.0;23.0
107;37 Verzorgend;2011/'12;170.0;145.0;25.0
108;42 Docenten transport-, sportvakken;2003/'04;14.0;13.0;
109;42 Docenten transport-, sportvakken;2004/'05;21.0;19.0;2.0
110;42 Docenten transport-, sportvakken;2005/'06;20.0;17.0;3.0
111;42 Docenten transport-, sportvakken;2006/'07;19.0;17.0;2.0
112;42 Docenten transport-, sportvakken;2007/'08;21.0;17.0;4.0
113;42 Docenten transport-, sportvakken;2008/'09;21.0;17.0;4.0
114;42 Docenten transport-, sportvakken;2009/'10;19.0;17.0;2.0
115;42 Docenten transport-, sportvakken;2010/'11;19.0;18.0;2.0
116;42 Docenten transport-, sportvakken;2011/'12;22.0;20.0;2.0
117;44 Agrarisch;2003/'04;106.0;98.0;8.0
118;44 Agrarisch;2004/'05;111.0;107.0;4.0
119;44 Agrarisch;2005/'06;106.0;103.0;3.0
120;44 Agrarisch;2006/'07;108.0;105.0;3.0
121;44 Agrarisch;2007/'08;122.0;117.0;5.0
122;44 Agrarisch;2008/'09;107.0;104.0;3.0
123;44 Agrarisch;2009/'10;114.0;110.0;4.0
124;44 Agrarisch;2010/'11;97.0;93.0;4.0
125;44 Agrarisch;2011/'12;93.0;87.0;6.0
126;45 Wiskundig, Natuurwetenschappelijk;2003/'04;15.0;14.0;
127;45 Wiskundig, Natuurwetenschappelijk;2004/'05;12.0;11.0;
128;45 Wiskundig, Natuurwetenschappelijk;2005/'06;10.0;10.0;
