ID;RegioS;SociaalEconomischeCategorie;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
0;Nederland;Totaal sociaal-economische categorie;10653.7;17.0
1;Nederland;Totaal actief;6929.3;19.0
2;Nederland;Werknemer;6100.2;18.7
3;Nederland;Zelfstandige;819.9;21.7
4;Nederland;Totaal niet-actief;3721.5;13.2
5;Nederland;Werkloosheids- en bijstandsuitk. ontv.;402.7;10.9
6;Nederland;Pensioenontvanger;2387.6;14.7
7;Noord-Nederland;Totaal sociaal-economische categorie;1106.4;15.6
8;Noord-Nederland;Totaal actief;687.8;17.5
9;Noord-Nederland;Werknemer;592.5;17.0
10;Noord-Nederland;Zelfstandige;94.1;20.4
11;Noord-Nederland;Totaal niet-actief;418.3;12.5
12;Noord-Nederland;Werkloosheids- en bijstandsuitk. ontv.;42.5;10.8
13;Noord-Nederland;Pensioenontvanger;270.1;13.7
14;Oost-Nederland;Totaal sociaal-economische categorie;2209.6;16.5
15;Oost-Nederland;Totaal actief;1458.3;18.3
16;Oost-Nederland;Werknemer;1280.7;17.9
17;Oost-Nederland;Zelfstandige;175.5;20.9
18;Oost-Nederland;Totaal niet-actief;750.6;13.0
19;Oost-Nederland;Werkloosheids- en bijstandsuitk. ontv.;67.4;10.9
20;Oost-Nederland;Pensioenontvanger;486.0;14.3
21;West-Nederland;Totaal sociaal-economische categorie;4984.6;17.7
22;West-Nederland;Totaal actief;3258.0;19.9
23;West-Nederland;Werknemer;2880.3;19.6
24;West-Nederland;Zelfstandige;373.8;22.7
25;West-Nederland;Totaal niet-actief;1725.3;13.6
26;West-Nederland;Werkloosheids- en bijstandsuitk. ontv.;216.0;10.9
27;West-Nederland;Pensioenontvanger;1099.2;15.2
28;Zuid-Nederland;Totaal sociaal-economische categorie;2353.0;16.6
29;Zuid-Nederland;Totaal actief;1525.1;18.6
30;Zuid-Nederland;Werknemer;1346.7;18.3
31;Zuid-Nederland;Zelfstandige;176.4;21.0
32;Zuid-Nederland;Totaal niet-actief;827.3;13.0
33;Zuid-Nederland;Werkloosheids- en bijstandsuitk. ontv.;76.8;10.9
34;Zuid-Nederland;Pensioenontvanger;532.2;14.4
35;Groningen;Totaal sociaal-economische categorie;376.3;15.4
36;Groningen;Totaal actief;231.0;17.4
37;Groningen;Werknemer;202.9;16.9
38;Groningen;Zelfstandige;27.8;20.6
39;Groningen;Totaal niet-actief;145.2;12.2
40;Groningen;Werkloosheids- en bijstandsuitk. ontv.;18.1;10.6
41;Groningen;Pensioenontvanger;89.8;13.4
42;Friesland;Totaal sociaal-economische categorie;412.6;15.6
43;Friesland;Totaal actief;260.4;17.4
44;Friesland;Werknemer;219.6;16.8
45;Friesland;Zelfstandige;40.3;20.9
46;Friesland;Totaal niet-actief;152.0;12.5
47;Friesland;Werkloosheids- en bijstandsuitk. ontv.;14.7;10.9
48;Friesland;Pensioenontvanger;99.2;13.6
49;Drenthe;Totaal sociaal-economische categorie;317.5;15.9
50;Drenthe;Totaal actief;196.3;17.7
51;Drenthe;Werknemer;170.0;17.5
52;Drenthe;Zelfstandige;26.0;19.3
53;Drenthe;Totaal niet-actief;121.1;12.9
54;Drenthe;Werkloosheids- en bijstandsuitk. ontv.;9.6;11.1
55;Drenthe;Pensioenontvanger;81.1;14.1
56;Overijssel;Totaal sociaal-economische categorie;713.2;15.9
57;Overijssel;Totaal actief;461.9;17.8
58;Overijssel;Werknemer;405.1;17.4
59;Overijssel;Zelfstandige;56.2;20.6
60;Overijssel;Totaal niet-actief;251.0;12.5
61;Overijssel;Werkloosheids- en bijstandsuitk. ontv.;23.0;10.6
62;Overijssel;Pensioenontvanger;162.3;13.7
63;Flevoland;Totaal sociaal-economische categorie;211.0;16.9
64;Flevoland;Totaal actief;152.4;18.6
65;Flevoland;Werknemer;134.8;18.6
66;Flevoland;Zelfstandige;17.5;19.0
67;Flevoland;Totaal niet-actief;58.5;12.3
68;Flevoland;Werkloosheids- en bijstandsuitk. ontv.;6.8;11.6
69;Flevoland;Pensioenontvanger;32.4;13.7
70;Gelderland;Totaal sociaal-economische categorie;1285.4;16.7
71;Gelderland;Totaal actief;844.0;18.5
72;Gelderland;Werknemer;740.8;18.1
73;Gelderland;Zelfstandige;101.9;21.4
74;Gelderland;Totaal niet-actief;441.1;13.3
75;Gelderland;Werkloosheids- en bijstandsuitk. ontv.;37.5;10.9
76;Gelderland;Pensioenontvanger;291.4;14.7
77;Utrecht;Totaal sociaal-economische categorie;760.0;18.3
78;Utrecht;Totaal actief;519.3;20.3
79;Utrecht;Werknemer;463.0;19.8
80;Utrecht;Zelfstandige;55.7;23.9
81;Utrecht;Totaal niet-actief;240.5;14.1
82;Utrecht;Werkloosheids- en bijstandsuitk. ontv.;22.0;10.9
83;Utrecht;Pensioenontvanger;153.6;16.0
84;Noord-Holland;Totaal sociaal-economische categorie;1725.7;18.0
