ID;Geslacht;Migratieachtergrond;Onderwijssoort;Opleidingsfase;Opleidingsvorm;Perioden;TotaalIngeschrevenen_1
0;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2000/'01;476697
1;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2001/'02;492144
2;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2002/'03;500701
3;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2003/'04;522913
4;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2004/'05;543869
5;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2005/'06;560382
6;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2006/'07;572931
7;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2007/'08;585412
8;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2008/'09;602101
9;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2009/'10;634140
10;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2010/'11;656706
11;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2011/'12;667194
12;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2012/'13;661122
13;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2013/'14;688191
14;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2014/'15;699572
15;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2015/'16;701118
16;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2016/'17;712113
17;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2017/'18;730146
18;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2018/'19;747841
19;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2019/'20;767577
20;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2020/'21;817271
21;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Totaal opleidingsvorm;2021/'22;832721
22;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2000/'01;396620
23;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2001/'02;404292
24;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2002/'03;411829
25;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2003/'04;430353
26;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2004/'05;452575
27;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2005/'06;471231
28;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2006/'07;486195
