ID;Leeftijd;BeroepenEnSpecialismen;SociaaleconomischeCategorie;RegioS;Perioden;MedischGeschoolden_1
0;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Nederland, Buitenland, Niet in te delen;2013;332310
1;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Nederland, Buitenland, Niet in te delen;2014;287165
2;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Nederland, Buitenland, Niet in te delen;2015;294390
3;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Nederland, Buitenland, Niet in te delen;2016;300625
4;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Nederland, Buitenland, Niet in te delen;2017;307405
5;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Nederland, Buitenland, Niet in te delen;2018;314305
6;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Nederland, Buitenland, Niet in te delen;2019;312135
7;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Nederland, Buitenland, Niet in te delen;2020;322495
8;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Nederland, Buitenland, Niet in te delen;2021;332015
9;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Nederland, Buitenland, Niet in te delen;2022;339525
10;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Nederland, Buitenland, Niet in te delen;2023;334850
11;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Noord-Nederland (LD);2013;37750
12;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Noord-Nederland (LD);2014;32385
13;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Noord-Nederland (LD);2015;33285
14;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Noord-Nederland (LD);2016;34000
15;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Noord-Nederland (LD);2017;34870
16;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Noord-Nederland (LD);2018;35975
17;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Noord-Nederland (LD);2019;35890
18;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Noord-Nederland (LD);2020;37410
19;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Noord-Nederland (LD);2021;38665
20;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Noord-Nederland (LD);2022;39585
21;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Noord-Nederland (LD);2023;38935
22;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Oost-Nederland (LD);2013;71580
23;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Oost-Nederland (LD);2014;60915
24;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Oost-Nederland (LD);2015;62595
25;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Oost-Nederland (LD);2016;64065
26;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Oost-Nederland (LD);2017;65935
27;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Oost-Nederland (LD);2018;67545
28;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Oost-Nederland (LD);2019;67225
29;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Oost-Nederland (LD);2020;69925
30;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Oost-Nederland (LD);2021;72515
31;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Oost-Nederland (LD);2022;74570
32;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Oost-Nederland (LD);2023;73660
33;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;West-Nederland (LD);2013;150915
34;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;West-Nederland (LD);2014;132440
35;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;West-Nederland (LD);2015;135505
36;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;West-Nederland (LD);2016;138385
37;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;West-Nederland (LD);2017;140930
38;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;West-Nederland (LD);2018;143590
39;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;West-Nederland (LD);2019;142475
40;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;West-Nederland (LD);2020;146605
41;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;West-Nederland (LD);2021;150090
42;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;West-Nederland (LD);2022;152735
43;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;West-Nederland (LD);2023;150680
44;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Zuid-Nederland (LD);2013;70380
45;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Zuid-Nederland (LD);2014;59990
46;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Zuid-Nederland (LD);2015;61410
47;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Zuid-Nederland (LD);2016;62645
48;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Zuid-Nederland (LD);2017;64020
49;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Zuid-Nederland (LD);2018;65495
50;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Zuid-Nederland (LD);2019;64085
51;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Zuid-Nederland (LD);2020;66165
52;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Zuid-Nederland (LD);2021;68145
53;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Zuid-Nederland (LD);2022;69850
54;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Zuid-Nederland (LD);2023;68735
55;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Niet in te delen (LD) incl. buitenland;2013;1685
56;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Niet in te delen (LD) incl. buitenland;2014;1435
57;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Niet in te delen (LD) incl. buitenland;2015;1595
58;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Niet in te delen (LD) incl. buitenland;2016;1530
59;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Niet in te delen (LD) incl. buitenland;2017;1645
60;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Niet in te delen (LD) incl. buitenland;2018;1695
61;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Niet in te delen (LD) incl. buitenland;2019;2460
62;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Niet in te delen (LD) incl. buitenland;2020;2395
63;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Niet in te delen (LD) incl. buitenland;2021;2600
64;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Niet in te delen (LD) incl. buitenland;2022;2780
65;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Niet in te delen (LD) incl. buitenland;2023;2835
66;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;Werknemer of zelfstandige;Groningen (PV);2013;14030
