ID;Geslacht;Leeftijd;Zorgvormen;Perioden;JongerenMetKostenZvwGGZ_1;GedeclareerdeEnToegekendeKosten_2
0;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;Totaal alle vormen;2011;267470.0;844813.0
1;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;Totaal alle vormen;2012;266170.0;807952.0
2;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;Totaal alle vormen;2013;262240.0;836327.0
3;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;Totaal alle vormen;2014;211885.0;527283.0
4;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;1e lijns geestelijke gezondheidszorg;2011;66730.0;24639.0
5;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;1e lijns geestelijke gezondheidszorg;2012;65225.0;16040.0
6;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;1e lijns geestelijke gezondheidszorg;2013;64250.0;15169.0
7;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;1e lijns geestelijke gezondheidszorg;2014;;
8;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;2e lijns geestelijke gezondheidszorg;2011;212345.0;820095.0
9;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;2e lijns geestelijke gezondheidszorg;2012;211795.0;791603.0
10;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;2e lijns geestelijke gezondheidszorg;2013;207115.0;818008.0
11;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;2e lijns geestelijke gezondheidszorg;2014;;
12;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;Overige producten GGZ;2011;285.0;79.0
13;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;Overige producten GGZ;2012;730.0;309.0
14;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;Overige producten GGZ;2013;3495.0;3151.0
15;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;Overige producten GGZ;2014;115.0;137.0
16;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;Generalistische Basis GGZ;2011;;
17;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;Generalistische Basis GGZ;2012;;
18;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;Generalistische Basis GGZ;2013;;
19;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;Generalistische Basis GGZ;2014;50805.0;33313.0
20;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;Gespecialiseerde GGZ;2011;;
21;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;Gespecialiseerde GGZ;2012;;
22;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;Gespecialiseerde GGZ;2013;;
23;Totaal jongens en meisjes;Totaal 0 tot 18 jaar;Gespecialiseerde GGZ;2014;168265.0;493833.0
24;Totaal jongens en meisjes;0 tot 5 jaar;Totaal alle vormen;2011;8070.0;25186.0
25;Totaal jongens en meisjes;0 tot 5 jaar;Totaal alle vormen;2012;7740.0;24469.0
26;Totaal jongens en meisjes;0 tot 5 jaar;Totaal alle vormen;2013;7290.0;23782.0
27;Totaal jongens en meisjes;0 tot 5 jaar;Totaal alle vormen;2014;5465.0;14478.0
28;Totaal jongens en meisjes;0 tot 5 jaar;1e lijns geestelijke gezondheidszorg;2011;1400.0;377.0
29;Totaal jongens en meisjes;0 tot 5 jaar;1e lijns geestelijke gezondheidszorg;2012;1530.0;323.0
30;Totaal jongens en meisjes;0 tot 5 jaar;1e lijns geestelijke gezondheidszorg;2013;1460.0;283.0
31;Totaal jongens en meisjes;0 tot 5 jaar;1e lijns geestelijke gezondheidszorg;2014;;
32;Totaal jongens en meisjes;0 tot 5 jaar;2e lijns geestelijke gezondheidszorg;2011;6775.0;24804.0
33;Totaal jongens en meisjes;0 tot 5 jaar;2e lijns geestelijke gezondheidszorg;2012;6335.0;24145.0
34;Totaal jongens en meisjes;0 tot 5 jaar;2e lijns geestelijke gezondheidszorg;2013;5880.0;23400.0
35;Totaal jongens en meisjes;0 tot 5 jaar;2e lijns geestelijke gezondheidszorg;2014;;
36;Totaal jongens en meisjes;0 tot 5 jaar;Overige producten GGZ;2011;5.0;5.0
37;Totaal jongens en meisjes;0 tot 5 jaar;Overige producten GGZ;2012;5.0;1.0
38;Totaal jongens en meisjes;0 tot 5 jaar;Overige producten GGZ;2013;85.0;99.0
39;Totaal jongens en meisjes;0 tot 5 jaar;Overige producten GGZ;2014;5.0;0.0
40;Totaal jongens en meisjes;0 tot 5 jaar;Generalistische Basis GGZ;2011;;
41;Totaal jongens en meisjes;0 tot 5 jaar;Generalistische Basis GGZ;2012;;
42;Totaal jongens en meisjes;0 tot 5 jaar;Generalistische Basis GGZ;2013;;
43;Totaal jongens en meisjes;0 tot 5 jaar;Generalistische Basis GGZ;2014;1155.0;640.0
44;Totaal jongens en meisjes;0 tot 5 jaar;Gespecialiseerde GGZ;2011;;
45;Totaal jongens en meisjes;0 tot 5 jaar;Gespecialiseerde GGZ;2012;;
46;Totaal jongens en meisjes;0 tot 5 jaar;Gespecialiseerde GGZ;2013;;
47;Totaal jongens en meisjes;0 tot 5 jaar;Gespecialiseerde GGZ;2014;4365.0;13838.0
48;Totaal jongens en meisjes;5 tot 12 jaar;Totaal alle vormen;2011;143190.0;399166.0
49;Totaal jongens en meisjes;5 tot 12 jaar;Totaal alle vormen;2012;139990.0;381067.0
50;Totaal jongens en meisjes;5 tot 12 jaar;Totaal alle vormen;2013;135505.0;377840.0
51;Totaal jongens en meisjes;5 tot 12 jaar;Totaal alle vormen;2014;109465.0;233311.0
52;Totaal jongens en meisjes;5 tot 12 jaar;1e lijns geestelijke gezondheidszorg;2011;36325.0;13885.0
53;Totaal jongens en meisjes;5 tot 12 jaar;1e lijns geestelijke gezondheidszorg;2012;34555.0;8780.0
54;Totaal jongens en meisjes;5 tot 12 jaar;1e lijns geestelijke gezondheidszorg;2013;33175.0;7902.0
55;Totaal jongens en meisjes;5 tot 12 jaar;1e lijns geestelijke gezondheidszorg;2014;;
56;Totaal jongens en meisjes;5 tot 12 jaar;2e lijns geestelijke gezondheidszorg;2011;113300.0;385232.0
57;Totaal jongens en meisjes;5 tot 12 jaar;2e lijns geestelijke gezondheidszorg;2012;111410.0;372216.0
58;Totaal jongens en meisjes;5 tot 12 jaar;2e lijns geestelijke gezondheidszorg;2013;106780.0;368332.0
59;Totaal jongens en meisjes;5 tot 12 jaar;2e lijns geestelijke gezondheidszorg;2014;;
60;Totaal jongens en meisjes;5 tot 12 jaar;Overige producten GGZ;2011;95.0;49.0
61;Totaal jongens en meisjes;5 tot 12 jaar;Overige producten GGZ;2012;210.0;71.0
62;Totaal jongens en meisjes;5 tot 12 jaar;Overige producten GGZ;2013;1430.0;1607.0
63;Totaal jongens en meisjes;5 tot 12 jaar;Overige producten GGZ;2014;20.0;36.0
