ID;TypeOfRental;IncomeClasses;Periods;RentIncreaseIncludingHarmonisation_1;RentIncreaseExcludingHarmonisation_2
0;Total;Total;2015;2.4;1.9
1;Total;Total;2016;1.9;1.4
2;Total;Total;2017;1.6;1.2
3;Total;Total;2018;2.3;1.8
4;Total;Total;2019;2.5;2.1
5;Total;Total;2020;2.9;2.4
6;Total;Total;2021;0.8;0.3
7;Total;Total;2022;3.0;2.4
8;Total;Total;2023;2.0;1.3
9;Total;Total;2024;5.4;4.7
10;Total;High income;2015;2.8;2.6
11;Total;High income;2016;2.5;2.1
12;Total;High income;2017;2.4;2.1
13;Total;High income;2018;4.2;4.2
14;Total;High income;2019;4.4;4.5
15;Total;High income;2020;5.5;5.2
16;Total;High income;2021;;
17;Total;High income;2022;;
18;Total;High income;2023;9.1;9.0
19;Total;High income;2024;10.2;10.1
20;Total;Middle income;2015;;
21;Total;Middle income;2016;;
22;Total;Middle income;2017;;
23;Total;Middle income;2018;;
24;Total;Middle income;2019;;
25;Total;Middle income;2020;;
26;Total;Middle income;2021;;
27;Total;Middle income;2022;;
28;Total;Middle income;2023;5.1;4.9
29;Total;Middle income;2024;6.2;6.1
30;Total;Low income;2015;2.2;1.7
31;Total;Low income;2016;1.6;1.1
32;Total;Low income;2017;1.4;0.9
33;Total;Low income;2018;2.1;1.8
34;Total;Low income;2019;2.1;1.8
35;Total;Low income;2020;2.8;2.4
36;Total;Low income;2021;;
37;Total;Low income;2022;;
38;Total;Low income;2023;0.2;-0.2
39;Total;Low income;2024;5.5;5.0
40;Total;Exception group;2015;2.2;2.0
41;Total;Exception group;2016;2.0;1.5
42;Total;Exception group;2017;1.2;1.1
43;Total;Exception group;2018;2.1;1.9
44;Total;Exception group;2019;2.1;2.0
45;Total;Exception group;2020;2.8;2.6
46;Total;Exception group;2021;;
47;Total;Exception group;2022;;
48;Total;Exception group;2023;;
49;Total;Exception group;2024;;
50;Total;Income not requested;2015;;
51;Total;Income not requested;2016;;
52;Total;Income not requested;2017;0.9;0.8
53;Total;Income not requested;2018;1.8;1.5
54;Total;Income not requested;2019;2.3;1.8
55;Total;Income not requested;2020;2.8;2.2
56;Total;Income not requested;2021;;
57;Total;Income not requested;2022;;
58;Total;Income not requested;2023;2.4;1.6
59;Total;Income not requested;2024;5.3;4.5
60;Total;Income unknown;2015;2.9;1.6
61;Total;Income unknown;2016;2.0;1.4
62;Total;Income unknown;2017;3.0;1.3
63;Total;Income unknown;2018;2.4;1.7
64;Total;Income unknown;2019;2.7;2.2
65;Total;Income unknown;2020;3.4;2.9
66;Total;Income unknown;2021;;
67;Total;Income unknown;2022;;
68;Total;Income unknown;2023;1.1;0.9
69;Total;Income unknown;2024;5.8;4.8
70;Liberalised rental;Total;2015;1.8;1.6
71;Liberalised rental;Total;2016;2.2;1.6
72;Liberalised rental;Total;2017;2.3;1.7
73;Liberalised rental;Total;2018;3.1;2.0
74;Liberalised rental;Total;2019;3.3;2.6
75;Liberalised rental;Total;2020;3.0;2.1
76;Liberalised rental;Total;2021;2.2;1.3
77;Liberalised rental;Total;2022;3.8;2.8
78;Liberalised rental;Total;2023;4.5;3.4
79;Liberalised rental;Total;2024;5.0;4.1
80;Liberalised rental;High income;2015;1.7;1.6
81;Liberalised rental;High income;2016;2.1;1.7
82;Liberalised rental;High income;2017;2.4;1.9
83;Liberalised rental;High income;2018;3.9;3.9
84;Liberalised rental;High income;2019;5.6;5.3
85;Liberalised rental;High income;2020;4.5;4.5
86;Liberalised rental;High income;2021;;
87;Liberalised rental;High income;2022;;
88;Liberalised rental;High income;2023;6.7;6.2
89;Liberalised rental;High income;2024;11.4;10.5
90;Liberalised rental;Middle income;2015;;
91;Liberalised rental;Middle income;2016;;
92;Liberalised rental;Middle income;2017;;
93;Liberalised rental;Middle income;2018;;
94;Liberalised rental;Middle income;2019;;
95;Liberalised rental;Middle income;2020;;
96;Liberalised rental;Middle income;2021;;
97;Liberalised rental;Middle income;2022;;
98;Liberalised rental;Middle income;2023;4.5;4.5
99;Liberalised rental;Middle income;2024;5.8;5.8
100;Liberalised rental;Low income;2015;1.6;1.5
101;Liberalised rental;Low income;2016;2.4;1.6
102;Liberalised rental;Low income;2017;2.5;1.7
103;Liberalised rental;Low income;2018;3.7;3.3
104;Liberalised rental;Low income;2019;5.2;2.4
105;Liberalised rental;Low income;2020;3.8;3.2
106;Liberalised rental;Low income;2021;;
107;Liberalised rental;Low income;2022;;
108;Liberalised rental;Low income;2023;3.6;2.9
109;Liberalised rental;Low income;2024;5.4;3.0
