ID;SBI93;Perioden;Productie_1;GemiddeldeDagproductie_2;DagproductieSeizoengecorrigeerd_3;OntwikkelingProductie_4;OntwikkelingGemiddeldeDagproductie_5;OntwikkelingSeizoengecorDagproductie_6;KortetermijnOntwikkelingGemDag_7;KortetermijnOntwikkelingSeizGecor_8;TotaleOmzet_9;OmzetBinnenland_10;OmzetBuitenland_11;TotaleOrderontvangst_12;OrderontvangstBinnenland_13;OrderontvangstBuitenland_14
0;C-E: Nijverheid (geen bouwnijverheid);1995 januari;95.8;96.0;90.3;;;;;;;;;;;
1;C-E: Nijverheid (geen bouwnijverheid);1995 februari;86.5;87.1;86.9;;;-3.8;;;;;;;;
2;C-E: Nijverheid (geen bouwnijverheid);1995 maart;98.0;95.1;88.0;;;1.3;;;;;;;;
3;C-E: Nijverheid (geen bouwnijverheid);1995 1e kwartaal;93.4;92.7;88.4;;;;;;;;;;;
4;C-E: Nijverheid (geen bouwnijverheid);1995 april;82.2;84.3;86.7;;;-1.4;;;;;;;;
5;C-E: Nijverheid (geen bouwnijverheid);1995 mei;86.8;84.9;88.2;;;1.7;;;;;;;;
6;C-E: Nijverheid (geen bouwnijverheid);1995 juni;84.9;83.9;87.3;;;-1.0;;;;;;;;
7;C-E: Nijverheid (geen bouwnijverheid);1995 2e kwartaal;84.7;84.4;87.4;;;-1.1;;;;;;;;
8;C-E: Nijverheid (geen bouwnijverheid);1995 juli;75.3;78.3;87.9;;;0.7;;;;;;;;
9;C-E: Nijverheid (geen bouwnijverheid);1995 augustus;79.3;77.2;89.2;;;1.5;;;;;;;;
10;C-E: Nijverheid (geen bouwnijverheid);1995 september;86.7;87.2;89.3;;;0.2;;;;;;;;
11;C-E: Nijverheid (geen bouwnijverheid);1995 3e kwartaal;80.4;80.9;88.8;;;1.6;;;;;;;;
12;C-E: Nijverheid (geen bouwnijverheid);1995 oktober;94.1;95.0;89.3;;;0.0;;;;;;;;
13;C-E: Nijverheid (geen bouwnijverheid);1995 november;99.2;97.4;89.5;;;0.2;;;;;;;;
14;C-E: Nijverheid (geen bouwnijverheid);1995 december;95.8;98.4;91.9;;;2.6;;;;;;;;
15;C-E: Nijverheid (geen bouwnijverheid);1995 4e kwartaal;96.4;96.9;90.2;;;1.6;;;;;;;;
16;C-E: Nijverheid (geen bouwnijverheid);1995;88.7;88.7;88.7;;;;;;;;;;;
17;C-E: Nijverheid (geen bouwnijverheid);1996 januari;97.8;96.5;90.8;2.1;0.6;-1.1;;;;;;;;
18;C-E: Nijverheid (geen bouwnijverheid);1996 februari;94.5;91.5;91.1;9.3;5.1;0.3;;;;;;;;
