ID;Financing;RevenuesOfHealthCareFinancingScheme;FunctionsOfHealthAndSocialCare;Periods;HealthAndSocialCareExpenditure_1
0;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;1998;39379
1;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;1999;42394
2;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2000;45362
3;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2001;50768
4;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2002;56663
5;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2003;60889
6;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2004;63003
7;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2005;65424
8;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2006;68495
9;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2007;72713
10;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2008;77705
11;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2009;82298
12;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2010;85790
13;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2011;88125
14;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2012;90621
15;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2013;90954
16;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2014;91926
17;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2015;92323
18;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2016;94842
19;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2017;96972
20;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2018;101031
21;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2019;107429
22;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2020;116384
23;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2021;124794
24;Total financ schemes health,social care;Total care expenditure;Total health, social care and welfare;2022;127306
25;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;1998;30835
26;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;1999;32922
27;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2000;34937
28;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2001;38941
29;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2002;43471
30;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2003;46562
31;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2004;48342
32;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2005;50242
33;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2006;53200
34;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2007;56169
35;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2008;60150
36;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2009;62552
37;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2010;65025
38;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2011;66671
39;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2012;68927
40;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2013;70014
41;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2014;71078
42;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2015;71349
43;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2016;73032
44;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2017;74729
45;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2018;77672
46;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2019;82570
47;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2020;89514
48;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2021;96956
49;Total financ schemes health,social care;Total care expenditure;Total current expenditure on healthcare;2022;96957
50;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;1998;3214
51;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;1999;3440
52;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2000;3741
53;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2001;4226
54;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2002;4849
55;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2003;5341
56;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2004;5651
57;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2005;6082
58;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2006;6150
59;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2007;6505
60;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2008;6429
61;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2009;7420
62;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2010;8063
63;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2011;8360
64;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2012;8755
65;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2013;8503
66;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2014;8609
67;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2015;9383
68;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2016;9317
69;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2017;9341
70;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2018;9852
71;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2019;10337
72;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2020;11199
73;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2021;11332
74;Total financ schemes health,social care;Total care expenditure;Total health related expenditure;2022;11637
75;Total financ schemes health,social care;Total care expenditure;Other goods and services;1998;5329
76;Total financ schemes health,social care;Total care expenditure;Other goods and services;1999;6034
77;Total financ schemes health,social care;Total care expenditure;Other goods and services;2000;6682
78;Total financ schemes health,social care;Total care expenditure;Other goods and services;2001;7601
79;Total financ schemes health,social care;Total care expenditure;Other goods and services;2002;8344
80;Total financ schemes health,social care;Total care expenditure;Other goods and services;2003;8985
81;Total financ schemes health,social care;Total care expenditure;Other goods and services;2004;9012
82;Total financ schemes health,social care;Total care expenditure;Other goods and services;2005;9100
83;Total financ schemes health,social care;Total care expenditure;Other goods and services;2006;9145
84;Total financ schemes health,social care;Total care expenditure;Other goods and services;2007;10039
85;Total financ schemes health,social care;Total care expenditure;Other goods and services;2008;11125
86;Total financ schemes health,social care;Total care expenditure;Other goods and services;2009;12325
87;Total financ schemes health,social care;Total care expenditure;Other goods and services;2010;12703
88;Total financ schemes health,social care;Total care expenditure;Other goods and services;2011;13093
89;Total financ schemes health,social care;Total care expenditure;Other goods and services;2012;12938
90;Total financ schemes health,social care;Total care expenditure;Other goods and services;2013;12435
91;Total financ schemes health,social care;Total care expenditure;Other goods and services;2014;12240
92;Total financ schemes health,social care;Total care expenditure;Other goods and services;2015;11593
93;Total financ schemes health,social care;Total care expenditure;Other goods and services;2016;12493
94;Total financ schemes health,social care;Total care expenditure;Other goods and services;2017;12902
95;Total financ schemes health,social care;Total care expenditure;Other goods and services;2018;13509
96;Total financ schemes health,social care;Total care expenditure;Other goods and services;2019;14522
97;Total financ schemes health,social care;Total care expenditure;Other goods and services;2020;15670
98;Total financ schemes health,social care;Total care expenditure;Other goods and services;2021;16507
99;Total financ schemes health,social care;Total care expenditure;Other goods and services;2022;18711
100;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;1998;38383
101;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;1999;43456
102;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2000;46683
103;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2001;48133
104;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2002;52185
105;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2003;61557
106;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2004;64198
107;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2005;65486
108;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2006;66718
109;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2007;71643
110;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2008;77694
111;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2009;78278
112;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2010;82404
113;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2011;88422
114;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2012;90431
115;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2013;94062
116;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2014;89158
