ID;Perioden;TypeEffectEmissie_1;Emittent_2;TypeUitgifte_3;Inschrijvingsdatum_4;Stortingsdatum_5;GemiddeldeLooptijdObligaties_6;RentevergoedingObligaties_7;KoersVanUitgifteObligaties_8;KoersVanUitgifteAandelen_9;NominaalBedragEmissie_10;ValutaEmissie_11;EmissieRendementObligaties_12;EmissieBedrag_13
0;2001 januari 12-01;"Obligatie; Euro Obligaties                             ";Staat der Nederlanden                   ;emissie             ;9 januari           ;12 januari          ;2.9;4.75;100.81;;2070.0;EUR  ;4.33;2087
1;2001 januari 16-01;"Obligatie; Reverse Convertible Bonds                   ";Rabo Securities                         ;emissie             ;12 januari          ;16 januari          ;1.6;9.0;100.0;;25.0;EUR  ;;25
2;2001 januari 17-01;"Obligatie; Euro Obligaties                             ";Rabobank Nederland                      ;emissie             ;16 januari          ;17 januari          ;3.7;4.5;101.99;;100.0;EUR  ;4.08;102
3;2001 januari 17-02;"Obligatie; Euro Obligaties                             ";WUH                                     ;emissie             ;17 januari          ;17 januari          ;10.0;5.55;100.0;;25.0;EUR  ;5.55;25
4;2001 januari 18-01;Aandelen                                               ;ASN Obligatiefonds                      ;emissie             ;18 januari          ;18 januari          ;;;;25.0;;     ;;30
5;2001 januari 19-01;"Obligatie; Euro Obligaties                             ";Nederlandse Gasunie                     ;emissie             ;16 januari          ;19 januari          ;3.0;5.5;101.99;;70.0;EUR  ;4.78;71
6;2001 januari 23-01;"Obligatie; Reverse Convertible Bonds                   ";ABN AMRO Bank                           ;emissie             ;22 januari          ;23 januari          ;1.0;10.75;93.25;;25.0;EUR  ;;23
7;2001 januari 24-01;"Obligatie; Euro Obligaties                             ";BNG                                     ;emissie             ;22 januari          ;24 januari          ;10.5;5.25;99.46;;1000.0;EUR  ;5.32;995
8;2001 januari 29-01;"Obligatie; Reverse Convertible Bonds                   ";ING Bank                                ;emissie             ;8 januari           ;29 januari          ;2.0;14.25;102.0;;25.0;EUR  ;;26
9;2001 januari 31-01;"Obligatie; Reverse Convertible Bonds                   ";Fortis Bank Nederland                   ;emissie             ;15 januari          ;31 januari          ;2.0;10.5;102.0;;50.0;EUR  ;;51
10;2001 januari 31-02;"Obligatie; Reverse Convertible Bonds                   ";Fortis Bank Nederland                   ;emissie             ;15 januari          ;31 januari          ;2.0;10.5;102.0;;100.0;EUR  ;;102
11;2001 januari 31-03;"Obligatie; Reverse Convertible Bonds                   ";Rabo Securities                         ;emissie             ;23 januari          ;31 januari          ;2.0;16.25;101.0;;25.0;EUR  ;;25
12;2001 januari 31-04;"Obligatie; Reverse Convertible Bonds                   ";Rabo Securities                         ;emissie             ;23 januari          ;31 januari          ;2.0;14.0;101.0;;25.0;EUR  ;;25
13;2001 januari 31-05;"Obligatie; Reverse Convertible Bonds                   ";Rabo Securities                         ;emissie             ;23 januari          ;31 januari          ;2.0;15.5;101.0;;25.0;EUR  ;;25
14;2001 januari 31-06;"Obligatie; Reverse Convertible Bonds                   ";Rabo Securities                         ;emissie             ;23 januari          ;31 januari          ;2.0;8.75;101.0;;25.0;EUR  ;;25
15;2001 februari 01-01;"Obligatie; Overige Obligaties                          ";Rabobank Nederland                      ;emissie             ;8 januari           ;1 februari          ;7.0;1.2;102.0;;100.0;EUR  ;;102
16;2001 februari 08-01;Aandelen                                               ;ING Bank                                ;emissie             ;15 januari          ;8 februari          ;;;;25.0;;     ;;34
17;2001 februari 14-01;"Obligatie; Overige Obligaties                          ";Fortis Bank Nederland                   ;emissie             ;29 januari          ;14 februari         ;2.0;14.0;102.0;;50.0;EUR  ;;51
18;2001 februari 15-01;Aandelen                                               ;Postbank Biotechnologie Fonds           ;emissie             ;26 januari          ;15 februari         ;;;;25.0;;     ;;19
19;2001 februari 16-01;Aandelen                                               ;RG Zelfselect Medical Bio Tech Fund     ;emissie             ;20 januari          ;16 februari         ;;;;25.0;;     ;;32
20;2001 februari 19-01;"Obligatie; Reverse Convertible Bonds                   ";ABN AMRO Bank                           ;emissie             ;31 januari          ;19 februari         ;2.0;10.0;102.0;;50.0;EUR  ;;51
21;2001 februari 19-02;Aandelen                                               ;Legio Nieuwe Wereld                     ;emissie             ;1 februari          ;19 februari         ;;;;50.0;;     ;;5
22;2001 februari 19-03;Aandelen                                               ;Legio Oude Wereld                       ;emissie             ;1 februari          ;19 februari         ;;;;50.0;;     ;;5
23;2001 februari 22-01;"Obligatie; Euro Obligaties                             ";BNG                                     ;emissie             ;20 februari         ;22 februari         ;4.2;5.0;102.5;;250.0;EUR  ;4.33;256
24;2001 februari 22-02;Aandelen                                               ;United Step-up AEX-index Garant Fonds   ;emissie             ;29 januari          ;22 februari         ;;;;50.0;;     ;;20
25;2001 februari 26-01;"Obligatie; Euro Obligaties                             ";SNS Bank Nederland                      ;emissie             ;21 februari         ;26 februari         ;9.2;6.13;100.0;;200.0;EUR  ;;200
26;2001 februari 26-02;"Obligatie; Euro Obligaties                             ";SNS Bank Nederland                      ;emissie             ;21 februari         ;26 februari         ;6.5;6.0;100.0;;300.0;EUR  ;;300
27;2001 februari 28-01;"Obligatie; Euro Obligaties                             ";BNG                                     ;emissie             ;26 februari         ;28 februari         ;5.0;4.75;101.23;;1000.0;EUR  ;4.84;1012
28;2001 februari 28-02;"Obligatie; Euro Obligaties                             ";Rabobank Nederland                      ;emissie             ;26 februari         ;28 februari         ;10.0;5.13;101.31;;250.0;EUR  ;4.95;253
29;2001 februari 28-03;"Obligatie; Reverse Convertible Bonds                   ";ABN AMRO Bank                           ;emissie             ;15 februari         ;28 februari         ;2.0;10.0;102.0;;100.0;EUR  ;;102
30;2001 februari 28-04;Aandelen                                               ;Orange Wine Fund                        ;emissie             ;5 februari          ;28 februari         ;;;;100.0;;     ;;10
31;2001 maart 02-01;Aandelen                                               ;Rodamco Asia                            ;emissie             ;12 februari         ;2 maart             ;;;;14.0;;     ;;24
32;2001 maart 07-01;"Obligatie; Reverse Convertible Bonds                   ";Fortis Bank Nederland                   ;emissie             ;19 februari         ;7 maart             ;2.0;9.25;102.0;;25.0;EUR  ;;26
33;2001 maart 08-01;Aandelen                                               ;SNS Inno Visie Fonds                    ;emissie             ;5 februari          ;8 maart             ;;;;25.0;;     ;;21
34;2001 maart 12-01;"Obligatie; Reverse Convertible Bonds                   ";ING Bank                                ;emissie             ;19 februari         ;12 maart            ;2.0;10.0;102.0;;25.0;EUR  ;;26
35;2001 maart 12-02;"Obligatie; Reverse Convertible Bonds                   ";Rabo Securities                         ;emissie             ;27 februari         ;12 maart            ;2.0;9.25;102.0;;25.0;EUR  ;;26
36;2001 maart 12-03;"Obligatie; Reverse Convertible Bonds                   ";Rabo Securities                         ;emissie             ;27 februari         ;12 maart            ;2.0;9.0;102.0;;25.0;EUR  ;;26
37;2001 maart 12-04;"Obligatie; Reverse Convertible Bonds                   ";Rabo Securities                         ;emissie             ;27 februari         ;12 maart            ;2.0;10.0;102.0;;25.0;EUR  ;;26
38;2001 maart 12-05;"Obligatie; Reverse Convertible Bonds                   ";Rabo Securities                         ;emissie             ;27 februari         ;12 maart            ;2.0;12.5;102.0;;25.0;EUR  ;;26
39;2001 maart 15-01;"Obligatie; Eeuwigdurend achtergestelde obligaties      ";ABN AMRO Bank                           ;emissie             ;23 februari         ;15 maart            ;;6.5;100.0;;1000.0;EUR  ;6.5;1000
40;2001 maart 15-02;"Obligatie; Eeuwigdurend achtergestelde obligaties      ";ABN AMRO Bank                           ;emissie             ;23 februari         ;15 maart            ;;6.5;101.0;;100.0;EUR  ;;100
41;2001 maart 16-01;"Obligatie; Euro Obligaties                             ";Staat der Nederlanden                   ;emissie             ;13 maart            ;16 maart            ;10.0;5.0;101.3;;2495.0;EUR  ;4.85;2523
