ID;Schooljaar;BedrijfstakkenSBI93;Herkomstgroeperingen;Geslacht;Leeftijd;Peilmoment;TotaalVoMbo_1;VoortgezetOnderwijs_2;MboInclusiefExtranei_3;MboExclusiefExtranei_4;BeroepsopleidendeLeerwegBol_5;BeroepsbegeleidendeLeerwegBbl_6;MboExtranei_7;TotaalVoMbo_8;VoortgezetOnderwijs_9;MboInclusiefExtranei_10;MboExclusiefExtranei_11;BeroepsopleidendeLeerwegBol_12;BeroepsbegeleidendeLeerwegBbl_13;MboExtranei_14;TotaalVoMbo_15;VoortgezetOnderwijs_16;MboInclusiefExtranei_17;MboExclusiefExtranei_18;BeroepsopleidendeLeerwegBol_19;BeroepsbegeleidendeLeerwegBbl_20;MboExtranei_21
0;100;100;Totaal herkomstgroeperingen;Totaal mannen en vrouwen;Totaal leeftijd;Eerste jaar na schoolverlaten;105610.0;10930.0;94670.0;90870.0;42940.0;47940.0;3800.0;46340.0;6020.0;40310.0;38760.0;18620.0;20140.0;1550.0;59270.0;4910.0;54360.0;52110.0;24320.0;27790.0;2250.0
1;100;100;Totaal herkomstgroeperingen;Totaal mannen en vrouwen;Totaal leeftijd;Tweede jaar na schoolverlaten;96160.0;7240.0;88920.0;85340.0;40610.0;44730.0;3580.0;41990.0;5150.0;36840.0;35400.0;17040.0;18360.0;1440.0;54160.0;2090.0;52080.0;49940.0;23580.0;26370.0;2140.0
2;100;100;Totaal herkomstgroeperingen;Totaal mannen en vrouwen;Totaal leeftijd;Derde jaar na schoolverlaten;91650.0;6700.0;84950.0;81500.0;38690.0;42810.0;3450.0;39820.0;4990.0;34830.0;33460.0;16030.0;17430.0;1380.0;51830.0;1710.0;50120.0;48050.0;22660.0;25380.0;2070.0
3;100;100;Totaal herkomstgroeperingen;Totaal mannen en vrouwen;Totaal leeftijd;Vierde jaar na schoolverlaten;87540.0;6340.0;81200.0;77860.0;37030.0;40830.0;3340.0;37860.0;4780.0;33080.0;31750.0;15230.0;16510.0;1330.0;49680.0;1560.0;48120.0;46110.0;21800.0;24310.0;2010.0
4;100;100;Totaal herkomstgroeperingen;Totaal mannen en vrouwen;Jonger dan 18 jaar;Eerste jaar na schoolverlaten;9180.0;5760.0;3420.0;3410.0;2470.0;940.0;10.0;7520.0;4530.0;3000.0;2990.0;2150.0;840.0;10.0;1650.0;1230.0;420.0;420.0;320.0;100.0;
5;100;100;Totaal herkomstgroeperingen;Totaal mannen en vrouwen;Jonger dan 18 jaar;Tweede jaar na schoolverlaten;7850.0;4680.0;3180.0;3160.0;2280.0;880.0;10.0;6810.0;4060.0;2740.0;2730.0;1940.0;790.0;10.0;1050.0;610.0;430.0;430.0;350.0;90.0;
6;100;100;Totaal herkomstgroeperingen;Totaal mannen en vrouwen;Jonger dan 18 jaar;Derde jaar na schoolverlaten;7330.0;4470.0;2860.0;2840.0;2020.0;830.0;20.0;6440.0;3970.0;2470.0;2450.0;1700.0;750.0;20.0;900.0;510.0;390.0;390.0;320.0;80.0;
7;100;100;Totaal herkomstgroeperingen;Totaal mannen en vrouwen;Jonger dan 18 jaar;Vierde jaar na schoolverlaten;6970.0;4310.0;2660.0;2640.0;1880.0;770.0;20.0;6140.0;3850.0;2300.0;2280.0;1580.0;700.0;20.0;830.0;470.0;370.0;360.0;300.0;70.0;
8;100;100;Totaal herkomstgroeperingen;Totaal mannen en vrouwen;18 tot 23 jaar;Eerste jaar na schoolverlaten;58630.0;5170.0;53460.0;51520.0;32520.0;19000.0;1950.0;22590.0;1490.0;21090.0;20320.0;12580.0;7740.0;770.0;36050.0;3680.0;32370.0;31200.0;19940.0;11260.0;1170.0
9;100;100;Totaal herkomstgroeperingen;Totaal mannen en vrouwen;18 tot 23 jaar;Tweede jaar na schoolverlaten;52250.0;2560.0;49690.0;47850.0;30310.0;17540.0;1830.0;19950.0;1080.0;18860.0;18150.0;11180.0;6970.0;720.0;32300.0;1480.0;30820.0;29710.0;19130.0;10580.0;1120.0
10;100;100;Totaal herkomstgroeperingen;Totaal mannen en vrouwen;18 tot 23 jaar;Derde jaar na schoolverlaten;49300.0;2220.0;47090.0;45330.0;28720.0;16610.0;1760.0;18630.0;1020.0;17610.0;16930.0;10440.0;6490.0;680.0;30680.0;1200.0;29480.0;28400.0;18280.0;10120.0;1080.0
11;100;100;Totaal herkomstgroeperingen;Totaal mannen en vrouwen;18 tot 23 jaar;Vierde jaar na schoolverlaten;46920.0;2020.0;44900.0;43200.0;27450.0;15750.0;1700.0;17550.0;920.0;16630.0;15980.0;9860.0;6120.0;650.0;29370.0;1100.0;28270.0;27220.0;17590.0;9630.0;1050.0
12;100;100;Totaal herkomstgroeperingen;Totaal mannen en vrouwen;Jonger dan 23 jaar;Eerste jaar na schoolverlaten;67810.0;10930.0;56880.0;54920.0;34990.0;19940.0;1960.0;30110.0;6020.0;24090.0;23310.0;14730.0;8580.0;790.0;37700.0;4910.0;32790.0;31620.0;20260.0;11360.0;1170.0
13;100;100;Totaal herkomstgroeperingen;Totaal mannen en vrouwen;Jonger dan 23 jaar;Tweede jaar na schoolverlaten;60100.0;7230.0;52860.0;51020.0;32590.0;18420.0;1850.0;26750.0;5150.0;21610.0;20880.0;13120.0;7760.0;730.0;33350.0;2090.0;31260.0;30140.0;19480.0;10670.0;1120.0
