ID;Geslacht;Inkomensklassen;Populatie;Inkomensbegrippen;Perioden;TotaalPersonen_1;TotaalActief_2;Zelfstandige_3;Ambtenaar_4;OverigeWerknemer_5;OverigActief_6;TotaalNietActief_7;Arbeidsongeschikte_8;PensioenontvangerTot65Jaar_9;Pensioenontvanger65JaarEnOuder_10;Bijstandontvanger_11;OverigNietActief_12;GeenInkomen_13;Tot18Jaar_14;k_18Tot25Jaar_15;k_25Tot35Jaar_16;k_35Tot45Jaar_17;k_45Tot55Jaar_18;k_55Tot65Jaar_19;k_65JaarEnOuder_20;NooitGehuwd_21;Gehuwd_22;GehuwdGeweest_23
0;Totaal mannen en vrouwen;0;Alle personen;Primair inkomen;1990;14635;6591;571;639;5247;135;3576;469;418;1677;694;318;4467;3297;1670;2483;2336;1694;1384;1770;6485;6769;1380
1;Totaal mannen en vrouwen;0;Alle personen;Primair inkomen;1991;14740;6751;591;641;5379;139;3596;487;419;1709;701;281;4393;3295;1641;2509;2311;1796;1392;1796;6518;6816;1406
2;Totaal mannen en vrouwen;0;Alle personen;Primair inkomen;1992;14863;6862;630;637;5441;154;3667;488;413;1749;735;281;4334;3302;1608;2526;2300;1893;1404;1829;6575;6838;1450
3;Totaal mannen en vrouwen;0;Alle personen;Primair inkomen;1993;14958;6841;648;631;5407;154;3775;491;413;1770;793;308;4343;3322;1550;2542;2307;1961;1422;1854;6616;6850;1493
4;Totaal mannen en vrouwen;0;Alle personen;Primair inkomen;1994;15016;6826;660;629;5379;158;3878;493;422;1800;846;317;4312;3336;1477;2546;2321;2021;1435;1880;6616;6864;1537
5;Totaal mannen en vrouwen;0;Alle personen;Primair inkomen;1995;15125;7045;717;620;5468;240;3838;473;413;1840;852;260;4242;3357;1412;2562;2351;2077;1451;1915;6662;6920;1543
6;Totaal mannen en vrouwen;0;Alle personen;Primair inkomen;1996;15206;7249;715;617;5673;243;3783;463;407;1873;815;224;4174;3374;1362;2550;2385;2129;1465;1942;6711;6942;1553
7;Totaal mannen en vrouwen;0;Alle personen;Primair inkomen;1997;15303;7452;745;600;5859;248;3750;463;406;1901;757;222;4101;3393;1326;2531;2413;2184;1483;1973;6771;6959;1573
8;Totaal mannen en vrouwen;0;Alle personen;Primair inkomen;1998;15417;7719;768;601;6100;250;3641;472;396;1924;663;186;4057;3426;1303;2494;2450;2222;1519;2003;6851;7003;1564
9;Totaal mannen en vrouwen;0;Alle personen;Primair inkomen;1999;15485;7906;763;607;6276;261;3571;462;383;1945;594;188;4007;3426;1311;2436;2486;2250;1554;2021;6801;7002;1681
10;Totaal mannen en vrouwen;0;Alle personen;Primair inkomen;2000;15654;8061;768;612;6440;241;3615;499;408;1969;541;198;3978;3489;1307;2389;2522;2298;1601;2048;7007;6914;1733
11;Totaal mannen en vrouwen;0;Alle personen;Bruto inkomen;1990;14635;6591;571;639;5247;135;3576;469;418;1677;694;318;4467;3297;1670;2483;2336;1694;1384;1770;6485;6769;1380
12;Totaal mannen en vrouwen;0;Alle personen;Bruto inkomen;1991;14740;6751;591;641;5379;139;3596;487;419;1709;701;281;4393;3295;1641;2509;2311;1796;1392;1796;6518;6816;1406
13;Totaal mannen en vrouwen;0;Alle personen;Bruto inkomen;1992;14863;6862;630;637;5441;154;3667;488;413;1749;735;281;4334;3302;1608;2526;2300;1893;1404;1829;6575;6838;1450
14;Totaal mannen en vrouwen;0;Alle personen;Bruto inkomen;1993;14958;6841;648;631;5407;154;3775;491;413;1770;793;308;4343;3322;1550;2542;2307;1961;1422;1854;6616;6850;1493
15;Totaal mannen en vrouwen;0;Alle personen;Bruto inkomen;1994;15016;6826;660;629;5379;158;3878;493;422;1800;846;317;4312;3336;1477;2546;2321;2021;1435;1880;6616;6864;1537
16;Totaal mannen en vrouwen;0;Alle personen;Bruto inkomen;1995;15125;7045;717;620;5468;240;3838;473;413;1840;852;260;4242;3357;1412;2562;2351;2077;1451;1915;6662;6920;1543
17;Totaal mannen en vrouwen;0;Alle personen;Bruto inkomen;1996;15206;7249;715;617;5673;243;3783;463;407;1873;815;224;4174;3374;1362;2550;2385;2129;1465;1942;6711;6942;1553
18;Totaal mannen en vrouwen;0;Alle personen;Bruto inkomen;1997;15303;7452;745;600;5859;248;3750;463;406;1901;757;222;4101;3393;1326;2531;2413;2184;1483;1973;6771;6959;1573
19;Totaal mannen en vrouwen;0;Alle personen;Bruto inkomen;1998;15417;7719;768;601;6100;250;3641;472;396;1924;663;186;4057;3426;1303;2494;2450;2222;1519;2003;6851;7003;1564
20;Totaal mannen en vrouwen;0;Alle personen;Bruto inkomen;1999;15485;7906;763;607;6276;261;3571;462;383;1945;594;188;4007;3426;1311;2436;2486;2250;1554;2021;6801;7002;1681
21;Totaal mannen en vrouwen;0;Alle personen;Bruto inkomen;2000;15654;8061;768;612;6440;241;3615;499;408;1969;541;198;3978;3489;1307;2389;2522;2298;1601;2048;7007;6914;1733
22;Totaal mannen en vrouwen;0;Alle personen;Persoonlijk inkomen;1990;14635;6591;571;639;5247;135;3576;469;418;1677;694;318;4467;3297;1670;2483;2336;1694;1384;1770;6485;6769;1380
23;Totaal mannen en vrouwen;0;Alle personen;Persoonlijk inkomen;1991;14740;6751;591;641;5379;139;3596;487;419;1709;701;281;4393;3295;1641;2509;2311;1796;1392;1796;6518;6816;1406
24;Totaal mannen en vrouwen;0;Alle personen;Persoonlijk inkomen;1992;14863;6862;630;637;5441;154;3667;488;413;1749;735;281;4334;3302;1608;2526;2300;1893;1404;1829;6575;6838;1450
25;Totaal mannen en vrouwen;0;Alle personen;Persoonlijk inkomen;1993;14958;6841;648;631;5407;154;3775;491;413;1770;793;308;4343;3322;1550;2542;2307;1961;1422;1854;6616;6850;1493
26;Totaal mannen en vrouwen;0;Alle personen;Persoonlijk inkomen;1994;15016;6826;660;629;5379;158;3878;493;422;1800;846;317;4312;3336;1477;2546;2321;2021;1435;1880;6616;6864;1537
27;Totaal mannen en vrouwen;0;Alle personen;Persoonlijk inkomen;1995;15125;7045;717;620;5468;240;3838;473;413;1840;852;260;4242;3357;1412;2562;2351;2077;1451;1915;6662;6920;1543
28;Totaal mannen en vrouwen;0;Alle personen;Persoonlijk inkomen;1996;15206;7249;715;617;5673;243;3783;463;407;1873;815;224;4174;3374;1362;2550;2385;2129;1465;1942;6711;6942;1553
29;Totaal mannen en vrouwen;0;Alle personen;Persoonlijk inkomen;1997;15303;7452;745;600;5859;248;3750;463;406;1901;757;222;4101;3393;1326;2531;2413;2184;1483;1973;6771;6959;1573
30;Totaal mannen en vrouwen;0;Alle personen;Persoonlijk inkomen;1998;15417;7719;768;601;6100;250;3641;472;396;1924;663;186;4057;3426;1303;2494;2450;2222;1519;2003;6851;7003;1564
31;Totaal mannen en vrouwen;0;Alle personen;Persoonlijk inkomen;1999;15485;7906;763;607;6276;261;3571;462;383;1945;594;188;4007;3426;1311;2436;2486;2250;1554;2021;6801;7002;1681
32;Totaal mannen en vrouwen;0;Alle personen;Persoonlijk inkomen;2000;15654;8061;768;612;6440;241;3615;499;408;1969;541;198;3978;3489;1307;2389;2522;2298;1601;2048;7007;6914;1733
33;Totaal mannen en vrouwen;0;Alle personen;Belastbaar inkomen;1990;14635;6591;571;639;5247;135;3576;469;418;1677;694;318;4467;3297;1670;2483;2336;1694;1384;1770;6485;6769;1380
34;Totaal mannen en vrouwen;0;Alle personen;Belastbaar inkomen;1991;14740;6751;591;641;5379;139;3596;487;419;1709;701;281;4393;3295;1641;2509;2311;1796;1392;1796;6518;6816;1406
35;Totaal mannen en vrouwen;0;Alle personen;Belastbaar inkomen;1992;14863;6862;630;637;5441;154;3667;488;413;1749;735;281;4334;3302;1608;2526;2300;1893;1404;1829;6575;6838;1450
36;Totaal mannen en vrouwen;0;Alle personen;Belastbaar inkomen;1993;14958;6841;648;631;5407;154;3775;491;413;1770;793;308;4343;3322;1550;2542;2307;1961;1422;1854;6616;6850;1493
37;Totaal mannen en vrouwen;0;Alle personen;Belastbaar inkomen;1994;15016;6826;660;629;5379;158;3878;493;422;1800;846;317;4312;3336;1477;2546;2321;2021;1435;1880;6616;6864;1537
38;Totaal mannen en vrouwen;0;Alle personen;Belastbaar inkomen;1995;15125;7045;717;620;5468;240;3838;473;413;1840;852;260;4242;3357;1412;2562;2351;2077;1451;1915;6662;6920;1543
39;Totaal mannen en vrouwen;0;Alle personen;Belastbaar inkomen;1996;15206;7249;715;617;5673;243;3783;463;407;1873;815;224;4174;3374;1362;2550;2385;2129;1465;1942;6711;6942;1553
40;Totaal mannen en vrouwen;0;Alle personen;Belastbaar inkomen;1997;15303;7452;745;600;5859;248;3750;463;406;1901;757;222;4101;3393;1326;2531;2413;2184;1483;1973;6771;6959;1573
41;Totaal mannen en vrouwen;0;Alle personen;Belastbaar inkomen;1998;15417;7719;768;601;6100;250;3641;472;396;1924;663;186;4057;3426;1303;2494;2450;2222;1519;2003;6851;7003;1564
42;Totaal mannen en vrouwen;0;Alle personen;Belastbaar inkomen;1999;15485;7906;763;607;6276;261;3571;462;383;1945;594;188;4007;3426;1311;2436;2486;2250;1554;2021;6801;7002;1681
43;Totaal mannen en vrouwen;0;Alle personen;Belastbaar inkomen;2000;15654;8061;768;612;6440;241;3615;499;408;1969;541;198;3978;3489;1307;2389;2522;2298;1601;2048;7007;6914;1733
44;Totaal mannen en vrouwen;0;Alle personen;Besteedbaar inkomen;1990;14635;6591;571;639;5247;135;3576;469;418;1677;694;318;4467;3297;1670;2483;2336;1694;1384;1770;6485;6769;1380
