ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;PersonenautoSTotaal_5;PersonenautoSJongerDan6Jaar_6;PersonenautoS6JaarEnOuder_7;PersonenautoSBrandstofBenzine_8;PersonenautoSOverigeBrandstof_9;PersonenautoSPerHuishouden_10;PersonenautoSNaarOppervlakte_11;MotorfietsenVanParticulieren_12;VoertuigMetBromfietskentekenVanPart_13
0;Nederland;Nederland                               ;Land      ;NL00      ; ;7106310;1923380;5182925;5971340;1134970;0.9;211.0;640505;1100945
1;Aa en Hunze;Aa en Hunze                             ;Gemeente  ;GM1680    ;.;13675;3875;9800;10420;3255;1.3;49.0;1625;1290
2;Niet nader toe te delen;Aa en Hunze                             ;          ;          ; ;5;0;5;5;0;;;0;0
3;Wel nader toe te delen;Aa en Hunze                             ;          ;          ; ;13670;3870;9795;10415;3250;;;1625;1290
4;Wijk 00 Annen;Aa en Hunze                             ;Wijk      ;WK168000  ;1;1880;565;1315;1460;420;1.2;128.0;185;140
5;Annen;Aa en Hunze                             ;Buurt     ;BU16800000;1;1785;535;1250;1390;395;1.2;708.0;175;130
6;Verspreide huizen Annen;Aa en Hunze                             ;Buurt     ;BU16800009;1;95;30;65;70;25;1.5;8.0;10;10
7;Wijk 01 Eext;Aa en Hunze                             ;Wijk      ;WK168001  ;1;810;165;645;605;205;1.3;45.0;105;95
8;Eext;Aa en Hunze                             ;Buurt     ;BU16800100;1;710;140;570;530;180;1.3;417.0;100;80
9;Verspreide huizen Eext;Aa en Hunze                             ;Buurt     ;BU16800109;1;100;25;75;75;25;1.2;6.0;5;15
10;Wijk 02 Anloo;Aa en Hunze                             ;Wijk      ;WK168002  ;1;265;80;180;205;60;1.3;32.0;25;30
11;Anloo;Aa en Hunze                             ;Buurt     ;BU16800200;1;190;60;130;150;40;1.3;332.0;20;15
12;Verspreide huizen Anloo;Aa en Hunze                             ;Buurt     ;BU16800209;1;75;25;50;55;20;1.2;10.0;5;15
13;Wijk 03 Gasteren;Aa en Hunze                             ;Wijk      ;WK168003  ;1;240;70;170;175;65;1.4;26.0;35;20
14;Gasteren;Aa en Hunze                             ;Buurt     ;BU16800300;1;235;70;165;175;65;1.4;437.0;35;20
15;Verspreide huizen Gasteren;Aa en Hunze                             ;Buurt     ;BU16800309;1;5;0;0;5;0;;;0;0
16;Wijk 04 Anderen;Aa en Hunze                             ;Wijk      ;WK168004  ;1;165;45;120;130;40;1.6;15.0;40;25
17;Anderen;Aa en Hunze                             ;Buurt     ;BU16800400;1;165;45;120;130;35;1.7;386.0;40;20
18;Verspreide huizen Anderen;Aa en Hunze                             ;Buurt     ;BU16800409;1;0;0;0;0;0;;;0;0
19;Wijk 05 Schipborg;Aa en Hunze                             ;Wijk      ;WK168005  ;1;370;120;250;270;95;1.3;63.0;25;25
20;Schipborg;Aa en Hunze                             ;Buurt     ;BU16800500;1;360;115;245;265;95;1.4;377.0;25;25
21;Verspreide huizen Schipborg;Aa en Hunze                             ;Buurt     ;BU16800509;1;10;0;5;5;0;;;0;0
22;Wijk 06 Eexterveen;Aa en Hunze                             ;Wijk      ;WK168006  ;1;265;95;170;185;80;1.6;41.0;40;20
23;Eexterveen;Aa en Hunze                             ;Buurt     ;BU16800600;1;260;90;165;185;75;1.6;203.0;40;20
24;Verspreide huizen Eexterveen;Aa en Hunze                             ;Buurt     ;BU16800609;1;5;5;5;0;5;;;0;0
25;Wijk 07 Spijkerboor;Aa en Hunze                             ;Wijk      ;WK168007  ;1;85;25;65;75;15;1.4;236.0;15;5
26;Spijkerboor;Aa en Hunze                             ;Buurt     ;BU16800700;1;85;25;65;75;15;1.4;396.0;15;5
27;Verspreide huizen Spijkerboor;Aa en Hunze                             ;Buurt     ;BU16800709;1;0;0;0;0;0;;;0;0
28;Wijk 08 Nieuw-Annerveen;Aa en Hunze                             ;Wijk      ;WK168008  ;1;75;20;55;55;20;;;15;5
29;Nieuw-Annerveen;Aa en Hunze                             ;Buurt     ;BU16800800;1;75;20;55;55;20;;;15;5
30;Verspreide huizen Nieuw-Annerveen;Aa en Hunze                             ;Buurt     ;BU16800809;1;0;0;0;0;0;;;0;0
31;Wijk 09 Oud-Annerveen;Aa en Hunze                             ;Wijk      ;WK168009  ;1;75;20;55;50;20;1.5;37.0;15;5
32;Oud-Annerveen;Aa en Hunze                             ;Buurt     ;BU16800900;1;75;20;55;50;20;;;15;5
33;Verspreide huizen Oud-Annerveen;Aa en Hunze                             ;Buurt     ;BU16800909;1;0;0;0;0;0;;;0;0
