ID;Geslacht;OnderwijsPositieBasisjaar;OnderwijsPositieVolgendSchooljaar;GeboortelandOuders;Herkomstland;Regiokenmerken;Perioden;Leerlingen_1
0;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2010/'11 naar 2011/'12;939530.0
1;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2011/'12 naar 2012/'13;948670.0
2;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2012/'13 naar 2013/'14;960680.0
3;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2013/'14 naar 2014/'15;973510.0
4;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2014/'15 naar 2015/'16;985070.0
5;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2015/'16 naar 2016/'17;995340.0
6;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2016/'17 naar 2017/'18;995480.0
7;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2017/'18 naar 2018/'19;985250.0
8;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2018/'19 naar 2019/'20;968240.0
9;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2019/'20 naar 2020/'21;950460.0
10;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2020/'21 naar 2021/'22;934230.0
11;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2021/'22 naar 2022/'23;929570.0
12;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2022/'23 naar 2023/'24;936560.0
