ID;Sectoren;Perioden;Arbeidsvolume_1;Uitgaven_2
0;Totaal gezondheidsgerelateerde R&D;2003;17.9;1929
1;Totaal gezondheidsgerelateerde R&D;2004;17.6;1899
2;Totaal gezondheidsgerelateerde R&D;2005;18.0;2036
3;Totaal gezondheidsgerelateerde R&D;2006;19.8;2306
4;Totaal gezondheidsgerelateerde R&D;2007;21.4;2580
5;Gez.R&D universiteiten en UMC's;2003;9.5;881
6;Gez.R&D universiteiten en UMC's;2004;9.8;895
7;Gez.R&D universiteiten en UMC's;2005;9.9;956
8;Gez.R&D universiteiten en UMC's;2006;10.1;987
9;Gez.R&D universiteiten en UMC's;2007;10.4;1069
10;Gez.R&D farmaceutische industrie;2003;2.9;462
11;Gez.R&D farmaceutische industrie;2004;2.7;458
12;Gez.R&D farmaceutische industrie;2005;2.9;479
13;Gez.R&D farmaceutische industrie;2006;1.9;299
14;Gez.R&D farmaceutische industrie;2007;2.0;319
15;Gez.R&D overig industrie en groothandel;2003;1.8;254
16;Gez.R&D overig industrie en groothandel;2004;1.6;237
17;Gez.R&D overig industrie en groothandel;2005;1.7;249
18;Gez.R&D overig industrie en groothandel;2006;3.6;528
19;Gez.R&D overig industrie en groothandel;2007;4.8;691
20;Gez.R&D researchbedrijven;2003;1.7;187
21;Gez.R&D researchbedrijven;2004;1.7;173
22;Gez.R&D researchbedrijven;2005;1.7;200
23;Gez.R&D researchbedrijven;2006;2.2;325
24;Gez.R&D researchbedrijven;2007;2.5;334
25;Gez.R&D instellingen (muv univ. en UMC);2003;2.0;146
26;Gez.R&D instellingen (muv univ. en UMC);2004;1.8;137
27;Gez.R&D instellingen (muv univ. en UMC);2005;1.8;152
28;Gez.R&D instellingen (muv univ. en UMC);2006;2.1;168
29;Gez.R&D instellingen (muv univ. en UMC);2007;1.7;167
