ID;Geslacht;Leeftijd;Onderwijssoort;Opleidingsvorm;Studierichting;Perioden;Ingeschrevenen_1
0;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;1990/'91;422963
1;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;1991/'92;437252
2;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;1992/'93;445968
3;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;1993/'94;451347
4;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;1994/'95;452638
5;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;1995/'96;445863
6;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;1996/'97;438736
7;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;1997/'98;438020
8;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;1998/'99;446582
9;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;1999/'00;463589
10;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;2000/'01;476703
11;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;2001/'02;492156
12;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;2002/'03;500712
13;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;2003/'04;522938
14;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;2004/'05;543881
15;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;2005/'06;560348
16;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;2006/'07;572939
17;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;2007/'08;585412
18;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;2008/'09;602048
19;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;2009/'10;634087
20;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;2010/'11;656655
21;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;2011/'12;667194
22;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;2012/'13;661122
23;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;2013/'14;688191
24;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;2014/'15;699572
25;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;0;2015/'16;701086
26;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;1990/'91;60718
27;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;1991/'92;61400
28;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;1992/'93;61746
29;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;1993/'94;64299
30;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;1994/'95;64756
31;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;1995/'96;62564
32;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;1996/'97;61461
33;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;1997/'98;60523
34;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;1998/'99;58936
35;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;1999/'00;63213
36;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;2000/'01;67780
37;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;2001/'02;70750
38;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;2002/'03;73204
39;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;2003/'04;78927
40;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;2004/'05;82712
41;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;2005/'06;84628
42;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;2006/'07;85276
43;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;2007/'08;83626
44;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;2008/'09;81904
45;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;2009/'10;84898
46;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;2010/'11;86410
47;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;2011/'12;83412
48;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;2012/'13;78451
49;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;2013/'14;79504
50;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;2014/'15;79466
51;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;1;2015/'16;0
52;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;1990/'91;60718
53;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;1991/'92;61400
54;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;1992/'93;61746
55;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;1993/'94;64299
56;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;1994/'95;64756
57;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;1995/'96;62564
58;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;1996/'97;61461
59;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;1997/'98;60523
60;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;1998/'99;58936
61;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;1999/'00;63213
62;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;2000/'01;67780
63;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;2001/'02;70750
64;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;2002/'03;73204
65;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;2003/'04;78927
66;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;2004/'05;82712
67;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;2005/'06;84628
68;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;2006/'07;85276
69;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;2007/'08;83626
70;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;2008/'09;81904
71;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;2009/'10;84898
72;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;2010/'11;86410
73;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;2011/'12;83412
74;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;2012/'13;78451
75;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;2013/'14;79504
76;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;2014/'15;79466
77;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;14;2015/'16;0
78;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;140;1990/'91;246
79;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;140;1991/'92;193
80;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;140;1992/'93;186
81;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;140;1993/'94;1917
82;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;140;1994/'95;2297
83;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;140;1995/'96;2852
84;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;140;1996/'97;3781
85;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;140;1997/'98;4050
86;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;140;1998/'99;4127
87;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;140;1999/'00;4653
88;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;140;2000/'01;5526
89;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;140;2001/'02;6734
90;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;140;2002/'03;6764
91;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;140;2003/'04;7195
92;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;140;2004/'05;7846
93;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;140;2005/'06;8660
94;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;140;2006/'07;8319
95;Totaal mannen en vrouwen;0;Hoger onderwijs;Totaal opleidingsvormen;140;2007/'08;7575
