ID;KenmerkenSociaalLeven;Cijfersoort;Perioden;ScoreGeluk_1;Ongelukkig_2;NietGelukkigNietOngelukkig_3;Gelukkig_4;ScoreTevredenheidMetHetLeven_5;Ontevreden_6;NietTevredenNietOntevreden_7;Tevreden_8;ScoreTevredenheidMetSociaalLeven_9;Ontevreden_10;NietTevredenNietOntevreden_11;Tevreden_12;ScoreTevredenhHoeveelheidVrijeTijd_13;Ontevreden_14;NietTevredenNietOntevreden_15;Tevreden_16;AandeelMetVertrouwen_17
0;Totaal personen;Gemiddelde/Percentage;2013;7.7;2.5;10.0;87.5;7.5;3.4;13.0;83.6;7.7;3.8;12.7;83.5;7.4;7.3;17.0;75.7;58.1
1;Totaal personen;Gemiddelde/Percentage;2014;7.7;2.4;9.7;87.9;7.6;3.3;12.1;84.6;7.6;4.2;12.3;83.5;7.4;7.5;17.2;75.3;57.7
2;Totaal personen;Gemiddelde/Percentage;2015;7.7;2.8;9.8;87.4;7.5;3.9;12.2;83.9;7.6;4.3;12.5;83.2;7.3;7.7;17.9;74.4;59.5
3;Totaal personen;Gemiddelde/Percentage;2016;7.7;2.6;9.1;88.3;7.6;3.0;11.8;85.2;7.6;4.0;13.0;82.9;7.3;7.6;18.3;74.1;59.8
4;Totaal personen;Gemiddelde/Percentage;2017;7.7;2.8;9.8;87.5;7.6;3.5;11.1;85.4;7.6;4.4;12.6;83.1;7.3;8.3;17.7;74.0;62.2
5;Totaal personen;Gemiddelde/Percentage;2018;7.7;2.8;9.4;87.7;7.6;2.4;11.8;85.7;7.6;4.7;13.7;81.6;7.3;8.4;17.7;73.9;61.7
6;Totaal personen;Gemiddelde/Percentage;2019;7.7;2.6;8.5;88.9;7.7;2.4;10.3;87.3;7.6;3.9;13.2;82.9;7.3;7.5;18.3;74.2;62.2
7;Totaal personen;Gemiddelde/Percentage;2020;7.7;2.7;10.5;86.8;7.6;2.7;12.4;84.8;7.5;5.6;14.3;80.1;7.4;6.9;16.7;76.4;63.1
8;Totaal personen;Gemiddelde/Percentage;2021;7.6;3.3;10.3;86.4;7.5;3.3;13.0;83.6;7.3;7.4;16.7;75.9;7.4;7.3;16.6;76.1;66.4
9;Totaal personen;Standaardfout;2013;0.0;0.2;0.4;0.4;0.0;0.2;0.4;0.4;0.0;0.2;0.4;0.4;0.0;0.3;0.4;0.5;0.6
10;Totaal personen;Standaardfout;2014;0.0;0.2;0.3;0.4;0.0;0.2;0.4;0.4;0.0;0.2;0.4;0.4;0.0;0.3;0.4;0.5;0.6
11;Totaal personen;Standaardfout;2015;0.0;0.2;0.4;0.4;0.0;0.2;0.4;0.4;0.0;0.2;0.4;0.4;0.0;0.3;0.5;0.5;0.6
12;Totaal personen;Standaardfout;2016;0.0;0.2;0.3;0.4;0.0;0.2;0.4;0.4;0.0;0.2;0.4;0.4;0.0;0.3;0.5;0.5;0.6
13;Totaal personen;Standaardfout;2017;0.0;0.2;0.3;0.4;0.0;0.2;0.4;0.4;0.0;0.2;0.4;0.4;0.0;0.3;0.4;0.5;0.6
14;Totaal personen;Standaardfout;2018;0.0;0.2;0.3;0.4;0.0;0.2;0.4;0.4;0.0;0.2;0.4;0.5;0.0;0.3;0.4;0.5;0.6
15;Totaal personen;Standaardfout;2019;0.0;0.2;0.3;0.4;0.0;0.2;0.4;0.4;0.0;0.2;0.4;0.4;0.0;0.3;0.5;0.5;0.6
