ID;HouseholdCharacteristics;ComponentsOfWealth;Periods;NumberOfPrivateHouseholds_1;TotalWealth_2;MeanWealth_3;MedianWealth_4
0;Private households;Wealth;2006;7024.5;1146.4;163.2;33.1
1;Private households;Wealth;2007;7081.5;1222.9;172.7;40.3
2;Private households;Wealth;2008;7146.0;1309.3;183.2;44.6
3;Private households;Wealth;2009;7214.8;1274.9;176.7;40.1
4;Private households;Wealth;2010;7281.3;1253.0;172.1;32.7
5;Private households;Wealth;2011;7347.6;1240.3;168.8;31.8
6;Private households;Wealth;2012;7412.1;1174.6;158.5;25.1
7;Private households;Wealth;2013;7467.8;1123.0;150.4;17.2
8;Private households;Wealth;2014;7496.4;1131.2;150.9;17.3
9;Private households;Wealth;2015;7568.5;1214.3;160.4;20.9
10;Private households;Wealth;2016;7623.2;1271.5;166.8;23.5
11;Private households;Wealth;2017;7694.9;1404.9;182.6;30.2
12;Private households;Wealth;2018;7760.6;1551.6;199.9;39.4
13;Private households;Wealth;2019;7827.4;1697.3;216.8;52.4
14;Private households;Wealth;2020;7894.5;1888.0;239.2;65.3
15;Private households;Wealth;2021;7951.4;2063.5;259.5;88.4
16;Private households;Wealth;2022;8041.4;2571.6;319.8;135.3
17;Private households;Wealth;2023;8156.9;2634.2;322.9;133.3
18;Private households;1 Assets;2006;7024.5;1692.9;241.0;154.2
19;Private households;1 Assets;2007;7081.5;1818.4;256.8;170.7
20;Private households;1 Assets;2008;7146.0;1958.2;274.0;187.4
21;Private households;1 Assets;2009;7214.8;1964.9;272.3;186.5
22;Private households;1 Assets;2010;7281.3;1973.9;271.1;176.6
23;Private households;1 Assets;2011;7347.6;1997.9;271.9;179.1
24;Private households;1 Assets;2012;7412.1;1961.5;264.6;171.2
25;Private households;1 Assets;2013;7467.8;1916.8;256.7;155.8
26;Private households;1 Assets;2014;7496.4;1923.9;256.6;156.4
27;Private households;1 Assets;2015;7568.5;1999.2;264.2;160.1
28;Private households;1 Assets;2016;7623.2;2068.2;271.3;166.4
29;Private households;1 Assets;2017;7694.9;2215.4;287.9;176.2
30;Private households;1 Assets;2018;7760.6;2383.0;307.1;189.1
31;Private households;1 Assets;2019;7827.4;2553.9;326.3;204.4
32;Private households;1 Assets;2020;7894.5;2757.4;349.3;219.2
33;Private households;1 Assets;2021;7951.4;2960.6;372.3;245.3
34;Private households;1 Assets;2022;8041.4;3527.3;438.6;297.4
35;Private households;1 Assets;2023;8156.9;3623.1;444.2;300.4
36;Private households;1.1 Financial assets;2006;6159.1;367.0;59.6;17.1
37;Private households;1.1 Financial assets;2007;6194.3;397.3;64.1;17.3
38;Private households;1.1 Financial assets;2008;6317.0;417.5;66.1;17.6
39;Private households;1.1 Financial assets;2009;6403.1;381.9;59.6;17.3
40;Private households;1.1 Financial assets;2010;6804.5;409.5;60.2;16.2
41;Private households;1.1 Financial assets;2011;7100.5;397.4;56.0;14.6
42;Private households;1.1 Financial assets;2012;7175.3;390.5;54.4;13.4
43;Private households;1.1 Financial assets;2013;7212.0;399.2;55.4;11.9
44;Private households;1.1 Financial assets;2014;7250.6;404.8;55.8;12.0
45;Private households;1.1 Financial assets;2015;7383.0;418.7;56.7;13.6
46;Private households;1.1 Financial assets;2016;7424.8;424.3;57.1;13.8
47;Private households;1.1 Financial assets;2017;7511.2;432.8;57.6;14.3
48;Private households;1.1 Financial assets;2018;7577.5;446.5;58.9;14.7
49;Private households;1.1 Financial assets;2019;7645.4;442.7;57.9;15.2
50;Private households;1.1 Financial assets;2020;7726.5;474.4;61.4;16.3
51;Private households;1.1 Financial assets;2021;7818.8;521.0;66.6;20.0
52;Private households;1.1 Financial assets;2022;7905.5;581.5;73.6;22.3
53;Private households;1.1 Financial assets;2023;8011.1;588.9;73.5;23.0
54;Private households;1.1.1 Bank and savings credits;2006;6116.7;216.9;35.5;13.9
55;Private households;1.1.1 Bank and savings credits;2007;6151.1;235.2;38.2;14.3
56;Private households;1.1.1 Bank and savings credits;2008;6285.0;260.7;41.5;15.0
57;Private households;1.1.1 Bank and savings credits;2009;6374.5;275.8;43.3;15.3
58;Private households;1.1.1 Bank and savings credits;2010;6792.4;288.9;42.5;14.3
59;Private households;1.1.1 Bank and savings credits;2011;7095.8;275.9;38.9;12.8
60;Private households;1.1.1 Bank and savings credits;2012;7171.7;282.4;39.4;11.9
61;Private households;1.1.1 Bank and savings credits;2013;7208.7;287.5;39.9;10.6
62;Private households;1.1.1 Bank and savings credits;2014;7247.8;287.9;39.7;10.7
