ID;Geslacht;Leeftijd;NationaliteitInJaarVanImmigratie;Migratiemotief;Kenmerken;JaarVanImmigratie;Perioden;BevolkingOp31DecemberNietEUEFTA_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;1999;53885.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2000;115735.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2001;175810.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2002;224715.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2003;256785.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2004;263640.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2005;275640.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2006;285150.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2007;290785.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2008;313235.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2009;337105.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2010;357220.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2011;376240.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2012;389305.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2013;403435.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2014;429235.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2015;471660.0
17;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2016;528610.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2017;575290.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2018;617075.0
20;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2019;668360.0
21;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2020;728965.0
22;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2021;782075.0
23;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2022;958975.0
24;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2023;1061425.0
25;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;1999;53885.0
26;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2000;49290.0
27;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2001;45635.0
28;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2002;42775.0
29;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2003;40250.0
30;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2004;37210.0
31;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2005;35330.0
32;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2006;33390.0
33;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2007;31505.0
34;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2008;30370.0
35;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2009;29470.0
36;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2010;28585.0
37;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2011;27850.0
38;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2012;27160.0
39;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2013;26265.0
40;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2014;25635.0
41;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2015;25070.0
