ID;Geslacht;Herkomstgroeperingen;TotaalPersonen_1;Instromers_2;Uitstromers_3;PersInDeLeeftijdsklasse15TM24Jr_4;PersInDeLeeftijdsklasse25TM44Jr_5;PersInDeLeeftijdsklasse45TM64Jr_6;NederlandseBevolking_7;TotaalPersonenMetWIWDienstbetr_8;Instromers_9;Uitstromers_10;PositieveUitstroom_11;ArbeidBuitenWIW_12;ScholingBuitenWIW_13;Werkplaatservaring_14;Ontslag_15;Overig_16;Onbekend_17;k_15TotEnMet24Jaar_18;k_25TotEnMet44Jaar_19;k_45TotEnMet64Jaar_20
0;Totaal geslacht;0;32700;4790;6850;6500;13080;13130;0.3;100;100;100;60;54;1;4;19;19;2;20;40;40
1;Totaal geslacht;Autochtonen;20050;2720;4330;4030;7600;8420;0.2;61;57;63;63;57;1;5;16;19;2;20;38;42
2;Totaal geslacht;Allochtonen;12290;1980;2430;2370;5320;4600;0.6;38;41;35;55;49;2;4;24;20;1;19;43;37
3;Totaal geslacht;Westerse allochtonen;3450;440;650;440;1210;1790;0.3;11;9;9;64;56;2;6;17;17;1;13;35;52
4;Totaal geslacht;Niet-westerse allochtonen;8840;1540;1780;1930;4110;2810;0.9;27;32;26;51;47;1;3;27;21;1;22;46;32
5;Totaal geslacht;Marokko;1470;250;390;440;690;330;0.8;4;5;6;42;40;1;2;34;23;1;30;47;23
6;Totaal geslacht;Turkije;1410;240;330;500;690;220;0.7;4;5;5;47;43;2;3;29;22;2;35;49;16
7;Totaal geslacht;Suriname;2810;370;470;450;1190;1170;1.3;9;8;7;56;53;1;2;26;17;1;16;42;42
8;Totaal geslacht;Nederlandse Antillen;1060;190;190;210;430;420;1.3;3;4;3;51;45;2;5;28;20;1;19;41;40
9;Totaal geslacht;Overig niet-westers;2090;500;400;330;1110;660;0.7;6;10;6;57;50;2;5;18;23;2;16;53;31
10;Totaal geslacht;Herkomstgroepering onbekend;370;90;90;90;160;110;0.0;1;2;1;41;37;2;2;24;31;3;25;45;30
11;Mannen;0;18280;2550;3650;2690;7100;8480;0.3;56;53;53;61;55;1;5;19;18;2;15;39;46
12;Mannen;Autochtonen;11450;1410;2260;1670;4320;5460;0.3;35;29;33;64;59;1;5;16;18;2;15;38;48
13;Mannen;Allochtonen;6600;1080;1330;990;2680;2940;0.6;20;23;19;57;0;0;0;0;0;0;15;41;44
14;Mannen;Westerse allochtonen;1910;230;340;190;630;1090;0.4;6;5;5;67;57;2;8;17;14;2;10;33;57
15;Mannen;Niet-westerse allochtonen;4700;850;990;800;2060;1850;0.9;14;18;14;54;48;2;4;27;18;1;17;44;39
16;Mannen;Marokko;900;160;230;170;430;300;1.0;3;3;3;42;40;0;2;37;21;0;19;48;33
17;Mannen;Turkije;710;130;150;120;380;200;0.6;2;3;2;56;51;2;3;25;16;2;17;54;29
18;Mannen;Suriname;1330;170;250;220;430;670;1.3;4;4;4;58;54;1;3;26;14;1;17;32;51
19;Mannen;Nederlandse Antillen;500;90;100;110;170;220;1.3;2;2;1;52;44;2;7;31;17;0;21;35;44
20;Mannen;Overig niet-westers;1250;310;270;180;630;450;0.7;4;6;4;59;50;3;6;18;21;2;14;50;36
21;Mannen;Herkomstgroepering onbekend;220;50;50;40;100;80;0.0;1;1;1;35;31;0;4;35;31;0;18;45;37
22;Vrouwen;0;14430;2240;3210;3800;5980;4650;0.3;44;47;47;58;53;2;4;19;21;2;26;41;32
23;Vrouwen;Autochtonen;8600;1310;2070;2370;3280;2960;0.2;26;27;30;62;56;2;4;17;19;2;27;38;34
24;Vrouwen;Allochtonen;5680;900;1090;1390;2640;1660;0.6;17;19;16;51;0;0;0;0;0;0;24;46;29
25;Vrouwen;Westerse allochtonen;1540;210;310;250;590;700;0.3;5;4;5;61;54;2;5;18;21;1;16;38;45
26;Vrouwen;Niet-westerse allochtonen;4150;690;780;1130;2050;960;0.9;13;14;11;48;44;1;2;26;24;1;27;50;23
27;Vrouwen;Marokko;560;90;160;280;250;30;0.7;2;2;2;43;39;1;2;30;26;1;49;45;6
28;Vrouwen;Turkije;710;120;170;380;310;20;0.7;2;3;2;39;35;1;3;32;27;2;53;44;3
29;Vrouwen;Suriname;1480;200;220;230;760;500;1.3;5;4;3;53;51;1;1;25;21;1;15;51;33
30;Vrouwen;Nederlandse Antillen;560;100;90;100;260;200;1.4;2;2;1;49;46;1;2;26;23;2;18;46;36
31;Vrouwen;Overig niet-westers;840;190;140;150;480;210;0.6;3;4;2;55;50;1;3;18;27;1;18;57;25
32;Vrouwen;Herkomstgroepering onbekend;140;40;40;50;60;30;0.0;0;1;1;50;45;5;0;12;31;7;36;45;19
