ID;Geslacht;Nationaliteit;Perioden;InternationaleStudenten_1
0;Totaal mannen en vrouwen;Totaal niet-Nederlandse nationaliteit;2005/'06;33040.0
1;Totaal mannen en vrouwen;Totaal niet-Nederlandse nationaliteit;2006/'07;34490.0
2;Totaal mannen en vrouwen;Totaal niet-Nederlandse nationaliteit;2007/'08;37560.0
3;Totaal mannen en vrouwen;Totaal niet-Nederlandse nationaliteit;2008/'09;41500.0
4;Totaal mannen en vrouwen;Totaal niet-Nederlandse nationaliteit;2009/'10;46250.0
5;Totaal mannen en vrouwen;Totaal niet-Nederlandse nationaliteit;2010/'11;50500.0
6;Totaal mannen en vrouwen;Totaal niet-Nederlandse nationaliteit;2011/'12;53660.0
7;Totaal mannen en vrouwen;Totaal niet-Nederlandse nationaliteit;2012/'13;55560.0
8;Totaal mannen en vrouwen;Totaal niet-Nederlandse nationaliteit;2013/'14;57550.0
9;Totaal mannen en vrouwen;Totaal niet-Nederlandse nationaliteit;2014/'15;59080.0
10;Totaal mannen en vrouwen;Totaal niet-Nederlandse nationaliteit;2015/'16;63080.0
11;Totaal mannen en vrouwen;Totaal niet-Nederlandse nationaliteit;2016/'17;69040.0
12;Totaal mannen en vrouwen;Totaal niet-Nederlandse nationaliteit;2017/'18;76870.0
13;Totaal mannen en vrouwen;Totaal niet-Nederlandse nationaliteit;2018/'19;85880.0
14;Totaal mannen en vrouwen;Totaal niet-Nederlandse nationaliteit;2019/'20;94230.0
15;Totaal mannen en vrouwen;Totaal niet-Nederlandse nationaliteit;2020/'21;103630.0
16;Totaal mannen en vrouwen;Totaal niet-Nederlandse nationaliteit;2021/'22;115050.0
17;Totaal mannen en vrouwen;Totaal niet-Nederlandse nationaliteit;2022/'23;122220.0
18;Totaal mannen en vrouwen;Totaal niet-Nederlandse nationaliteit;2023/'24;127920.0
19;Totaal mannen en vrouwen;Totaal niet-Nederlandse nationaliteit;2024/'25;131000.0
20;Totaal mannen en vrouwen;Staatloos / onbekend;2005/'06;1010.0
21;Totaal mannen en vrouwen;Staatloos / onbekend;2006/'07;760.0
22;Totaal mannen en vrouwen;Staatloos / onbekend;2007/'08;640.0
23;Totaal mannen en vrouwen;Staatloos / onbekend;2008/'09;560.0
24;Totaal mannen en vrouwen;Staatloos / onbekend;2009/'10;490.0
25;Totaal mannen en vrouwen;Staatloos / onbekend;2010/'11;610.0
26;Totaal mannen en vrouwen;Staatloos / onbekend;2011/'12;550.0
27;Totaal mannen en vrouwen;Staatloos / onbekend;2012/'13;520.0
28;Totaal mannen en vrouwen;Staatloos / onbekend;2013/'14;510.0
29;Totaal mannen en vrouwen;Staatloos / onbekend;2014/'15;380.0
30;Totaal mannen en vrouwen;Staatloos / onbekend;2015/'16;390.0
31;Totaal mannen en vrouwen;Staatloos / onbekend;2016/'17;390.0
32;Totaal mannen en vrouwen;Staatloos / onbekend;2017/'18;450.0
33;Totaal mannen en vrouwen;Staatloos / onbekend;2018/'19;460.0
34;Totaal mannen en vrouwen;Staatloos / onbekend;2019/'20;330.0
35;Totaal mannen en vrouwen;Staatloos / onbekend;2020/'21;290.0
36;Totaal mannen en vrouwen;Staatloos / onbekend;2021/'22;250.0
37;Totaal mannen en vrouwen;Staatloos / onbekend;2022/'23;190.0
38;Totaal mannen en vrouwen;Staatloos / onbekend;2023/'24;160.0
39;Totaal mannen en vrouwen;Staatloos / onbekend;2024/'25;80.0
40;Totaal mannen en vrouwen;Afrika;2005/'06;1530.0
41;Totaal mannen en vrouwen;Afrika;2006/'07;1400.0
42;Totaal mannen en vrouwen;Afrika;2007/'08;1410.0
43;Totaal mannen en vrouwen;Afrika;2008/'09;1360.0
44;Totaal mannen en vrouwen;Afrika;2009/'10;1340.0
45;Totaal mannen en vrouwen;Afrika;2010/'11;1320.0
46;Totaal mannen en vrouwen;Afrika;2011/'12;1180.0
47;Totaal mannen en vrouwen;Afrika;2012/'13;1050.0
48;Totaal mannen en vrouwen;Afrika;2013/'14;1020.0
49;Totaal mannen en vrouwen;Afrika;2014/'15;940.0
50;Totaal mannen en vrouwen;Afrika;2015/'16;960.0
51;Totaal mannen en vrouwen;Afrika;2016/'17;1070.0
52;Totaal mannen en vrouwen;Afrika;2017/'18;1330.0
53;Totaal mannen en vrouwen;Afrika;2018/'19;1550.0
54;Totaal mannen en vrouwen;Afrika;2019/'20;1720.0
55;Totaal mannen en vrouwen;Afrika;2020/'21;1990.0
56;Totaal mannen en vrouwen;Afrika;2021/'22;2200.0
57;Totaal mannen en vrouwen;Afrika;2022/'23;2240.0
58;Totaal mannen en vrouwen;Afrika;2023/'24;2220.0
59;Totaal mannen en vrouwen;Afrika;2024/'25;2260.0
60;Totaal mannen en vrouwen;Amerika;2005/'06;1710.0
61;Totaal mannen en vrouwen;Amerika;2006/'07;1730.0
62;Totaal mannen en vrouwen;Amerika;2007/'08;1780.0
63;Totaal mannen en vrouwen;Amerika;2008/'09;1820.0
64;Totaal mannen en vrouwen;Amerika;2009/'10;2000.0
65;Totaal mannen en vrouwen;Amerika;2010/'11;2190.0
66;Totaal mannen en vrouwen;Amerika;2011/'12;2300.0
67;Totaal mannen en vrouwen;Amerika;2012/'13;2280.0
68;Totaal mannen en vrouwen;Amerika;2013/'14;2330.0
69;Totaal mannen en vrouwen;Amerika;2014/'15;2440.0
70;Totaal mannen en vrouwen;Amerika;2015/'16;2750.0
71;Totaal mannen en vrouwen;Amerika;2016/'17;3050.0
72;Totaal mannen en vrouwen;Amerika;2017/'18;3470.0
73;Totaal mannen en vrouwen;Amerika;2018/'19;3880.0
74;Totaal mannen en vrouwen;Amerika;2019/'20;4240.0
75;Totaal mannen en vrouwen;Amerika;2020/'21;4430.0
76;Totaal mannen en vrouwen;Amerika;2021/'22;5040.0
77;Totaal mannen en vrouwen;Amerika;2022/'23;5260.0
78;Totaal mannen en vrouwen;Amerika;2023/'24;5340.0
79;Totaal mannen en vrouwen;Amerika;2024/'25;5300.0
80;Totaal mannen en vrouwen;Azië;2005/'06;7790.0
81;Totaal mannen en vrouwen;Azië;2006/'07;7440.0
82;Totaal mannen en vrouwen;Azië;2007/'08;7380.0
83;Totaal mannen en vrouwen;Azië;2008/'09;7470.0
84;Totaal mannen en vrouwen;Azië;2009/'10;7910.0
85;Totaal mannen en vrouwen;Azië;2010/'11;8240.0
86;Totaal mannen en vrouwen;Azië;2011/'12;8500.0
87;Totaal mannen en vrouwen;Azië;2012/'13;8610.0
88;Totaal mannen en vrouwen;Azië;2013/'14;8790.0
89;Totaal mannen en vrouwen;Azië;2014/'15;9040.0
90;Totaal mannen en vrouwen;Azië;2015/'16;10260.0
91;Totaal mannen en vrouwen;Azië;2016/'17;11480.0
92;Totaal mannen en vrouwen;Azië;2017/'18;13410.0
93;Totaal mannen en vrouwen;Azië;2018/'19;15460.0
94;Totaal mannen en vrouwen;Azië;2019/'20;17510.0
95;Totaal mannen en vrouwen;Azië;2020/'21;18570.0
96;Totaal mannen en vrouwen;Azië;2021/'22;19620.0
97;Totaal mannen en vrouwen;Azië;2022/'23;21110.0
98;Totaal mannen en vrouwen;Azië;2023/'24;22650.0
99;Totaal mannen en vrouwen;Azië;2024/'25;23530.0
100;Totaal mannen en vrouwen;Europa (exclusief Nederlands);2005/'06;20920.0
101;Totaal mannen en vrouwen;Europa (exclusief Nederlands);2006/'07;23110.0
102;Totaal mannen en vrouwen;Europa (exclusief Nederlands);2007/'08;26290.0
103;Totaal mannen en vrouwen;Europa (exclusief Nederlands);2008/'09;30220.0
104;Totaal mannen en vrouwen;Europa (exclusief Nederlands);2009/'10;34440.0
105;Totaal mannen en vrouwen;Europa (exclusief Nederlands);2010/'11;38090.0
106;Totaal mannen en vrouwen;Europa (exclusief Nederlands);2011/'12;41060.0
107;Totaal mannen en vrouwen;Europa (exclusief Nederlands);2012/'13;43040.0
108;Totaal mannen en vrouwen;Europa (exclusief Nederlands);2013/'14;44810.0
109;Totaal mannen en vrouwen;Europa (exclusief Nederlands);2014/'15;46180.0
110;Totaal mannen en vrouwen;Europa (exclusief Nederlands);2015/'16;48640.0
111;Totaal mannen en vrouwen;Europa (exclusief Nederlands);2016/'17;52940.0
112;Totaal mannen en vrouwen;Europa (exclusief Nederlands);2017/'18;58100.0
113;Totaal mannen en vrouwen;Europa (exclusief Nederlands);2018/'19;64390.0
114;Totaal mannen en vrouwen;Europa (exclusief Nederlands);2019/'20;70280.0
115;Totaal mannen en vrouwen;Europa (exclusief Nederlands);2020/'21;78190.0
116;Totaal mannen en vrouwen;Europa (exclusief Nederlands);2021/'22;87790.0
117;Totaal mannen en vrouwen;Europa (exclusief Nederlands);2022/'23;93250.0
118;Totaal mannen en vrouwen;Europa (exclusief Nederlands);2023/'24;97360.0
119;Totaal mannen en vrouwen;Europa (exclusief Nederlands);2024/'25;99630.0
120;Totaal mannen en vrouwen;Oceanië;2005/'06;70.0
121;Totaal mannen en vrouwen;Oceanië;2006/'07;70.0
122;Totaal mannen en vrouwen;Oceanië;2007/'08;70.0
123;Totaal mannen en vrouwen;Oceanië;2008/'09;70.0
124;Totaal mannen en vrouwen;Oceanië;2009/'10;70.0
125;Totaal mannen en vrouwen;Oceanië;2010/'11;70.0
126;Totaal mannen en vrouwen;Oceanië;2011/'12;70.0
127;Totaal mannen en vrouwen;Oceanië;2012/'13;70.0
128;Totaal mannen en vrouwen;Oceanië;2013/'14;90.0
129;Totaal mannen en vrouwen;Oceanië;2014/'15;100.0
130;Totaal mannen en vrouwen;Oceanië;2015/'16;90.0
131;Totaal mannen en vrouwen;Oceanië;2016/'17;120.0
132;Totaal mannen en vrouwen;Oceanië;2017/'18;110.0
133;Totaal mannen en vrouwen;Oceanië;2018/'19;140.0
134;Totaal mannen en vrouwen;Oceanië;2019/'20;150.0
135;Totaal mannen en vrouwen;Oceanië;2020/'21;160.0
136;Totaal mannen en vrouwen;Oceanië;2021/'22;150.0
137;Totaal mannen en vrouwen;Oceanië;2022/'23;160.0
138;Totaal mannen en vrouwen;Oceanië;2023/'24;190.0
139;Totaal mannen en vrouwen;Oceanië;2024/'25;210.0
140;Totaal mannen en vrouwen;Afghaans;2005/'06;50.0
141;Totaal mannen en vrouwen;Afghaans;2006/'07;60.0
142;Totaal mannen en vrouwen;Afghaans;2007/'08;50.0
143;Totaal mannen en vrouwen;Afghaans;2008/'09;50.0
144;Totaal mannen en vrouwen;Afghaans;2009/'10;50.0
145;Totaal mannen en vrouwen;Afghaans;2010/'11;40.0
146;Totaal mannen en vrouwen;Afghaans;2011/'12;30.0
147;Totaal mannen en vrouwen;Afghaans;2012/'13;30.0
148;Totaal mannen en vrouwen;Afghaans;2013/'14;40.0
149;Totaal mannen en vrouwen;Afghaans;2014/'15;40.0
150;Totaal mannen en vrouwen;Afghaans;2015/'16;40.0
151;Totaal mannen en vrouwen;Afghaans;2016/'17;30.0
152;Totaal mannen en vrouwen;Afghaans;2017/'18;30.0
153;Totaal mannen en vrouwen;Afghaans;2018/'19;40.0
154;Totaal mannen en vrouwen;Afghaans;2019/'20;50.0
155;Totaal mannen en vrouwen;Afghaans;2020/'21;60.0
156;Totaal mannen en vrouwen;Afghaans;2021/'22;70.0
157;Totaal mannen en vrouwen;Afghaans;2022/'23;60.0
158;Totaal mannen en vrouwen;Afghaans;2023/'24;60.0
159;Totaal mannen en vrouwen;Afghaans;2024/'25;80.0
160;Totaal mannen en vrouwen;Albanees;2005/'06;60.0
161;Totaal mannen en vrouwen;Albanees;2006/'07;50.0
162;Totaal mannen en vrouwen;Albanees;2007/'08;50.0
163;Totaal mannen en vrouwen;Albanees;2008/'09;50.0
164;Totaal mannen en vrouwen;Albanees;2009/'10;50.0
165;Totaal mannen en vrouwen;Albanees;2010/'11;70.0
166;Totaal mannen en vrouwen;Albanees;2011/'12;60.0
167;Totaal mannen en vrouwen;Albanees;2012/'13;70.0
168;Totaal mannen en vrouwen;Albanees;2013/'14;60.0
169;Totaal mannen en vrouwen;Albanees;2014/'15;100.0
170;Totaal mannen en vrouwen;Albanees;2015/'16;120.0
171;Totaal mannen en vrouwen;Albanees;2016/'17;170.0
172;Totaal mannen en vrouwen;Albanees;2017/'18;210.0
173;Totaal mannen en vrouwen;Albanees;2018/'19;210.0
174;Totaal mannen en vrouwen;Albanees;2019/'20;230.0
175;Totaal mannen en vrouwen;Albanees;2020/'21;270.0
176;Totaal mannen en vrouwen;Albanees;2021/'22;250.0
177;Totaal mannen en vrouwen;Albanees;2022/'23;260.0
