ID;Geslacht;TypeZelfstandigeInStartjaar;ArbeidsmarktpositiePeiljaar;Persoonskenmerken;BedrijfstakkenBranchesSBI2008;Peiljaar;Perioden;StartendeZelfstandigen_1
0;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;1 jaar na startjaar;2008;262.2
1;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;1 jaar na startjaar;2009;241.6
2;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;1 jaar na startjaar;2010;220.7
3;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;1 jaar na startjaar;2011;215.5
4;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;1 jaar na startjaar;2012;205.6
5;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;1 jaar na startjaar;2013;215.3
6;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;1 jaar na startjaar;2014;217.9
7;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;1 jaar na startjaar;2015;226.0
8;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;1 jaar na startjaar;2016;218.4
9;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2 jaar na startjaar;2008;262.2
10;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2 jaar na startjaar;2009;241.6
11;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2 jaar na startjaar;2010;220.7
12;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2 jaar na startjaar;2011;215.5
13;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2 jaar na startjaar;2012;205.6
14;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2 jaar na startjaar;2013;215.3
15;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2 jaar na startjaar;2014;217.9
16;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2 jaar na startjaar;2015;226.0
17;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2 jaar na startjaar;2016;
18;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;3 jaar na startjaar;2008;262.2
19;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;3 jaar na startjaar;2009;241.6
20;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;3 jaar na startjaar;2010;220.7
21;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;3 jaar na startjaar;2011;215.5
22;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;3 jaar na startjaar;2012;205.6
