ID;Geslacht;Herkomstland;Perioden;Immigratie_1;EmigratieInclusiefCorrecties_2;MigratiesaldoInclusiefCorrecties_3
0;Totaal mannen en vrouwen;Totaal;2023;336911;192469;144442
1;Totaal mannen en vrouwen;Totaal;2024;323309;201224;122085
2;Totaal mannen en vrouwen;Totaal;2025;314613;209453;105160
3;Totaal mannen en vrouwen;Totaal;2026;305314;217562;87752
4;Totaal mannen en vrouwen;Totaal;2027;305503;227798;77704
5;Totaal mannen en vrouwen;Totaal;2028;305973;238432;67541
6;Totaal mannen en vrouwen;Totaal;2029;307754;240327;67427
7;Totaal mannen en vrouwen;Totaal;2030;308688;241718;66970
8;Totaal mannen en vrouwen;Totaal;2031;309702;242704;66998
9;Totaal mannen en vrouwen;Totaal;2032;310202;243301;66901
10;Totaal mannen en vrouwen;Totaal;2033;309773;243440;66333
11;Totaal mannen en vrouwen;Totaal;2034;309123;244149;64974
12;Totaal mannen en vrouwen;Totaal;2035;309330;244901;64429
13;Totaal mannen en vrouwen;Totaal;2036;309381;245792;63589
14;Totaal mannen en vrouwen;Totaal;2037;309409;246702;62707
15;Totaal mannen en vrouwen;Totaal;2038;309439;247521;61918
16;Totaal mannen en vrouwen;Totaal;2039;309495;248236;61259
17;Totaal mannen en vrouwen;Totaal;2040;309565;248877;60688
18;Totaal mannen en vrouwen;Totaal;2041;309618;249430;60188
19;Totaal mannen en vrouwen;Totaal;2042;309706;249930;59776
20;Totaal mannen en vrouwen;Totaal;2043;309769;250414;59355
21;Totaal mannen en vrouwen;Totaal;2044;309872;250837;59035
22;Totaal mannen en vrouwen;Totaal;2045;309881;251232;58650
23;Totaal mannen en vrouwen;Totaal;2046;309895;251545;58350
24;Totaal mannen en vrouwen;Totaal;2047;309929;251815;58114
25;Totaal mannen en vrouwen;Totaal;2048;309956;252051;57905
26;Totaal mannen en vrouwen;Totaal;2049;309978;252294;57684
27;Totaal mannen en vrouwen;Totaal;2050;310012;252514;57498
28;Totaal mannen en vrouwen;Totaal;2051;310049;252834;57215
29;Totaal mannen en vrouwen;Totaal;2052;310053;253084;56969
30;Totaal mannen en vrouwen;Totaal;2053;310056;253292;56764
31;Totaal mannen en vrouwen;Totaal;2054;310103;253515;56588
32;Totaal mannen en vrouwen;Totaal;2055;310136;253758;56378
33;Totaal mannen en vrouwen;Totaal;2056;310194;254037;56157
34;Totaal mannen en vrouwen;Totaal;2057;310244;254317;55927
35;Totaal mannen en vrouwen;Totaal;2058;310319;254607;55712
36;Totaal mannen en vrouwen;Totaal;2059;310436;254899;55537
37;Totaal mannen en vrouwen;Totaal;2060;310499;255182;55317
38;Totaal mannen en vrouwen;Totaal;2061;310632;255464;55168
39;Totaal mannen en vrouwen;Totaal;2062;310742;255742;55000
40;Totaal mannen en vrouwen;Totaal;2063;310853;256005;54848
41;Totaal mannen en vrouwen;Totaal;2064;311001;256262;54739
42;Totaal mannen en vrouwen;Totaal;2065;311082;256521;54561
43;Totaal mannen en vrouwen;Totaal;2066;311228;256782;54446
44;Totaal mannen en vrouwen;Totaal;2067;311339;257029;54310
45;Totaal mannen en vrouwen;Totaal;2068;311396;257256;54140
46;Totaal mannen en vrouwen;Totaal;2069;311513;257479;54034
47;Totaal mannen en vrouwen;Totaal;2070;311608;257671;53937
48;Totaal mannen en vrouwen;Geboren in Nederland;2023;25442;41150;-15708
49;Totaal mannen en vrouwen;Geboren in Nederland;2024;26783;41980;-15197
