ID;GeboortelandMoeder;HerkomstlandMoeder;Perioden;LevendGeborenKinderen_1;NietGestandaardiseerd_2;Gestandaardiseerd_3;NietGestandaardiseerd_4;Gestandaardiseerd_5;GemiddeldKindertalPerVrouw_6
0;Totaal;Totaal;2022;167504.0;44.08;44.08;31.7;31.7;1.487
1;Totaal;Totaal;2023;164487.0;42.69;42.69;31.8;31.8;1.43
2;Totaal;Nederland;2022;109931.0;43.85;45.1;31.6;31.6;1.518
3;Totaal;Nederland;2023;106958.0;42.95;44.11;31.7;31.7;1.475
4;Totaal;Buiten Nederland;2022;57573.0;44.53;42.26;31.8;31.7;1.435
5;Totaal;Buiten Nederland;2023;57529.0;42.22;40.28;31.9;31.8;1.358
6;Totaal;Europa (exclusief Nederland);2022;15289.0;35.84;33.25;32.1;32.2;1.137
7;Totaal;Europa (exclusief Nederland);2023;15467.0;33.31;31.31;32.2;32.3;1.061
8;Totaal;België;2022;1169.0;40.53;42.29;31.5;31.8;1.429
9;Totaal;België;2023;1096.0;37.46;39.24;31.4;31.7;1.312
10;Totaal;Duitsland;2022;2119.0;33.59;35.0;32.6;32.9;1.218
11;Totaal;Duitsland;2023;2081.0;33.21;34.15;32.7;33.1;1.18
12;Totaal;Polen;2022;3098.0;40.64;32.58;31.6;30.9;1.148
13;Totaal;Polen;2023;3034.0;38.31;31.8;31.6;30.9;1.112
14;Totaal;Overig Europa;2022;8903.0;34.45;32.19;32.2;32.4;1.109
15;Totaal;Overig Europa;2023;9256.0;31.57;29.88;32.3;32.6;1.019
16;Totaal;Buiten Europa;2022;42284.0;48.81;46.85;31.7;31.5;1.593
17;Totaal;Buiten Europa;2023;42062.0;46.82;45.03;31.8;31.6;1.52
18;Totaal;Indonesië;2022;2255.0;39.23;43.35;34.1;32.7;1.371
19;Totaal;Indonesië;2023;1979.0;35.65;40.23;34.3;32.8;1.255
20;Totaal;Marokko;2022;7331.0;60.22;64.72;31.5;31.4;2.176
21;Totaal;Marokko;2023;7018.0;56.78;61.6;31.7;31.6;2.057
22;Totaal;Nederlandse Cariben;2022;2466.0;47.96;44.38;30.3;30.7;1.495
23;Totaal;Nederlandse Cariben;2023;2541.0;48.13;44.84;30.5;30.9;1.512
24;Totaal;Suriname;2022;4250.0;44.77;43.5;31.7;31.3;1.478
25;Totaal;Suriname;2023;4093.0;43.27;42.36;31.9;31.4;1.428
26;Totaal;Turkije;2022;5900.0;46.83;46.29;31.3;31.3;1.561
27;Totaal;Turkije;2023;5823.0;45.23;44.15;31.4;31.4;1.478
28;Totaal;Afrika (exclusief Marokko);2022;5584.0;57.33;55.54;31.2;31.4;1.885
29;Totaal;Afrika (exclusief Marokko);2023;5705.0;55.34;53.7;31.3;31.5;1.808
30;Totaal;Amerika en Oceanië (ex. Suriname en N...;2022;3765.0;42.04;36.49;33.1;33.1;1.256
31;Totaal;Amerika en Oceanië (ex. Suriname en N...;2023;3774.0;39.96;34.85;33.2;33.2;1.188
32;Totaal;Azië (exclusief Indonesië en Turkije);2022;10733.0;47.13;42.44;31.7;31.5;1.456
33;Totaal;Azië (exclusief Indonesië en Turkije);2023;11129.0;45.31;41.03;31.8;31.5;1.396
34;Totaal;Afrika;2022;12915.0;58.93;60.41;31.4;31.4;2.038
35;Totaal;Afrika;2023;12723.0;56.13;57.79;31.5;31.6;1.935
36;Totaal;Amerika;2022;10036.0;44.28;41.08;31.9;31.7;1.402
37;Totaal;Amerika;2023;9938.0;42.79;39.88;32.0;31.8;1.353
38;Totaal;Azië;2022;18888.0;45.94;43.69;31.9;31.5;1.487
39;Totaal;Azië;2023;18931.0;44.04;41.85;31.9;31.6;1.415
40;Totaal;Oceanië;2022;445.0;47.94;36.65;32.4;32.6;1.254
41;Totaal;Oceanië;2023;470.0;48.96;38.0;32.6;32.7;1.258
42;Totaal;Europese Unie (exclusief Nederland);2022;11898.0;36.12;33.36;32.0;32.2;1.144
43;Totaal;Europese Unie (exclusief Nederland);2023;11847.0;34.5;32.25;32.1;32.3;1.098
44;Totaal;Onbekend herkomstland;2022;0.0;0.0;0.0;0.0;0.0;0.0
45;Totaal;Onbekend herkomstland;2023;0.0;0.0;0.0;0.0;0.0;0.0
46;Moeder geboren in Nederland;Totaal;2022;132685.0;44.11;45.24;31.5;31.6;1.524
47;Moeder geboren in Nederland;Totaal;2023;129480.0;43.12;44.22;31.6;31.7;1.479
48;Moeder geboren in Nederland;Nederland;2022;109931.0;43.85;45.1;31.6;31.6;1.518
49;Moeder geboren in Nederland;Nederland;2023;106958.0;42.95;44.11;31.7;31.7;1.475
50;Moeder geboren in Nederland;Buiten Nederland;2022;22754.0;45.42;45.93;31.2;31.8;1.554
51;Moeder geboren in Nederland;Buiten Nederland;2023;22522.0;43.94;44.73;31.2;31.8;1.503
52;Moeder geboren in Nederland;Europa (exclusief Nederland);2022;3612.0;35.12;39.68;31.5;32.1;1.355
