ID;RegioS;Perioden;TotaalAlarmeringenVanDeBrandweer_1;Alarmeringen_2;Uitrukken_3;TerPlaatse_4;Alarmeringen_5;Uitrukken_6;TerPlaatse_7;Alarmeringen_8;Uitrukken_9;TerPlaatse_10;Alarmeringen_11;Uitrukken_12;TerPlaatse_13
0;Nederland;2013 1e kwartaal;36400;23880;21700;18880;13560;11760;9400;10320;9960;9500;12520;11960;11220
1;Nederland;2013 2e kwartaal;36820;23520;21480;18700;13380;11640;9260;10120;9860;9440;13300;12680;11740
2;Nederland;2013 3e kwartaal;38800;23860;21860;19020;14080;12360;9960;9780;9500;9060;14940;14140;13100
3;Nederland;2013 4e kwartaal;45900;25360;22980;19920;14320;12360;9780;11040;10620;10160;20540;19200;17940
4;Nederland;2013;157920;96600;88040;76540;55340;48080;38400;41260;39940;38140;61300;58000;54020
5;Nederland;2014 1e kwartaal;34940;22560;20300;17680;12100;10320;8120;10460;9980;9560;12400;11820;11120
6;Nederland;2014 2e kwartaal;37280;22320;20100;17040;12700;10740;8120;9620;9360;8920;14960;14200;13200
7;Nederland;2014 3e kwartaal;39320;22600;20320;17160;14080;12040;9240;8520;8280;7920;16720;15740;14620
8;Nederland;2014 4e kwartaal;38520;23680;21400;17940;13640;11660;8660;10060;9740;9280;14840;14120;13180
9;Nederland;2014;150080;91160;82120;69800;52520;44760;34120;38640;37360;35680;58920;55860;52120
10;Nederland;2015 1e kwartaal;37100;20700;18740;15780;11100;9460;6960;9600;9280;8820;16420;15680;14680
11;Nederland;2015 2e kwartaal;35700;20740;18780;15640;11120;9440;6780;9640;9340;8840;14960;14140;13040
12;Nederland;2015 3e kwartaal;42000;21280;19200;16160;12240;10400;7780;9040;8800;8380;20720;19300;17800
13;Nederland;2015 4e kwartaal;37400;22280;20060;16800;12000;10120;7340;10300;9960;9460;15120;14420;13400
14;Nederland;2015;152220;85000;76800;64360;46440;39420;28860;38560;37380;35500;67220;63540;58920
15;Nederland;2016 1e kwartaal;33520;19440;17660;14820;9900;8420;6060;9560;9240;8760;14080;13460;12620
16;Nederland;2016 2e kwartaal;35400;19060;17220;14400;10320;8720;6300;8740;8480;8100;16340;15420;14360
17;Nederland;2016 3e kwartaal;35820;20180;18420;15580;10720;9240;6840;9440;9180;8740;15660;14760;13620
18;Nederland;2016 4e kwartaal;36940;20880;19020;16460;9920;8420;6300;10960;10620;10160;16060;15180;14320
19;Nederland;2016;141700;79540;72320;61260;40860;34800;25500;38700;37520;35760;62140;58840;54920
20;Nederland;2017 1e kwartaal;34480;18160;16480;14160;8500;7140;5280;9660;9340;8880;16320;15420;14520
21;Nederland;2017 2e kwartaal;35740;19340;17640;15320;8440;7120;5280;10900;10520;10040;16400;15380;14440
22;Nederland;2017 3e kwartaal;34800;17120;15420;13260;8820;7420;5580;8300;8000;7680;17680;16600;15440
23;Nederland;2017 4e kwartaal;34920;18360;16580;14200;8780;7300;5360;9580;9280;8840;16580;15640;14740
24;Nederland;2017;139940;72980;66120;56940;34540;28980;21500;38440;37160;35440;66980;63040;59140
25;Nederland;2018 1e kwartaal;38760;17680;16020;14000;7960;6660;5000;9700;9360;9000;21080;19440;18280
26;Nederland;2018 2e kwartaal;35020;17600;16020;14100;7780;6560;5020;9820;9460;9080;17440;16220;15020
27;Nederland;2018 3e kwartaal;40200;21700;19960;17760;8060;6720;5220;13660;13240;12560;18500;17220;15960
28;Nederland;2018 4e kwartaal;34900;19040;17200;14740;8040;6620;4680;11000;10580;10060;15860;14900;13760
29;Nederland;2018;148900;76020;69200;60600;31840;26560;19920;44180;42660;40680;72880;67780;63020
