ID;Zorgaanbieders;Perioden;ZorguitgavenInBredeZin_1;UitgavenVoorGezondheidszorgIntDef_2;UitgavenVerplichteVerzekeringen_3
0;Totaal aanbieders zorg en welzijn;1998;39380;30737;22931
1;Totaal aanbieders zorg en welzijn;1999;42394;32822;24237
2;Totaal aanbieders zorg en welzijn;2000;45361;34836;26017
3;Totaal aanbieders zorg en welzijn;2001;50767;38837;29277
4;Totaal aanbieders zorg en welzijn;2002;56663;43344;32892
5;Totaal aanbieders zorg en welzijn;2003;60888;46443;35621
6;Totaal aanbieders zorg en welzijn;2004;63003;48222;36433
7;Totaal aanbieders zorg en welzijn;2005;65424;50112;37702
8;Totaal aanbieders zorg en welzijn;2006;68495;53080;47970
9;Totaal aanbieders zorg en welzijn;2007;72713;56053;49101
10;Totaal aanbieders zorg en welzijn;2008;77705;60038;51472
11;Totaal aanbieders zorg en welzijn;2009;82298;62440;54456
12;Totaal aanbieders zorg en welzijn;2010;85790;64910;57003
13;Totaal aanbieders zorg en welzijn;2011;88125;66555;58387
14;Totaal aanbieders zorg en welzijn;2012;90622;68816;60324
15;Totaal aanbieders zorg en welzijn;2013;90954;69901;61316
16;Totaal aanbieders zorg en welzijn;2014;91927;70964;62360
17;Totaal aanbieders zorg en welzijn;2015;92323;71236;58604
18;Totaal aanbieders zorg en welzijn;2016;94842;72918;59877
19;Totaal aanbieders zorg en welzijn;2017;96972;74614;61506
20;Totaal aanbieders zorg en welzijn;2018;101031;77553;64063
21;Totaal aanbieders zorg en welzijn;2019;107429;82447;68531
22;Totaal aanbieders zorg en welzijn;2020;116381;89285;72167
23;Totaal aanbieders zorg en welzijn;2021;124691;96619;76285
24;Totaal aanbieders zorg en welzijn;2022;126197;96028;79318
25;GLZ: Totaal aanb. geneesk., langd. Zorg;1998;33875;29067;22358
26;GLZ: Totaal aanb. geneesk., langd. Zorg;1999;36195;31047;23641
27;GLZ: Totaal aanb. geneesk., langd. Zorg;2000;38583;32975;25393
28;GLZ: Totaal aanb. geneesk., langd. Zorg;2001;43225;36818;28593
29;GLZ: Totaal aanb. geneesk., langd. Zorg;2002;48745;41196;32216
30;GLZ: Totaal aanb. geneesk., langd. Zorg;2003;52582;44225;34905
31;GLZ: Totaal aanb. geneesk., langd. Zorg;2004;54700;45918;35699
32;GLZ: Totaal aanb. geneesk., langd. Zorg;2005;56571;47443;36895
33;GLZ: Totaal aanb. geneesk., langd. Zorg;2006;59152;50090;46217
34;GLZ: Totaal aanb. geneesk., langd. Zorg;2007;62404;52913;47480
35;GLZ: Totaal aanb. geneesk., langd. Zorg;2008;66592;56973;49903
36;GLZ: Totaal aanb. geneesk., langd. Zorg;2009;70213;59348;52967
37;GLZ: Totaal aanb. geneesk., langd. Zorg;2010;73402;61816;55461
38;GLZ: Totaal aanb. geneesk., langd. Zorg;2011;75593;63306;56687
39;GLZ: Totaal aanb. geneesk., langd. Zorg;2012;78309;65571;58508
