ID;Feedstocks;Destination;Periods;TotalSupply_1;IndigenousProduction_2;ProductionFromOtherSources_3;Imports_4;Exports_5;StockChange_6;TotalConsumption_7;Processing_8;FinalConsumption_9;OpeningStock_10;ClosingStock_11;StockChange_12
51;Total crude;Total for processing and transit;1995;62698.0;3638.0;0.0;99386.0;40617.0;282.0;62698.0;59774.0;2923.0;6622.0;6340.0;282.0
52;Total crude;Total for processing and transit;1996;63730.0;3233.0;0.0;105393.0;44805.0;-110.0;63730.0;61098.0;2633.0;6340.0;6450.0;-110.0
53;Total crude;Total for processing and transit;1997;63480.0;3124.0;0.0;105192.0;44782.0;-72.0;63480.0;60858.0;2622.0;6450.0;6522.0;-72.0
54;Total crude;Total for processing and transit;1998;64749.0;2846.0;0.0;107818.0;45017.0;-909.0;64749.0;62116.0;2633.0;6522.0;7430.0;-909.0
55;Total crude;Total for processing and transit;1999;61360.0;2745.0;0.0;101469.0;44102.0;1234.0;61360.0;58492.0;2869.0;7430.0;6197.0;1234.0
56;Total crude;Total for processing and transit;2000;61949.0;2545.0;0.0;103546.0;43476.0;-693.0;61949.0;58797.0;3152.0;6197.0;6890.0;-693.0
57;Total crude;Total for processing and transit;2001;62250.0;2413.0;0.0;102775.0;42175.0;-781.0;62250.0;58933.0;3317.0;6890.0;7671.0;-781.0
58;Total crude;Total for processing and transit;2002;57706.0;3205.0;0.0;100081.0;46217.0;629.0;57706.0;53741.0;3964.0;7671.0;7042.0;629.0
59;Total crude;Total for processing and transit;2003;60335.0;3275.0;0.0;104184.0;48040.0;901.0;60335.0;56903.0;3433.0;7042.0;6141.0;901.0
60;Total crude;Total for processing and transit;2004;62643.0;2977.0;0.0;107386.0;47505.0;-232.0;62643.0;59024.0;3618.0;6141.0;6373.0;-232.0
61;Total crude;Total for processing and transit;2005;63258.0;2459.0;0.0;107131.0;45848.0;-497.0;63258.0;59295.0;3963.0;6373.0;6870.0;-497.0
62;Total crude;Total for processing and transit;2006;61789.0;2213.0;62.0;104887.0;44685.0;-662.0;61789.0;57590.0;4199.0;6870.0;7532.0;-662.0
63;Total crude;Total for processing and transit;2007;60863.0;2770.0;522.0;103551.0;45273.0;-652.0;60863.0;57171.0;3693.0;7532.0;8184.0;-652.0
64;Total crude;Total for processing and transit;2008;60394.0;2304.0;656.0;104440.0;47184.0;256.0;60394.0;56871.0;3523.0;8184.0;7928.0;256.0
65;Total crude;Total for processing and transit;2009;59144.0;1899.0;562.0;99495.0;42482.0;-279.0;59144.0;55745.0;3399.0;7928.0;8207.0;-279.0
66;Total crude;Total for processing and transit;2010;61447.0;1590.0;211.0;103721.0;44280.0;210.0;61447.0;58115.0;3332.0;8207.0;7996.0;210.0
67;Total crude;Total for processing and transit;2011;59315.0;1627.0;283.0;96359.0;41008.0;2090.0;59315.0;56100.0;3215.0;7996.0;5906.0;2090.0
68;Total crude;Total for processing and transit;2012;59165.0;1650.0;500.0;102864.0;44196.0;-1646.0;59165.0;56144.0;3020.0;5906.0;7552.0;-1646.0
69;Total crude;Total for processing and transit;2013;56898.0;1729.0;534.0;93578.0;39108.0;197.0;56898.0;53966.0;2932.0;7552.0;7355.0;197.0
70;Total crude;Total for processing and transit;2014;57920.0;2089.0;481.0;99583.0;43908.0;-325.0;57920.0;55280.0;2640.0;7355.0;7680.0;-325.0
71;Total crude;Total for processing and transit;2015;60950.0;2004.0;473.0;104488.0;45042.0;-973.0;60950.0;58630.0;2320.0;7680.0;8653.0;-973.0
72;Total crude;Total for processing and transit;2016;61617.0;1558.0;337.0;103253.0;44094.0;566.0;61617.0;59426.0;2191.0;8653.0;8087.0;566.0
73;Total crude;Total for processing and transit;2017;61689.0;1464.0;680.0;105398.0;45856.0;4.0;61689.0;59640.0;2048.0;8087.0;8083.0;4.0
74;Total crude;Total for processing and transit;2018;62590.0;1478.0;948.0;102226.0;41273.0;-788.0;62590.0;60940.0;1651.0;8083.0;8872.0;-788.0
75;Total crude;Total for processing and transit;2019;63689.0;1111.0;935.0;107108.0;45087.0;-378.0;63689.0;62303.0;1386.0;8872.0;9250.0;-378.0
76;Total crude;Total for processing and transit;2020;58569.0;1035.0;1346.0;96622.0;40381.0;-48.0;58569.0;57008.0;1561.0;9250.0;9298.0;-48.0
77;Total crude;Total for processing and transit;2021;;;;;;;;;;;;
78;Total crude;Total for processing and transit;2013 January;5164.0;147.0;45.0;8464.0;3773.0;284.0;5164.0;4911.0;254.0;7552.0;7268.0;284.0
79;Total crude;Total for processing and transit;2013 February;4796.0;151.0;20.0;8137.0;3290.0;-224.0;4796.0;4435.0;361.0;7268.0;7492.0;-224.0
80;Total crude;Total for processing and transit;2013 March;4753.0;163.0;84.0;8440.0;3526.0;-407.0;4753.0;4518.0;235.0;7492.0;7899.0;-407.0
81;Total crude;Total for processing and transit;2013 1st quarter;14714.0;461.0;150.0;25041.0;10589.0;-347.0;14714.0;13864.0;849.0;7552.0;7899.0;-347.0
82;Total crude;Total for processing and transit;2013 April;4907.0;137.0;10.0;7530.0;3018.0;248.0;4907.0;4656.0;251.0;7899.0;7651.0;248.0
83;Total crude;Total for processing and transit;2013 May;4813.0;140.0;19.0;7524.0;3153.0;284.0;4813.0;4573.0;239.0;7651.0;7366.0;284.0
84;Total crude;Total for processing and transit;2013 June;4933.0;133.0;-20.0;8314.0;3279.0;-215.0;4933.0;4687.0;246.0;7366.0;7581.0;-215.0
85;Total crude;Total for processing and transit;2013 2nd quarter;14652.0;410.0;9.0;23369.0;9450.0;318.0;14652.0;13916.0;736.0;7899.0;7581.0;318.0
86;Total crude;Total for processing and transit;2013 July;5004.0;168.0;72.0;8474.0;3649.0;-60.0;5004.0;4805.0;199.0;7581.0;7642.0;-60.0
87;Total crude;Total for processing and transit;2013 August;5018.0;137.0;53.0;7606.0;3431.0;653.0;5018.0;4775.0;243.0;7642.0;6988.0;653.0
88;Total crude;Total for processing and transit;2013 September;4326.0;123.0;56.0;7889.0;3246.0;-497.0;4326.0;4193.0;132.0;6988.0;7486.0;-497.0
89;Total crude;Total for processing and transit;2013 3rd quarter;14348.0;427.0;181.0;23969.0;10326.0;96.0;14348.0;13773.0;575.0;7581.0;7486.0;96.0
90;Total crude;Total for processing and transit;2013 October;3938.0;136.0;37.0;6528.0;2675.0;-88.0;3938.0;3765.0;173.0;7486.0;7574.0;-88.0
91;Total crude;Total for processing and transit;2013 November;4414.0;150.0;73.0;7538.0;2679.0;-668.0;4414.0;4115.0;299.0;7574.0;8241.0;-668.0
92;Total crude;Total for processing and transit;2013 December;4831.0;144.0;84.0;7134.0;3389.0;887.0;4831.0;4533.0;299.0;8241.0;7355.0;887.0
93;Total crude;Total for processing and transit;2013 4th quarter;13184.0;432.0;194.0;21200.0;8743.0;131.0;13184.0;12412.0;772.0;7486.0;7355.0;131.0
94;Total crude;Total for processing and transit;2014 January;4960.0;146.0;5.0;7381.0;3011.0;437.0;4960.0;4738.0;221.0;7355.0;6918.0;437.0
95;Total crude;Total for processing and transit;2014 February;4539.0;133.0;36.0;7759.0;3223.0;-166.0;4539.0;4349.0;190.0;6918.0;7084.0;-166.0
96;Total crude;Total for processing and transit;2014 March;5013.0;165.0;52.0;9283.0;3890.0;-597.0;5013.0;4762.0;251.0;7084.0;7680.0;-597.0
97;Total crude;Total for processing and transit;2014 1st quarter;14512.0;444.0;93.0;24424.0;10124.0;-326.0;14512.0;13850.0;662.0;7355.0;7680.0;-326.0
98;Total crude;Total for processing and transit;2014 April;4852.0;174.0;57.0;8187.0;4144.0;577.0;4852.0;4572.0;280.0;7680.0;7104.0;577.0
99;Total crude;Total for processing and transit;2014 May;4850.0;180.0;23.0;8749.0;3618.0;-484.0;4850.0;4593.0;258.0;7104.0;7587.0;-484.0
100;Total crude;Total for processing and transit;2014 June;4303.0;140.0;14.0;7942.0;3743.0;-50.0;4303.0;4095.0;208.0;7587.0;7638.0;-50.0
101;Total crude;Total for processing and transit;2014 2nd quarter;14005.0;590.0;95.0;24878.0;11505.0;43.0;14005.0;13260.0;745.0;7680.0;7638.0;43.0
102;Total crude;Total for processing and transit;2014 July;4681.0;151.0;-15.0;8294.0;3985.0;236.0;4681.0;4472.0;209.0;7638.0;7402.0;236.0
103;Total crude;Total for processing and transit;2014 August;4673.0;197.0;30.0;8391.0;3977.0;32.0;4673.0;4445.0;228.0;7402.0;7370.0;32.0
104;Total crude;Total for processing and transit;2014 September;4954.0;185.0;113.0;7754.0;3431.0;333.0;4954.0;4719.0;235.0;7370.0;7037.0;333.0
105;Total crude;Total for processing and transit;2014 3rd quarter;14307.0;532.0;128.0;24439.0;11392.0;601.0;14307.0;13636.0;671.0;7638.0;7037.0;601.0
106;Total crude;Total for processing and transit;2014 October;5197.0;199.0;26.0;8853.0;3721.0;-160.0;5197.0;5004.0;193.0;7037.0;7196.0;-160.0
107;Total crude;Total for processing and transit;2014 November;4911.0;209.0;-4.0;7931.0;3429.0;203.0;4911.0;4769.0;142.0;7196.0;6993.0;203.0
108;Total crude;Total for processing and transit;2014 December;4988.0;209.0;143.0;9059.0;3738.0;-687.0;4988.0;4762.0;227.0;6993.0;7680.0;-687.0
109;Total crude;Total for processing and transit;2014 4th quarter;15096.0;617.0;165.0;25843.0;10887.0;-643.0;15096.0;14534.0;562.0;7037.0;7680.0;-643.0
110;Total crude;Total for processing and transit;2015 January;5149.0;184.0;74.0;8298.0;3741.0;335.0;5149.0;5018.0;131.0;7680.0;7344.0;335.0
111;Total crude;Total for processing and transit;2015 February;4743.0;185.0;53.0;8465.0;3470.0;-491.0;4743.0;4626.0;116.0;7344.0;7835.0;-491.0
112;Total crude;Total for processing and transit;2015 March;4591.0;200.0;101.0;8252.0;3953.0;-9.0;4591.0;4494.0;97.0;7835.0;7844.0;-9.0
113;Total crude;Total for processing and transit;2015 1st quarter;14483.0;567.0;228.0;25015.0;11164.0;-164.0;14483.0;14138.0;344.0;7680.0;7844.0;-164.0
114;Total crude;Total for processing and transit;2015 April;4733.0;171.0;13.0;8667.0;3820.0;-298.0;4733.0;4575.0;158.0;7844.0;8142.0;-298.0
115;Total crude;Total for processing and transit;2015 May;5293.0;175.0;-9.0;9395.0;4036.0;-232.0;5293.0;5111.0;182.0;8142.0;8374.0;-232.0
116;Total crude;Total for processing and transit;2015 June;5067.0;140.0;-34.0;8852.0;3665.0;-225.0;5067.0;4797.0;270.0;8374.0;8599.0;-225.0
117;Total crude;Total for processing and transit;2015 2nd quarter;15093.0;487.0;-31.0;26914.0;11521.0;-755.0;15093.0;14483.0;610.0;7844.0;8599.0;-755.0
118;Total crude;Total for processing and transit;2015 July;5269.0;150.0;33.0;8595.0;3813.0;304.0;5269.0;5052.0;217.0;8599.0;8295.0;304.0
119;Total crude;Total for processing and transit;2015 August;5360.0;165.0;59.0;9259.0;3745.0;-379.0;5360.0;5080.0;280.0;8295.0;8674.0;-379.0
120;Total crude;Total for processing and transit;2015 September;5251.0;149.0;15.0;8657.0;3783.0;212.0;5251.0;4996.0;254.0;8674.0;8461.0;212.0
121;Total crude;Total for processing and transit;2015 3rd quarter;15880.0;467.0;107.0;26511.0;11341.0;137.0;15880.0;15129.0;751.0;8599.0;8461.0;137.0
122;Total crude;Total for processing and transit;2015 October;5420.0;151.0;38.0;8688.0;3511.0;54.0;5420.0;5235.0;186.0;8461.0;8408.0;54.0
123;Total crude;Total for processing and transit;2015 November;4639.0;175.0;-46.0;7932.0;3431.0;9.0;4639.0;4407.0;231.0;8408.0;8399.0;9.0
124;Total crude;Total for processing and transit;2015 December;5435.0;158.0;176.0;9429.0;4074.0;-254.0;5435.0;5237.0;198.0;8399.0;8653.0;-254.0
125;Total crude;Total for processing and transit;2015 4th quarter;15494.0;484.0;168.0;26048.0;11015.0;-192.0;15494.0;14879.0;615.0;8461.0;8653.0;-192.0
126;Total crude;Total for processing and transit;2016 January;5087.0;167.0;63.0;9128.0;4045.0;-225.0;5087.0;4939.0;149.0;8653.0;8878.0;-225.0
127;Total crude;Total for processing and transit;2016 February;4753.0;133.0;18.0;7893.0;3535.0;245.0;4753.0;4620.0;133.0;8878.0;8633.0;245.0
128;Total crude;Total for processing and transit;2016 March;5042.0;149.0;47.0;8307.0;3673.0;210.0;5042.0;4778.0;264.0;8633.0;8422.0;210.0
129;Total crude;Total for processing and transit;2016 1st quarter;14882.0;450.0;128.0;25327.0;11253.0;231.0;14882.0;14336.0;546.0;8653.0;8422.0;231.0
130;Total crude;Total for processing and transit;2016 April;5038.0;116.0;6.0;8212.0;3557.0;262.0;5038.0;4885.0;153.0;8422.0;8160.0;262.0
131;Total crude;Total for processing and transit;2016 May;5039.0;127.0;12.0;8762.0;3711.0;-151.0;5039.0;4804.0;235.0;8160.0;8311.0;-151.0
132;Total crude;Total for processing and transit;2016 June;5030.0;102.0;15.0;8811.0;3589.0;-309.0;5030.0;4903.0;126.0;8311.0;8620.0;-309.0
133;Total crude;Total for processing and transit;2016 2nd quarter;15106.0;345.0;32.0;25785.0;10857.0;-197.0;15106.0;14592.0;515.0;8422.0;8620.0;-197.0
134;Total crude;Total for processing and transit;2016 July;4896.0;127.0;-17.0;9054.0;3826.0;-444.0;4896.0;4743.0;153.0;8620.0;9063.0;-444.0
135;Total crude;Total for processing and transit;2016 August;5167.0;111.0;41.0;8455.0;3697.0;257.0;5167.0;4991.0;176.0;9063.0;8807.0;257.0
136;Total crude;Total for processing and transit;2016 September;5231.0;100.0;3.0;8722.0;3617.0;22.0;5231.0;5017.0;214.0;8807.0;8785.0;22.0
137;Total crude;Total for processing and transit;2016 3rd quarter;15295.0;340.0;27.0;26232.0;11139.0;-165.0;15295.0;14751.0;543.0;8620.0;8785.0;-165.0
138;Total crude;Total for processing and transit;2016 October;5493.0;142.0;45.0;8881.0;3606.0;32.0;5493.0;5277.0;216.0;8785.0;8752.0;32.0
139;Total crude;Total for processing and transit;2016 November;5378.0;135.0;40.0;8323.0;3346.0;227.0;5378.0;5202.0;176.0;8752.0;8526.0;227.0
140;Total crude;Total for processing and transit;2016 December;5463.0;146.0;66.0;8706.0;3893.0;438.0;5463.0;5267.0;196.0;8526.0;8087.0;438.0
141;Total crude;Total for processing and transit;2016 4th quarter;16334.0;423.0;150.0;25909.0;10845.0;697.0;16334.0;15746.0;588.0;8785.0;8087.0;697.0
142;Total crude;Total for processing and transit;2017 January;5534.0;138.0;108.0;9433.0;3770.0;-376.0;5534.0;5340.0;194.0;8087.0;8463.0;-376.0
143;Total crude;Total for processing and transit;2017 February;4996.0;115.0;111.0;8562.0;3429.0;-364.0;4996.0;4834.0;162.0;8463.0;8827.0;-364.0
144;Total crude;Total for processing and transit;2017 March;5545.0;125.0;-2.0;8589.0;3845.0;678.0;5545.0;5389.0;156.0;8827.0;8149.0;678.0
145;Total crude;Total for processing and transit;2017 1st quarter;16075.0;379.0;217.0;26584.0;11044.0;-62.0;16075.0;15563.0;512.0;8087.0;8149.0;-62.0
146;Total crude;Total for processing and transit;2017 April;5499.0;126.0;-8.0;9685.0;3787.0;-515.0;5499.0;5340.0;159.0;8149.0;8665.0;-515.0
147;Total crude;Total for processing and transit;2017 May;5301.0;124.0;54.0;9232.0;3780.0;-329.0;5301.0;5124.0;177.0;8665.0;8994.0;-329.0
148;Total crude;Total for processing and transit;2017 June;5285.0;92.0;0.0;9266.0;3933.0;-140.0;5285.0;5082.0;202.0;8994.0;9134.0;-140.0
149;Total crude;Total for processing and transit;2017 2nd quarter;16084.0;340.0;47.0;28183.0;11500.0;-985.0;16084.0;15546.0;538.0;8149.0;9134.0;-985.0
150;Total crude;Total for processing and transit;2017 July;5436.0;104.0;43.0;9023.0;4056.0;323.0;5436.0;5218.0;217.0;9134.0;8811.0;323.0
151;Total crude;Total for processing and transit;2017 August;4724.0;118.0;59.0;8043.0;4071.0;575.0;4724.0;4566.0;158.0;8811.0;8236.0;575.0
152;Total crude;Total for processing and transit;2017 September;4825.0;112.0;52.0;7737.0;3909.0;834.0;4825.0;4693.0;132.0;8236.0;7401.0;834.0
153;Total crude;Total for processing and transit;2017 3rd quarter;14985.0;334.0;153.0;24803.0;12036.0;1733.0;14985.0;14477.0;508.0;9134.0;7401.0;1733.0
154;Total crude;Total for processing and transit;2017 October;4682.0;128.0;24.0;8876.0;3629.0;-718.0;4682.0;4525.0;158.0;7401.0;8119.0;-718.0
155;Total crude;Total for processing and transit;2017 November;4726.0;146.0;121.0;8268.0;3756.0;-54.0;4726.0;4562.0;165.0;8119.0;8173.0;-54.0
156;Total crude;Total for processing and transit;2017 December;5136.0;136.0;119.0;8683.0;3891.0;90.0;5136.0;4968.0;168.0;8173.0;8083.0;90.0
157;Total crude;Total for processing and transit;2017 4th quarter;14545.0;410.0;264.0;25827.0;11276.0;-682.0;14545.0;14054.0;490.0;7401.0;8083.0;-682.0
158;Total crude;Total for processing and transit;2018 January;5485.0;154.0;81.0;9176.0;3758.0;-169.0;5485.0;5371.0;113.0;8083.0;8252.0;-169.0
159;Total crude;Total for processing and transit;2018 February;5218.0;154.0;88.0;8662.0;3462.0;-225.0;5218.0;5097.0;121.0;8252.0;8477.0;-225.0
160;Total crude;Total for processing and transit;2018 March;5190.0;171.0;63.0;8317.0;3295.0;-66.0;5190.0;5022.0;169.0;8477.0;8543.0;-66.0
161;Total crude;Total for processing and transit;2018 1st quarter;15893.0;480.0;233.0;26155.0;10515.0;-460.0;15893.0;15490.0;403.0;8083.0;8543.0;-460.0
162;Total crude;Total for processing and transit;2018 April;5170.0;120.0;1.0;8589.0;2918.0;-624.0;5170.0;5045.0;125.0;8543.0;9167.0;-624.0
163;Total crude;Total for processing and transit;2018 May;5269.0;124.0;42.0;9035.0;3092.0;-841.0;5269.0;5099.0;170.0;9167.0;10008.0;-841.0
164;Total crude;Total for processing and transit;2018 June;5120.0;103.0;13.0;8085.0;3552.0;471.0;5120.0;5001.0;119.0;10008.0;9537.0;471.0
165;Total crude;Total for processing and transit;2018 2nd quarter;15559.0;348.0;56.0;25710.0;9562.0;-994.0;15559.0;15145.0;414.0;8543.0;9537.0;-994.0
166;Total crude;Total for processing and transit;2018 July;5239.0;102.0;209.0;7956.0;3720.0;692.0;5239.0;5090.0;149.0;9537.0;8845.0;692.0
167;Total crude;Total for processing and transit;2018 August;5613.0;95.0;55.0;9410.0;3826.0;-122.0;5613.0;5436.0;177.0;8845.0;8967.0;-122.0
168;Total crude;Total for processing and transit;2018 September;4690.0;93.0;71.0;7518.0;3366.0;373.0;4690.0;4530.0;160.0;8967.0;8594.0;373.0
169;Total crude;Total for processing and transit;2018 3rd quarter;15542.0;292.0;334.0;24885.0;10912.0;943.0;15542.0;15056.0;486.0;9537.0;8594.0;943.0
170;Total crude;Total for processing and transit;2018 October;5000.0;138.0;105.0;8309.0;3534.0;-18.0;5000.0;4869.0;131.0;8594.0;8612.0;-18.0
171;Total crude;Total for processing and transit;2018 November;4751.0;104.0;129.0;8313.0;3510.0;-286.0;4751.0;4656.0;95.0;8612.0;8899.0;-286.0
172;Total crude;Total for processing and transit;2018 December;5846.0;115.0;91.0;8854.0;3239.0;27.0;5846.0;5724.0;122.0;8899.0;8872.0;27.0
173;Total crude;Total for processing and transit;2018 4th quarter;15597.0;357.0;325.0;25476.0;10283.0;-278.0;15597.0;15250.0;347.0;8594.0;8872.0;-278.0
174;Total crude;Total for processing and transit;2019 January;5768.0;97.0;164.0;10487.0;4731.0;-250.0;5768.0;5646.0;123.0;8872.0;9122.0;-250.0
175;Total crude;Total for processing and transit;2019 February;4864.0;88.0;9.0;9179.0;4005.0;-409.0;4864.0;4701.0;164.0;9122.0;9531.0;-409.0
176;Total crude;Total for processing and transit;2019 March;5629.0;128.0;19.0;9510.0;3572.0;-455.0;5629.0;5502.0;127.0;9531.0;9986.0;-455.0
177;Total crude;Total for processing and transit;2019 1st quarter;16261.0;315.0;192.0;29177.0;12307.0;-1114.0;16261.0;15849.0;413.0;8872.0;9986.0;-1114.0
178;Total crude;Total for processing and transit;2019 April;5138.0;93.0;89.0;7801.0;3367.0;522.0;5138.0;5031.0;108.0;9986.0;9464.0;522.0
179;Total crude;Total for processing and transit;2019 May;5179.0;83.0;154.0;8810.0;3900.0;31.0;5179.0;5052.0;127.0;9464.0;9433.0;31.0
180;Total crude;Total for processing and transit;2019 June;4433.0;86.0;120.0;7896.0;3688.0;16.0;4433.0;4340.0;93.0;9433.0;9417.0;16.0
181;Total crude;Total for processing and transit;2019 2nd quarter;14749.0;267.0;363.0;24506.0;10955.0;569.0;14749.0;14422.0;327.0;9986.0;9417.0;569.0
182;Total crude;Total for processing and transit;2019 July;5324.0;75.0;17.0;8503.0;2891.0;-380.0;5324.0;5236.0;88.0;9417.0;9798.0;-380.0
183;Total crude;Total for processing and transit;2019 August;5539.0;88.0;105.0;9452.0;4272.0;167.0;5539.0;5442.0;97.0;9798.0;9630.0;167.0
184;Total crude;Total for processing and transit;2019 September;5417.0;88.0;-60.0;8780.0;3526.0;134.0;5417.0;5285.0;131.0;9630.0;9497.0;134.0
185;Total crude;Total for processing and transit;2019 3rd quarter;16279.0;252.0;62.0;26735.0;10689.0;-80.0;16279.0;15963.0;316.0;9417.0;9497.0;-80.0
186;Total crude;Total for processing and transit;2019 October;5604.0;95.0;140.0;8148.0;3662.0;885.0;5604.0;5470.0;134.0;9497.0;8612.0;885.0
187;Total crude;Total for processing and transit;2019 November;5215.0;98.0;70.0;9573.0;3521.0;-1004.0;5215.0;5132.0;83.0;8612.0;9615.0;-1004.0
188;Total crude;Total for processing and transit;2019 December;5579.0;88.0;108.0;8969.0;3951.0;365.0;5579.0;5465.0;114.0;9615.0;9250.0;365.0
189;Total crude;Total for processing and transit;2019 4th quarter;16399.0;279.0;317.0;26691.0;11135.0;247.0;16399.0;16068.0;330.0;9497.0;9250.0;247.0
190;Total crude;Total for processing and transit;2020 January;5899.0;100.0;143.0;9134.0;3826.0;348.0;5899.0;5809.0;90.0;9250.0;8902.0;348.0
191;Total crude;Total for processing and transit;2020 February;5352.0;87.0;252.0;8676.0;3798.0;134.0;5352.0;5261.0;92.0;8902.0;8769.0;134.0
192;Total crude;Total for processing and transit;2020 March;5258.0;96.0;135.0;9118.0;4004.0;-87.0;5258.0;5166.0;92.0;8769.0;8855.0;-87.0
193;Total crude;Total for processing and transit;2020 1st quarter;16510.0;285.0;530.0;26928.0;11627.0;395.0;16510.0;16236.0;274.0;9250.0;8855.0;395.0
194;Total crude;Total for processing and transit;2020 April;4994.0;90.0;174.0;8417.0;3180.0;-506.0;4994.0;4833.0;161.0;8855.0;9362.0;-506.0
195;Total crude;Total for processing and transit;2020 May;4502.0;68.0;91.0;9026.0;2631.0;-2053.0;4502.0;4373.0;129.0;9362.0;11415.0;-2053.0
196;Total crude;Total for processing and transit;2020 June;4062.0;82.0;-54.0;6702.0;4212.0;1545.0;4062.0;3890.0;172.0;11415.0;9869.0;1545.0
