ID;Geslacht;Niveau;Leerweg;Migratieachtergrond;Perioden;MboStudenten_1
0;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;2005/'06;491721
1;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;2006/'07;505756
2;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;2007/'08;521187
3;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;2008/'09;526040
4;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;2009/'10;535759
5;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;2010/'11;545640
6;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;2011/'12;534647
7;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;2012/'13;525300
8;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;2013/'14;512202
9;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;2014/'15;491731
10;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;2015/'16;484141
11;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;2016/'17;491886
12;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;2017/'18;496259
13;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;2018/'19;506570
14;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;2019/'20;512280
15;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;2020/'21;518936
16;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;2021/'22;513136
17;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Nederlandse achtergrond;2005/'06;364109
18;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Nederlandse achtergrond;2006/'07;373162
19;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Nederlandse achtergrond;2007/'08;383028
20;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Nederlandse achtergrond;2008/'09;386627
21;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Nederlandse achtergrond;2009/'10;392152
