ID;InstitutionalSectors;DebtInstruments;CounterpartSectors;FaceValueAndMarketValue;Periods;TotalGovernmentDebt_1;GovernmentDebtInForeignCurrency_2
0;General government;Government debt (EMU);Total all sectors;Face value;1995;241459.0;
1;General government;Government debt (EMU);Total all sectors;Face value;1996;246449.0;
2;General government;Government debt (EMU);Total all sectors;Face value;1997;243270.0;
3;General government;Government debt (EMU);Total all sectors;Face value;1998;247875.0;
4;General government;Government debt (EMU);Total all sectors;Face value;1999 1st quarter;;
5;General government;Government debt (EMU);Total all sectors;Face value;1999 2nd quarter;;
6;General government;Government debt (EMU);Total all sectors;Face value;1999 3rd quarter;;
7;General government;Government debt (EMU);Total all sectors;Face value;1999 4th quarter;246600.0;
8;General government;Government debt (EMU);Total all sectors;Face value;1999;246600.0;
9;General government;Government debt (EMU);Total all sectors;Face value;2000 1st quarter;255361.0;
10;General government;Government debt (EMU);Total all sectors;Face value;2000 2nd quarter;247036.0;
11;General government;Government debt (EMU);Total all sectors;Face value;2000 3rd quarter;247141.0;
12;General government;Government debt (EMU);Total all sectors;Face value;2000 4th quarter;236233.0;
13;General government;Government debt (EMU);Total all sectors;Face value;2000;236233.0;
14;General government;Government debt (EMU);Total all sectors;Face value;2001 1st quarter;237849.0;
15;General government;Government debt (EMU);Total all sectors;Face value;2001 2nd quarter;247157.0;
16;General government;Government debt (EMU);Total all sectors;Face value;2001 3rd quarter;243925.0;
17;General government;Government debt (EMU);Total all sectors;Face value;2001 4th quarter;239037.0;
18;General government;Government debt (EMU);Total all sectors;Face value;2001;239037.0;
19;General government;Government debt (EMU);Total all sectors;Face value;2002 1st quarter;243624.0;
20;General government;Government debt (EMU);Total all sectors;Face value;2002 2nd quarter;246882.0;
21;General government;Government debt (EMU);Total all sectors;Face value;2002 3rd quarter;246076.0;
22;General government;Government debt (EMU);Total all sectors;Face value;2002 4th quarter;245253.0;
23;General government;Government debt (EMU);Total all sectors;Face value;2002;245253.0;
24;General government;Government debt (EMU);Total all sectors;Face value;2003 1st quarter;252629.0;
25;General government;Government debt (EMU);Total all sectors;Face value;2003 2nd quarter;251443.0;
26;General government;Government debt (EMU);Total all sectors;Face value;2003 3rd quarter;257349.0;
27;General government;Government debt (EMU);Total all sectors;Face value;2003 4th quarter;256822.0;
28;General government;Government debt (EMU);Total all sectors;Face value;2003;256822.0;
29;General government;Government debt (EMU);Total all sectors;Face value;2004 1st quarter;263389.0;
30;General government;Government debt (EMU);Total all sectors;Face value;2004 2nd quarter;267289.0;
31;General government;Government debt (EMU);Total all sectors;Face value;2004 3rd quarter;271687.0;
32;General government;Government debt (EMU);Total all sectors;Face value;2004 4th quarter;266661.0;
33;General government;Government debt (EMU);Total all sectors;Face value;2004;266661.0;
34;General government;Government debt (EMU);Total all sectors;Face value;2005 1st quarter;267909.0;
35;General government;Government debt (EMU);Total all sectors;Face value;2005 2nd quarter;282521.0;
36;General government;Government debt (EMU);Total all sectors;Face value;2005 3rd quarter;276313.0;
37;General government;Government debt (EMU);Total all sectors;Face value;2005 4th quarter;274598.0;
38;General government;Government debt (EMU);Total all sectors;Face value;2005;274598.0;
39;General government;Government debt (EMU);Total all sectors;Face value;2006 1st quarter;275419.0;
40;General government;Government debt (EMU);Total all sectors;Face value;2006 2nd quarter;276036.0;
41;General government;Government debt (EMU);Total all sectors;Face value;2006 3rd quarter;273409.0;
42;General government;Government debt (EMU);Total all sectors;Face value;2006 4th quarter;264472.0;
43;General government;Government debt (EMU);Total all sectors;Face value;2006;264472.0;
44;General government;Government debt (EMU);Total all sectors;Face value;2007 1st quarter;269603.0;
45;General government;Government debt (EMU);Total all sectors;Face value;2007 2nd quarter;274766.0;
46;General government;Government debt (EMU);Total all sectors;Face value;2007 3rd quarter;272239.0;
47;General government;Government debt (EMU);Total all sectors;Face value;2007 4th quarter;266545.0;
48;General government;Government debt (EMU);Total all sectors;Face value;2007;266545.0;
49;General government;Government debt (EMU);Total all sectors;Face value;2008 1st quarter;275484.0;
50;General government;Government debt (EMU);Total all sectors;Face value;2008 2nd quarter;278532.0;
51;General government;Government debt (EMU);Total all sectors;Face value;2008 3rd quarter;284034.0;
52;General government;Government debt (EMU);Total all sectors;Face value;2008 4th quarter;353866.0;
53;General government;Government debt (EMU);Total all sectors;Face value;2008;353866.0;
54;General government;Government debt (EMU);Total all sectors;Face value;2009 1st quarter;370131.0;21802.0
55;General government;Government debt (EMU);Total all sectors;Face value;2009 2nd quarter;361160.0;19456.0
56;General government;Government debt (EMU);Total all sectors;Face value;2009 3rd quarter;360691.0;17703.0
57;General government;Government debt (EMU);Total all sectors;Face value;2009 4th quarter;355057.0;16171.0
58;General government;Government debt (EMU);Total all sectors;Face value;2009;355057.0;16171.0
59;General government;Government debt (EMU);Total all sectors;Face value;2010 1st quarter;359585.0;16160.0
60;General government;Government debt (EMU);Total all sectors;Face value;2010 2nd quarter;372655.0;16814.0
61;General government;Government debt (EMU);Total all sectors;Face value;2010 3rd quarter;374439.0;14099.0
62;General government;Government debt (EMU);Total all sectors;Face value;2010 4th quarter;379043.0;14724.0
63;General government;Government debt (EMU);Total all sectors;Face value;2010;379043.0;14724.0
64;General government;Government debt (EMU);Total all sectors;Face value;2011 1st quarter;383083.0;12863.0
65;General government;Government debt (EMU);Total all sectors;Face value;2011 2nd quarter;391178.0;12074.0
66;General government;Government debt (EMU);Total all sectors;Face value;2011 3rd quarter;396899.0;12101.0
67;General government;Government debt (EMU);Total all sectors;Face value;2011 4th quarter;401579.0;11922.0
68;General government;Government debt (EMU);Total all sectors;Face value;2011;401579.0;11922.0
69;General government;Government debt (EMU);Total all sectors;Face value;2012 1st quarter;407271.0;10791.0
70;General government;Government debt (EMU);Total all sectors;Face value;2012 2nd quarter;417361.0;10578.0
71;General government;Government debt (EMU);Total all sectors;Face value;2012 3rd quarter;423367.0;9779.0
72;General government;Government debt (EMU);Total all sectors;Face value;2012 4th quarter;432723.0;9001.0
73;General government;Government debt (EMU);Total all sectors;Face value;2012;432723.0;9001.0
74;General government;Government debt (EMU);Total all sectors;Face value;2013 1st quarter;435759.0;8653.0
75;General government;Government debt (EMU);Total all sectors;Face value;2013 2nd quarter;447515.0;7970.0
76;General government;Government debt (EMU);Total all sectors;Face value;2013 3rd quarter;446725.0;7183.0
77;General government;Government debt (EMU);Total all sectors;Face value;2013 4th quarter;447293.0;4007.0
78;General government;Government debt (EMU);Total all sectors;Face value;2013;447293.0;4007.0
79;General government;Government debt (EMU);Total all sectors;Face value;2014 1st quarter;445641.0;1207.0
80;General government;Government debt (EMU);Total all sectors;Face value;2014 2nd quarter;456277.0;1205.0
81;General government;Government debt (EMU);Total all sectors;Face value;2014 3rd quarter;454726.0;1293.0
82;General government;Government debt (EMU);Total all sectors;Face value;2014 4th quarter;456083.0;1332.0
83;General government;Government debt (EMU);Total all sectors;Face value;2014;456083.0;1332.0
84;General government;Government debt (EMU);Total all sectors;Face value;2015 1st quarter;464680.0;1439.0
85;General government;Government debt (EMU);Total all sectors;Face value;2015 2nd quarter;453523.0;1377.0
86;General government;Government debt (EMU);Total all sectors;Face value;2015 3rd quarter;451711.0;1270.0
87;General government;Government debt (EMU);Total all sectors;Face value;2015 4th quarter;446274.0;1238.0
88;General government;Government debt (EMU);Total all sectors;Face value;2015;446274.0;1238.0
89;General government;Government debt (EMU);Total all sectors;Face value;2016 1st quarter;446777.0;1163.0
90;General government;Government debt (EMU);Total all sectors;Face value;2016 2nd quarter;442413.0;1137.0
91;General government;Government debt (EMU);Total all sectors;Face value;2016 3rd quarter;433617.0;1131.0
92;General government;Government debt (EMU);Total all sectors;Face value;2016 4th quarter;438495.0;1133.0
93;General government;Government debt (EMU);Total all sectors;Face value;2016;438495.0;1133.0
94;General government;Government debt (EMU);Total all sectors;Face value;2017 1st quarter;427110.0;1121.0
95;General government;Government debt (EMU);Total all sectors;Face value;2017 2nd quarter;426353.0;1028.0
96;General government;Government debt (EMU);Total all sectors;Face value;2017 3rd quarter;417885.0;932.0
97;General government;Government debt (EMU);Total all sectors;Face value;2017 4th quarter;420444.0;847.0
98;General government;Government debt (EMU);Total all sectors;Face value;2017;420444.0;847.0
99;General government;Government debt (EMU);Total all sectors;Face value;2018 1st quarter;413087.0;759.0
100;General government;Government debt (EMU);Total all sectors;Face value;2018 2nd quarter;409359.0;552.0
101;General government;Government debt (EMU);Total all sectors;Face value;2018 3rd quarter;406097.0;551.0
102;General government;Government debt (EMU);Total all sectors;Face value;2018 4th quarter;406040.0;242.0
103;General government;Government debt (EMU);Total all sectors;Face value;2018;406040.0;242.0
104;General government;Government debt (EMU);Total all sectors;Face value;2019 1st quarter;398836.0;243.0
105;General government;Government debt (EMU);Total all sectors;Face value;2019 2nd quarter;404379.0;236.0
106;General government;Government debt (EMU);Total all sectors;Face value;2019 3rd quarter;395734.0;242.0
107;General government;Government debt (EMU);Total all sectors;Face value;2019 4th quarter;395441.0;231.0
108;General government;Government debt (EMU);Total all sectors;Face value;2019;395441.0;231.0
109;General government;Government debt (EMU);Total all sectors;Face value;2020 1st quarter;404095.0;235.0
110;General government;Government debt (EMU);Total all sectors;Face value;2020 2nd quarter;442586.0;226.0
111;General government;Government debt (EMU);Total all sectors;Face value;2020 3rd quarter;442261.0;212.0
112;General government;Government debt (EMU);Total all sectors;Face value;2020 4th quarter;436123.0;199.0
113;General government;Government debt (EMU);Total all sectors;Face value;2020;436123.0;199.0
114;General government;Government debt (EMU);Total all sectors;Face value;2021 1st quarter;440700.0;208.0
115;General government;Government debt (EMU);Total all sectors;Face value;2021 2nd quarter;448677.0;201.0
116;General government;Government debt (EMU);Total all sectors;Face value;2021 3rd quarter;443873.0;201.0
117;General government;Government debt (EMU);Total all sectors;Face value;2021 4th quarter;450239.0;201.0
118;General government;Government debt (EMU);Total all sectors;Face value;2021;450239.0;201.0
119;General government;Government debt (EMU);Total all sectors;Face value;2022 1st quarter;447671.0;217.0
120;General government;Government debt (EMU);Total all sectors;Face value;2022 2nd quarter;458820.0;224.0
121;General government;Government debt (EMU);Total all sectors;Face value;2022 3rd quarter;451646.0;231.0
122;General government;Government debt (EMU);Total all sectors;Face value;2022 4th quarter;481145.0;211.0
123;General government;Government debt (EMU);Total all sectors;Face value;2022;481145.0;211.0
124;General government;Government debt (EMU);Total all sectors;Face value;2023 1st quarter;475134.0;201.0
125;General government;Government debt (EMU);Total all sectors;Face value;2023 2nd quarter;470879.0;196.0
126;General government;Government debt (EMU);Total all sectors;Face value;2023 3rd quarter;468102.0;196.0
127;General government;Government debt (EMU);Total all sectors;Face value;2023 4th quarter;482228.0;184.0
128;General government;Government debt (EMU);Total all sectors;Face value;2023;482228.0;184.0
129;General government;Government debt (EMU);Total all sectors;Face value;2024 1st quarter;476519.0;182.0
130;General government;Government debt (EMU);Total all sectors;Face value;2024 2nd quarter;475929.0;178.0
131;General government;Government debt (EMU);Total all sectors;Face value;2024 3rd quarter;470240.0;164.0
132;General government;Government debt (EMU);Total all sectors;Face value;2024 4th quarter;491585.0;168.0
133;General government;Government debt (EMU);Total all sectors;Face value;2024;491585.0;168.0
134;General government;Government debt (EMU);Total all sectors;Market value;1995;264993.0;
135;General government;Government debt (EMU);Total all sectors;Market value;1996;272084.0;
136;General government;Government debt (EMU);Total all sectors;Market value;1997;269685.0;
137;General government;Government debt (EMU);Total all sectors;Market value;1998;280414.0;
138;General government;Government debt (EMU);Total all sectors;Market value;1999 1st quarter;278377.0;
