ID;JaarImmigratie;Geslacht;Leeftijdsgroep;LandVanHerkomst;TotaalAllochtoneImmigranten_1;GeremigreerdBinnen1Jaar_2;GeremigreerdIn12Jaar_3;GeremigreerdIn23Jaar_4;GeremigreerdIn35Jaar_5;GeremigreerdInMeerDan5Jaar_6;NietGeremigreerd_7
0;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;0;78.5;8.0;9.0;6.0;7.0;15.0;54.0
1;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;1;;;;;;;
2;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;2;76.1;8.0;9.0;6.0;7.0;15.0;54.0
3;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;4;39.8;6.0;6.0;4.0;5.0;16.0;62.0
4;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;3;36.3;11.0;11.0;9.0;10.0;14.0;46.0
5;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Afghanistan;1.3;1.0;2.0;1.0;1.0;13.0;83.0
6;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Algerije;0.4;4.0;6.0;4.0;8.0;26.0;51.0
7;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Angola;0.7;2.0;7.0;4.0;6.0;32.0;49.0
8;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Argentinië;0.1;10.0;12.0;17.0;8.0;21.0;33.0
9;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Australië;0.5;22.0;15.0;12.0;15.0;17.0;19.0
10;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;België;2.1;10.0;9.0;7.0;9.0;17.0;47.0
11;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Brazilië;0.5;10.0;12.0;6.0;8.0;14.0;50.0
12;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Bulgarije;0.1;13.0;14.0;5.0;3.0;9.0;55.0
13;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Canada;0.5;18.0;17.0;12.0;13.0;17.0;23.0
14;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Chili;0.1;4.0;13.0;7.0;3.0;21.0;51.0
15;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;China;1.3;6.0;7.0;5.0;7.0;11.0;64.0
16;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Colombia;0.4;6.0;6.0;2.0;5.0;7.0;74.0
17;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Congo (DR);1.0;9.0;11.0;6.0;6.0;29.0;40.0
18;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Denemarken;0.3;21.0;16.0;16.0;11.0;17.0;20.0
19;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Dominicaanse Republiek;0.3;12.0;6.0;6.0;6.0;12.0;58.0
20;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Duitsland;6.4;12.0;12.0;9.0;11.0;17.0;40.0
21;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Egypte;0.6;6.0;10.0;8.0;7.0;9.0;60.0
22;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Ethiopië;0.5;6.0;6.0;5.0;4.0;24.0;55.0
23;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Filippijnen;0.6;15.0;14.0;5.0;5.0;7.0;53.0
24;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Frankrijk;1.5;12.0;13.0;12.0;12.0;18.0;33.0
25;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Ghana;0.4;5.0;8.0;4.0;6.0;14.0;64.0
26;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Griekenland;0.5;15.0;13.0;10.0;11.0;15.0;35.0
27;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Guyana;0.0;8.0;5.0;;11.0;11.0;65.0
28;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Hongarije;0.2;16.0;12.0;9.0;5.0;16.0;42.0
29;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Hongkong;0.2;7.0;6.0;5.0;2.0;18.0;62.0
30;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Ierland;0.4;19.0;13.0;18.0;16.0;14.0;22.0
31;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;India;0.5;15.0;10.0;7.0;9.0;14.0;45.0
32;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Indonesië;0.8;6.0;9.0;5.0;5.0;9.0;65.0
33;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Irak;2.4;1.0;3.0;2.0;2.0;18.0;74.0
34;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Iran;2.5;2.0;5.0;2.0;4.0;10.0;77.0
35;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Israël;0.3;9.0;10.0;13.0;13.0;16.0;38.0
36;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Italië;1.0;18.0;12.0;10.0;9.0;14.0;37.0
37;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Japan;1.2;20.0;13.0;16.0;25.0;18.0;7.0
38;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Kaapverdië;0.2;3.0;2.0;4.0;7.0;10.0;74.0
39;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Libanon;0.2;5.0;3.0;5.0;8.0;15.0;64.0
40;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Maleisië;0.1;7.0;9.0;6.0;12.0;17.0;49.0
41;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Marokko;3.5;3.0;4.0;2.0;3.0;8.0;81.0
42;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Nederlandse Antillen en Aruba;3.8;12.0;8.0;6.0;7.0;19.0;48.0
43;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Nieuw-Zeeland;0.2;31.0;15.0;6.0;8.0;14.0;27.0
44;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Nigeria;0.3;6.0;17.0;9.0;12.0;14.0;42.0
45;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Noorwegen;0.3;16.0;13.0;16.0;13.0;24.0;17.0
46;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Oostenrijk;0.2;16.0;11.0;9.0;10.0;16.0;38.0
47;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Pakistan;0.6;7.0;5.0;5.0;7.0;21.0;55.0
48;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Peru;0.1;5.0;8.0;7.0;5.0;8.0;66.0
49;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Polen;1.1;10.0;8.0;5.0;5.0;7.0;65.0
50;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Portugal;0.5;15.0;10.0;10.0;10.0;14.0;41.0
51;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Roemenië;0.3;24.0;7.0;3.0;2.0;9.0;55.0
52;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Sierra Leone;0.1;1.0;5.0;1.0;2.0;36.0;55.0
53;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Singapore;0.1;5.0;11.0;15.0;11.0;23.0;35.0
54;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Soedan;0.2;1.0;5.0;3.0;3.0;32.0;55.0
55;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Somalië;2.6;3.0;6.0;4.0;6.0;49.0;32.0
56;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Spanje;0.9;12.0;12.0;8.0;13.0;15.0;40.0
57;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Sri Lanka;0.6;4.0;5.0;2.0;8.0;20.0;62.0
58;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Suriname;3.0;6.0;3.0;3.0;3.0;9.0;75.0
59;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Syrië;0.3;5.0;4.0;4.0;2.0;10.0;76.0
60;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Thailand;0.4;7.0;5.0;3.0;4.0;11.0;70.0
61;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Tunesië;0.2;5.0;4.0;2.0;5.0;13.0;71.0
62;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Turkije;5.3;4.0;5.0;4.0;4.0;8.0;76.0
63;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Venezuela;0.1;8.0;17.0;2.0;5.0;15.0;53.0
64;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Verenigd Koninkrijk;3.6;12.0;17.0;14.0;14.0;18.0;24.0
65;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Vietnam;0.2;5.0;6.0;2.0;1.0;5.0;81.0
66;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Voormalig Joegoslavië;7.3;3.0;4.0;2.0;3.0;9.0;78.0
67;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Voormalig Sovjet-Unie;2.1;6.0;6.0;5.0;3.0;9.0;71.0
68;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Verenigde Staten van Amerika;2.8;13.0;21.0;15.0;13.0;16.0;22.0
69;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Voormalig Tsjecho-Slowakije;0.3;12.0;7.0;7.0;7.0;14.0;53.0
70;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Zwitserland;0.4;13.0;10.0;10.0;10.0;11.0;45.0
71;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Zuid-Afrika;0.5;20.0;18.0;8.0;11.0;12.0;31.0
72;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Zuid-Korea;0.2;6.0;15.0;12.0;23.0;16.0;28.0
73;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Zweden;0.4;17.0;19.0;17.0;14.0;9.0;24.0
74;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Onbekend;2.4;8.0;9.0;6.0;6.0;14.0;56.0
75;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Overig niet-westers;3.2;8.0;11.0;5.0;7.0;19.0;50.0
76;Jaar immigratie: 1995;Totaal mannen en vrouwen;Totaal leeftijden;Overig westers;0.5;18.0;19.0;10.0;10.0;15.0;27.0
