ID;KenmerkenVanPersonen;FiscaleBestanddelen;Populatie;Perioden;TotaalAantalPersonen_1;Tariefgroep1_2;Tariefgroep2_3;Tariefgroep3_4;Tariefgroep4_5;Tariefgroep5_6;PercentageMetBestanddeel_7;GemiddeldBedrag_8
0;Totaal personen;Belastbaar inkomen;Alle personen met inkomen;1990;10168.0;351.0;7798.0;1789.0;185.0;45.0;100.0;14.8
1;Totaal personen;Belastbaar inkomen;Alle personen met inkomen;1991;10347.0;342.0;8064.0;1706.0;182.0;52.0;100.0;15.3
2;Totaal personen;Belastbaar inkomen;Alle personen met inkomen;1992;10529.0;285.0;8373.0;1653.0;164.0;53.0;100.0;16.0
3;Totaal personen;Belastbaar inkomen;Alle personen met inkomen;1993;10616.0;304.0;8485.0;1611.0;161.0;55.0;100.0;16.1
4;Totaal personen;Belastbaar inkomen;Alle personen met inkomen;1994;10704.0;326.0;8553.0;1580.0;189.0;56.0;100.0;15.9
5;Totaal personen;Belastbaar inkomen;Alle personen met inkomen;1995;10883.0;342.0;8698.0;1572.0;212.0;60.0;100.0;16.1
6;Totaal personen;Belastbaar inkomen;Alle personen met inkomen;1996;11032.0;408.0;8795.0;1550.0;209.0;70.0;100.0;16.1
7;Totaal personen;Belastbaar inkomen;Alle personen met inkomen;1997;11202.0;408.0;8990.0;1525.0;202.0;76.0;100.0;16.5
8;Totaal personen;Belastbaar inkomen;Alle personen met inkomen;1998;11360.0;364.0;9180.0;1523.0;204.0;89.0;100.0;16.2
9;Totaal personen;Belastbaar inkomen;Alle personen met inkomen;1999;11478.0;373.0;9342.0;1461.0;205.0;96.0;100.0;17.0
10;Totaal personen;Belastbaar inkomen;Alle personen met inkomen;2000;11676.0;372.0;9585.0;1405.0;208.0;106.0;100.0;17.7
11;Totaal personen;Belastbaar inkomen;Personen tot 65 jaar met inkomen;1990;8410.0;330.0;6201.0;1652.0;183.0;45.0;100.0;15.5
12;Totaal personen;Belastbaar inkomen;Personen tot 65 jaar met inkomen;1991;8564.0;314.0;6446.0;1572.0;180.0;52.0;100.0;16.0
13;Totaal personen;Belastbaar inkomen;Personen tot 65 jaar met inkomen;1992;8711.0;255.0;6721.0;1520.0;162.0;53.0;100.0;16.7
14;Totaal personen;Belastbaar inkomen;Personen tot 65 jaar met inkomen;1993;8775.0;268.0;6818.0;1474.0;159.0;55.0;100.0;16.8
15;Totaal personen;Belastbaar inkomen;Personen tot 65 jaar met inkomen;1994;8839.0;286.0;6861.0;1448.0;188.0;56.0;100.0;16.6
16;Totaal personen;Belastbaar inkomen;Personen tot 65 jaar met inkomen;1995;8975.0;296.0;6968.0;1440.0;210.0;60.0;100.0;16.7
17;Totaal personen;Belastbaar inkomen;Personen tot 65 jaar met inkomen;1996;9093.0;360.0;7038.0;1417.0;207.0;70.0;100.0;16.8
18;Totaal personen;Belastbaar inkomen;Personen tot 65 jaar met inkomen;1997;9231.0;360.0;7201.0;1393.0;201.0;76.0;100.0;17.1
19;Totaal personen;Belastbaar inkomen;Personen tot 65 jaar met inkomen;1998;9360.0;341.0;7341.0;1387.0;202.0;89.0;100.0;16.7
20;Totaal personen;Belastbaar inkomen;Personen tot 65 jaar met inkomen;1999;9458.0;349.0;7486.0;1322.0;204.0;96.0;100.0;17.5
21;Totaal personen;Belastbaar inkomen;Personen tot 65 jaar met inkomen;2000;9630.0;349.0;7703.0;1265.0;206.0;106.0;100.0;18.3
22;Totaal personen;Belastbaar inkomen;Personen 65 jaar en ouder met inkomen;1990;1758.0;21.0;1597.0;137.0;2.0;0.0;100.0;11.4
23;Totaal personen;Belastbaar inkomen;Personen 65 jaar en ouder met inkomen;1991;1782.0;28.0;1618.0;134.0;2.0;0.0;100.0;12.0
24;Totaal personen;Belastbaar inkomen;Personen 65 jaar en ouder met inkomen;1992;1817.0;30.0;1652.0;133.0;2.0;0.0;100.0;12.7
25;Totaal personen;Belastbaar inkomen;Personen 65 jaar en ouder met inkomen;1993;1840.0;35.0;1667.0;137.0;2.0;0.0;100.0;12.9
26;Totaal personen;Belastbaar inkomen;Personen 65 jaar en ouder met inkomen;1994;1866.0;40.0;1691.0;133.0;1.0;0.0;100.0;12.7
27;Totaal personen;Belastbaar inkomen;Personen 65 jaar en ouder met inkomen;1995;1909.0;46.0;1730.0;132.0;1.0;0.0;100.0;12.9
28;Totaal personen;Belastbaar inkomen;Personen 65 jaar en ouder met inkomen;1996;1940.0;48.0;1757.0;133.0;1.0;0.0;100.0;13.1
29;Totaal personen;Belastbaar inkomen;Personen 65 jaar en ouder met inkomen;1997;1971.0;48.0;1789.0;133.0;1.0;0.0;100.0;13.6
30;Totaal personen;Belastbaar inkomen;Personen 65 jaar en ouder met inkomen;1998;2000.0;23.0;1839.0;136.0;1.0;0.0;100.0;14.0
31;Totaal personen;Belastbaar inkomen;Personen 65 jaar en ouder met inkomen;1999;2020.0;24.0;1856.0;139.0;1.0;0.0;100.0;14.5
32;Totaal personen;Belastbaar inkomen;Personen 65 jaar en ouder met inkomen;2000;2047.0;23.0;1882.0;140.0;2.0;1.0;100.0;14.9
33;Totaal personen;Belastbaar inkomen;Personen met 52 weken inkomen;1990;8720.0;206.0;6554.0;1750.0;169.0;40.0;100.0;16.6
34;Totaal personen;Belastbaar inkomen;Personen met 52 weken inkomen;1991;8986.0;214.0;6885.0;1669.0;169.0;48.0;100.0;17.1
35;Totaal personen;Belastbaar inkomen;Personen met 52 weken inkomen;1992;9195.0;174.0;7190.0;1623.0;158.0;51.0;100.0;17.7
36;Totaal personen;Belastbaar inkomen;Personen met 52 weken inkomen;1993;9300.0;198.0;7317.0;1580.0;152.0;53.0;100.0;17.8
37;Totaal personen;Belastbaar inkomen;Personen met 52 weken inkomen;1994;9377.0;215.0;7381.0;1546.0;183.0;52.0;100.0;17.6
38;Totaal personen;Belastbaar inkomen;Personen met 52 weken inkomen;1995;9548.0;238.0;7519.0;1533.0;200.0;57.0;100.0;17.7
39;Totaal personen;Belastbaar inkomen;Personen met 52 weken inkomen;1996;9740.0;295.0;7671.0;1513.0;195.0;66.0;100.0;17.7
