ID;Geslacht;Leeftijd;ZorgvormZvwZorgkosten;Perioden;PersonenMetZvwZorgkostenRelatief_1;GemiddeldeZorgkostenAllePersonen_2;GemiddeldeZorgkostenGebruikers_3;Zorgkosten50ePercentielGebruikers_4;Zorgkosten95ePercentielGebruikers_5;Zorgkosten99ePercentielGebruikers_6
0;Totaal mannen en vrouwen;10000;Totaal alle zorgvormen;2020;98.4;2564.0;2628.0;474.0;10984.0;36033.0
1;Totaal mannen en vrouwen;10000;Totaal alle zorgvormen;2021;98.5;2678.0;2741.0;536.0;11449.0;36682.0
2;Totaal mannen en vrouwen;10000;Totaal alle zorgvormen;2022;98.3;2841.0;2921.0;583.0;12246.0;37907.0
3;Totaal mannen en vrouwen;10000;Huisartsenzorg;2020;97.8;176.0;182.0;130.0;434.0;839.0
4;Totaal mannen en vrouwen;10000;Huisartsenzorg;2021;97.8;192.0;196.0;143.0;458.0;863.0
5;Totaal mannen en vrouwen;10000;Huisartsenzorg;2022;97.7;200.0;204.0;150.0;476.0;873.0
6;Totaal mannen en vrouwen;10000;Multidisciplinaire zorg;2020;59.5;38.0;65.0;15.0;339.0;512.0
7;Totaal mannen en vrouwen;10000;Multidisciplinaire zorg;2021;60.5;39.0;66.0;15.0;328.0;535.0
8;Totaal mannen en vrouwen;10000;Multidisciplinaire zorg;2022;65.8;41.0;62.0;17.0;311.0;493.0
9;Totaal mannen en vrouwen;10000;Ziekenhuiszorg;2020;54.5;1298.0;2418.0;505.0;9992.0;31924.0
10;Totaal mannen en vrouwen;10000;Ziekenhuiszorg;2021;56.7;1439.0;2553.0;541.0;10564.0;33086.0
11;Totaal mannen en vrouwen;10000;Ziekenhuiszorg;2022;58.1;1486.0;2588.0;556.0;10831.0;32960.0
12;Totaal mannen en vrouwen;10000;Farmacie;2020;64.1;281.0;457.0;107.0;1698.0;4524.0
13;Totaal mannen en vrouwen;10000;Farmacie;2021;64.7;277.0;453.0;111.0;1709.0;4495.0
14;Totaal mannen en vrouwen;10000;Farmacie;2022;65.8;295.0;480.0;113.0;1781.0;4684.0
15;Totaal mannen en vrouwen;10000;Mondzorg;2020;16.3;41.0;248.0;123.0;893.0;2190.0
16;Totaal mannen en vrouwen;10000;Mondzorg;2021;16.8;46.0;275.0;140.0;950.0;2303.0
17;Totaal mannen en vrouwen;10000;Mondzorg;2022;16.8;47.0;281.0;148.0;959.0;2303.0
18;Totaal mannen en vrouwen;10000;Geboortezorg;2020;1.7;38.0;2163.0;1942.0;4808.0;7092.0
19;Totaal mannen en vrouwen;10000;Geboortezorg;2021;1.8;40.0;2239.0;2031.0;4989.0;7373.0
20;Totaal mannen en vrouwen;10000;Geboortezorg;2022;1.7;38.0;2209.0;2024.0;5008.0;7442.0
21;Totaal mannen en vrouwen;10000;Paramedische zorg;2020;8.8;43.0;493.0;231.0;1772.0;3112.0
22;Totaal mannen en vrouwen;10000;Paramedische zorg;2021;9.7;55.0;568.0;270.0;2047.0;3535.0
23;Totaal mannen en vrouwen;10000;Paramedische zorg;2022;10.1;58.0;573.0;276.0;2062.0;3560.0
24;Totaal mannen en vrouwen;10000;Hulpmiddelen;2020;13.7;93.0;679.0;240.0;2661.0;5924.0
25;Totaal mannen en vrouwen;10000;Hulpmiddelen;2021;14.2;97.0;685.0;236.0;2673.0;6412.0
26;Totaal mannen en vrouwen;10000;Hulpmiddelen;2022;14.4;100.0;697.0;241.0;2719.0;6542.0
27;Totaal mannen en vrouwen;10000;Ziekenvervoer;2020;3.6;40.0;1101.0;792.0;2636.0;5568.0
28;Totaal mannen en vrouwen;10000;Ziekenvervoer;2021;3.8;44.0;1152.0;823.0;2765.0;5872.0
29;Totaal mannen en vrouwen;10000;Ziekenvervoer;2022;3.9;45.0;1160.0;843.0;2737.0;5764.0
30;Totaal mannen en vrouwen;10000;Buitenland;2020;0.8;12.0;1373.0;171.0;6137.0;20455.0
31;Totaal mannen en vrouwen;10000;Buitenland;2021;0.9;12.0;1306.0;152.0;6132.0;19483.0
32;Totaal mannen en vrouwen;10000;Buitenland;2022;1.4;17.0;1170.0;162.0;5338.0;17033.0
33;Totaal mannen en vrouwen;10000;Geriatrische revalidatiezorg;2020;0.3;38.0;13892.0;11754.0;33659.0;43955.0
34;Totaal mannen en vrouwen;10000;Geriatrische revalidatiezorg;2021;0.3;41.0;14125.0;12075.0;35036.0;43589.0
35;Totaal mannen en vrouwen;10000;Geriatrische revalidatiezorg;2022;0.3;43.0;14141.0;12362.0;35870.0;44512.0
36;Totaal mannen en vrouwen;10000;Geestelijke gezondheidszorg-ZPM;2020;;;;;;
37;Totaal mannen en vrouwen;10000;Geestelijke gezondheidszorg-ZPM;2021;;;;;;
38;Totaal mannen en vrouwen;10000;Geestelijke gezondheidszorg-ZPM;2022;5.1;259.0;4948.0;1828.0;17124.0;59132.0
39;Totaal mannen en vrouwen;10000;Verpleging en verzorging;2020;3.3;190.0;5814.0;2370.0;21500.0;39226.0
40;Totaal mannen en vrouwen;10000;Verpleging en verzorging;2021;3.3;186.0;5613.0;2273.0;20790.0;37668.0
41;Totaal mannen en vrouwen;10000;Verpleging en verzorging;2022;3.3;174.0;5314.0;2120.0;19801.0;35974.0
42;Totaal mannen en vrouwen;10000;Zorg zintuiglijk gehandicapten;2020;0.2;10.0;5959.0;1887.0;27985.0;42278.0
43;Totaal mannen en vrouwen;10000;Zorg zintuiglijk gehandicapten;2021;0.2;11.0;5900.0;1799.0;27845.0;42405.0
44;Totaal mannen en vrouwen;10000;Zorg zintuiglijk gehandicapten;2022;0.2;11.0;5820.0;1780.0;27491.0;42491.0
45;Totaal mannen en vrouwen;10000;Eerstelijnsverblijf;2020;0.2;17.0;7494.0;5208.0;21630.0;38048.0
