ID;Leeftijd;Perioden;TotaalLevendgeborenen_1;k_1eKind_2;k_2eKind_3;k_3eKind_4;k_4eOfVolgendeKinderen_5;TotaalOverledenen_6;OverledenMannen_7;OverledenVrouwen_8;TotaalImmigratie_9;ImmigratieMannen_10;ImmigratieVrouwen_11;TotaalEmigratie_12;EmigratieMannen_13;EmigratieVrouwen_14;TotaalMigratieSaldo_15;MigratieSaldoMannen_16;MigratieSaldoVrouwen_17
0;Totaal over alle leeftijden;2006;184394.0;82604.0;68894.0;23597.0;9299.0;135848;65228;70621;100358;50416;49942;131656;74017;57639;-31298;-23601;-7697
1;Totaal over alle leeftijden;2007;181626.0;81545.0;67784.0;22889.0;9408.0;137445;65929;71516;105610;53204;52406;129901;72610;57291;-24291;-19406;-4885
2;Totaal over alle leeftijden;2008;179636.0;80835.0;66790.0;22381.0;9631.0;139288;66851;72437;111055;56288;54767;128302;71375;56928;-17247;-15087;-2161
3;Totaal over alle leeftijden;2009;178209.0;80353.0;66067.0;21857.0;9933.0;141129;67788;73341;116160;59306;56854;126773;70259;56514;-10613;-10953;340
4;Totaal over alle leeftijden;2010;176985.0;79938.0;65497.0;21445.0;10105.0;143032;68757;74275;120113;61717;58396;125297;69244;56053;-5184;-7527;2343
5;Totaal over alle leeftijden;2011;175979.0;79774.0;65036.0;21081.0;10089.0;144920;69728;75192;122744;63377;59367;123825;68288;55536;-1081;-4911;3831
6;Totaal over alle leeftijden;2012;175316.0;79776.0;64794.0;20792.0;9954.0;146752;70740;76012;123970;64126;59844;122345;67375;54970;1625;-3249;4874
7;Totaal over alle leeftijden;2013;175090.0;79877.0;64728.0;20632.0;9853.0;148615;71795;76820;124214;64232;59982;120908;66501;54408;3306;-2269;5574
8;Totaal over alle leeftijden;2014;175295.0;80196.0;64799.0;20506.0;9793.0;150521;72906;77615;123905;64056;59849;119547;65677;53870;4358;-1621;5979
9;Totaal over alle leeftijden;2015;175795.0;80570.0;64990.0;20475.0;9759.0;152486;74082;78404;123583;63872;59711;118330;64941;53389;5253;-1069;6322
10;Totaal over alle leeftijden;2016;176542.0;81015.0;65284.0;20486.0;9757.0;154536;75343;79193;123267;63716;59551;117364;64344;53021;5903;-628;6530
11;Totaal over alle leeftijden;2017;177417.0;81414.0;65685.0;20545.0;9773.0;156437;76454;79983;122942;63546;59396;116533;63820;52713;6409;-274;6683
12;Totaal over alle leeftijden;2018;178513.0;81923.0;66153.0;20630.0;9807.0;158450;77670;80780;122629;63389;59240;115707;63308;52399;6922;81;6841
13;Totaal over alle leeftijden;2019;179657.0;82418.0;66653.0;20726.0;9860.0;160571;78981;81590;122323;63236;59087;114875;62805;52071;7448;431;7016
14;Totaal over alle leeftijden;2020;180710.0;82813.0;67145.0;20820.0;9932.0;162771;80363;82409;122026;63086;58940;114045;62319;51726;7981;767;7214
15;Totaal over alle leeftijden;2021;181688.0;83166.0;67598.0;20919.0;10005.0;165071;81816;83255;121725;62932;58793;113215;61839;51376;8510;1093;7417
16;Totaal over alle leeftijden;2022;182518.0;83410.0;68004.0;21024.0;10081.0;167481;83335;84146;121426;62775;58651;112374;61370;51004;9052;1405;7647
17;Totaal over alle leeftijden;2023;183233.0;83586.0;68351.0;21132.0;10165.0;169990;84909;85080;121149;62635;58514;111520;60899;50621;9629;1736;7893
18;Totaal over alle leeftijden;2024;183820.0;83718.0;68622.0;21234.0;10246.0;172604;86529;86075;120861;62486;58375;110666;60438;50228;10195;2048;8147
19;Totaal over alle leeftijden;2025;184281.0;83818.0;68815.0;21329.0;10319.0;175331;88201;87130;120602;62355;58247;109793;59977;49816;10809;2378;8431
20;Totaal over alle leeftijden;2026;184598.0;83864.0;68943.0;21401.0;10389.0;178142;89896;88246;120348;62222;58126;108917;59527;49389;11431;2695;8737
21;Totaal over alle leeftijden;2027;184801.0;83848.0;69046.0;21460.0;10448.0;181052;91596;89455;120085;62088;57997;108033;59079;48955;12052;3009;9042
22;Totaal over alle leeftijden;2028;184885.0;83770.0;69127.0;21495.0;10492.0;184035;93288;90746;119844;61962;57882;107144;58631;48512;12700;3331;9370
23;Totaal over alle leeftijden;2029;184836.0;83595.0;69193.0;21514.0;10534.0;187062;94963;92099;119610;61842;57768;106235;58175;48060;13375;3667;9708
24;Totaal over alle leeftijden;2030;184627.0;83319.0;69232.0;21509.0;10568.0;190111;96587;93524;119409;61734;57675;105330;57729;47601;14079;4005;10074
25;Totaal over alle leeftijden;2031;184251.0;82943.0;69227.0;21488.0;10593.0;193151;98156;94995;119173;61614;57559;104414;57268;47146;14759;4346;10413
26;Totaal over alle leeftijden;2032;183693.0;82496.0;69138.0;21450.0;10610.0;196171;99702;96468;118967;61507;57460;103506;56820;46686;15461;4687;10774
27;Totaal over alle leeftijden;2033;182955.0;82001.0;68932.0;21397.0;10625.0;199155;101206;97949;118765;61398;57367;102603;56377;46226;16162;5021;11141
28;Totaal over alle leeftijden;2034;182060.0;81493.0;68609.0;21326.0;10632.0;202037;102617;99420;118575;61299;57276;101715;55942;45773;16860;5357;11503
29;Totaal over alle leeftijden;2035;181061.0;80995.0;68192.0;21245.0;10629.0;204763;103925;100838;118385;61200;57185;100846;55521;45325;17539;5679;11860
30;Totaal over alle leeftijden;2036;180003.0;80535.0;67705.0;21151.0;10612.0;207333;105119;102213;118198;61103;57095;99994;55107;44886;18204;5996;12209
31;Totaal over alle leeftijden;2037;178960.0;80130.0;67202.0;21044.0;10584.0;209655;106144;103511;118053;61031;57022;99157;54697;44460;18896;6334;12562
32;Totaal over alle leeftijden;2038;177970.0;79795.0;66706.0;20929.0;10540.0;211714;107010;104704;117893;60942;56951;98368;54313;44055;19525;6629;12896
33;Totaal over alle leeftijden;2039;177094.0;79538.0;66266.0;20807.0;10483.0;213488;107715;105773;117732;60860;56872;97599;53935;43664;20133;6925;13208
34;Totaal over alle leeftijden;2040;176361.0;79355.0;65899.0;20684.0;10423.0;215012;108280;106733;117585;60789;56796;96887;53584;43303;20698;7205;13493
35;Totaal over alle leeftijden;2041;175804.0;79262.0;65619.0;20564.0;10359.0;216260;108700;107560;117456;60719;56737;96215;53257;42959;21241;7462;13778
36;Totaal over alle leeftijden;2042;175417.0;79247.0;65416.0;20459.0;10295.0;217271;109005;108266;117326;60647;56679;95584;52947;42637;21742;7700;14042
