ID;Perioden;AdministratieveBevolking_1;TotaalVerzekerden_2;Ziekenfondsverzekerden_3;PrivaatrechtelijkVerzekerden_4;PubliekrechtelijkVerzekerden_5;ZiektekostenVanRijkswegeGedekt_6;SaldoBevolkingVerzekerden_7;WelInGBAVerzekerdInHetBuitenland_8;NietInGBAVerzekerdInNederland_9;SaldoOnverzekerden_10
0;1995;15459;15336.0;9700;4685.0;859;92;123.0;44.0;24.0;103.0
1;1996;15530;15416.0;9776;4709.0;840;91;114.0;44.0;25.0;95.0
2;1997;15611;15460.0;9907;4658.0;807;88;151.0;41.0;26.0;136.0
3;1998;15707;15572.0;9919;4728.0;796;129;135.0;40.0;60.0;155.0
4;1999;15812;15646.0;9938;4783.0;786;139;;38.0;68.0;
5;2000;15926;;10276;;782;155;;;;
6;2001;16046;15908.0;10294;4665.0;781;168;138.0;33.0;64.0;169.0
7;2002;16149;16001.0;10176;4877.0;782;166;148.0;30.0;57.0;175.0
8;2003;16225;16030.0;10152;4848.0;880;150;195.0;27.0;46.0;214.0
9;2004;16273;16065.0;10169;4881.0;882;134;208.0;25.0;42.0;225.0
10;2005;16312;16089.0;10133;4947.0;888;121;223.0;25.0;44.0;242.0
