ID;Geslacht;Leeftijd;Diagnose;Perioden;GeslotenDBCS_1;GeopendeDBCS_2;LopendeDBCS_3
0;Totaal mannen en vrouwen;Totaal;Totaal alle diagnoses;2008;14745115.0;14787965.0;19614895.0
1;Totaal mannen en vrouwen;Totaal;Totaal alle diagnoses;2009;15227710.0;15450330.0;20320130.0
2;Totaal mannen en vrouwen;Totaal;Totaal alle diagnoses;2010;15977105.0;16178455.0;21270860.0
3;Totaal mannen en vrouwen;Totaal;Totaal alle diagnoses;2011;16976965.0;16665270.0;21943005.0
4;Totaal mannen en vrouwen;Totaal;Totaal alle diagnoses;2012;15894295.0;18419210.0;23344215.0
5;Totaal mannen en vrouwen;Totaal;Totaal alle diagnoses;2013;17535270.0;17673005.0;24993930.0
6;Totaal mannen en vrouwen;Totaal;Totaal alle diagnoses;2014;17416185.0;17415475.0;24903020.0
7;Totaal mannen en vrouwen;Totaal;Totaal alle diagnoses;2015;20285895.0;17834750.0;25321600.0
8;Totaal mannen en vrouwen;Totaal;Totaal alle diagnoses;2016;20248235.0;20311275.0;25346975.0
9;Totaal mannen en vrouwen;Totaal;Totaal alle diagnoses;2017;20363065.0;20355870.0;25450750.0
10;Totaal mannen en vrouwen;Totaal;Totaal alle diagnoses;2018;20742050.0;20856025.0;25939730.0
11;Totaal mannen en vrouwen;Totaal;Totaal alle diagnoses;2019;21197830.0;21241635.0;26435605.0
12;Totaal mannen en vrouwen;Totaal;Totaal alle diagnoses;2020;19782080.0;19606360.0;24840465.0
13;Totaal mannen en vrouwen;Totaal;Totaal alle diagnoses;2021;20569070.0;20855315.0;25909990.0
14;Totaal mannen en vrouwen;Totaal;OG Totaal oogheelkunde;2008;1759320.0;1758725.0;2244540.0
15;Totaal mannen en vrouwen;Totaal;OG Totaal oogheelkunde;2009;1721200.0;1724825.0;2210045.0
16;Totaal mannen en vrouwen;Totaal;OG Totaal oogheelkunde;2010;1777475.0;1816510.0;2305355.0
17;Totaal mannen en vrouwen;Totaal;OG Totaal oogheelkunde;2011;1921065.0;1875095.0;2398845.0
18;Totaal mannen en vrouwen;Totaal;OG Totaal oogheelkunde;2012;1721855.0;2073830.0;2556125.0
19;Totaal mannen en vrouwen;Totaal;OG Totaal oogheelkunde;2013;1931380.0;1910900.0;2743430.0
20;Totaal mannen en vrouwen;Totaal;OG Totaal oogheelkunde;2014;1885090.0;1841895.0;2668360.0
21;Totaal mannen en vrouwen;Totaal;OG Totaal oogheelkunde;2015;2096450.0;1814030.0;2609470.0
22;Totaal mannen en vrouwen;Totaal;OG Totaal oogheelkunde;2016;2077690.0;2077425.0;2590450.0
23;Totaal mannen en vrouwen;Totaal;OG Totaal oogheelkunde;2017;2104845.0;2107050.0;2619525.0
24;Totaal mannen en vrouwen;Totaal;OG Totaal oogheelkunde;2018;2153400.0;2159930.0;2674390.0
25;Totaal mannen en vrouwen;Totaal;OG Totaal oogheelkunde;2019;2233540.0;2228270.0;2749090.0
26;Totaal mannen en vrouwen;Totaal;OG Totaal oogheelkunde;2020;2010570.0;1992175.0;2507540.0
27;Totaal mannen en vrouwen;Totaal;OG Totaal oogheelkunde;2021;2188740.0;2209130.0;2705895.0
28;Totaal mannen en vrouwen;Totaal;OG1 Totaal geen pathologie;2008;135235.0;135405.0;152615.0
29;Totaal mannen en vrouwen;Totaal;OG1 Totaal geen pathologie;2009;146955.0;149470.0;166855.0
30;Totaal mannen en vrouwen;Totaal;OG1 Totaal geen pathologie;2010;162780.0;165990.0;185885.0
31;Totaal mannen en vrouwen;Totaal;OG1 Totaal geen pathologie;2011;189940.0;188410.0;211230.0
32;Totaal mannen en vrouwen;Totaal;OG1 Totaal geen pathologie;2012;141265.0;180445.0;202390.0
33;Totaal mannen en vrouwen;Totaal;OG1 Totaal geen pathologie;2013;161090.0;155535.0;217765.0
34;Totaal mannen en vrouwen;Totaal;OG1 Totaal geen pathologie;2014;148910.0;147860.0;204560.0
35;Totaal mannen en vrouwen;Totaal;OG1 Totaal geen pathologie;2015;151195.0;129050.0;187640.0
