ID;Onderzoeksgebieden;Perioden;WetenschappelijkPersoneel_1;NietWetenschappelijkPersoneel_2;UitgavenTotaal_3;Totaal_4;BrutoLoonkosten_5;OverigeExploitatiekosten_6;Investeringen_7
0;Totaal;1994;12197;12906;1581.0;1482.0;896.0;586.0;98.0
1;Totaal;1995;12021;11907;1674.0;1561.0;937.0;624.0;113.0
2;Totaal;1996;11630;11739;1756.0;1628.0;992.0;636.0;129.0
3;Totaal;1997;11645;11730;1798.0;1641.0;996.0;645.0;157.0
4;Totaal;1998;11643;11505;1805.0;1708.0;1002.0;706.0;97.0
5;Totaal;1999;11792;11348;1930.0;1806.0;1064.0;742.0;124.0
6;Totaal;2000;15069;10802;2071.0;1862.0;1131.0;731.0;209.0
7;Totaal;2001;15376;10807;2139.0;1898.0;1132.0;766.0;242.0
8;Totaal;2002;15828;10832;2312.0;2013.0;1191.0;822.0;299.0
9;Totaal;2003;16450;10758;2356.0;2073.0;1260.0;813.0;283.0
10;Landbouw;1994;728;579;114.0;107.0;47.0;60.0;7.0
11;Landbouw;1995;780;587;145.0;139.0;67.0;72.0;5.0
12;Landbouw;1996;790;597;123.0;117.0;71.0;46.0;6.0
13;Landbouw;1997;752;558;114.0;110.0;69.0;41.0;5.0
14;Landbouw;1998;695;506;115.0;111.0;66.0;45.0;4.0
15;Landbouw;1999;695;420;119.0;114.0;68.0;46.0;5.0
16;Landbouw;2000;794;350;111.0;102.0;59.0;43.0;10.0
17;Landbouw;2001;839;370;119.0;109.0;66.0;43.0;11.0
18;Landbouw;2002;853;415;130.0;119.0;68.0;51.0;11.0
19;Landbouw;2003;857;415;134.0;122.0;70.0;52.0;12.0
20;Natuur;1994;2112;1873;286.0;278.0;164.0;114.0;8.0
21;Natuur;1995;2051;1588;282.0;272.0;159.0;113.0;10.0
22;Natuur;1996;1926;1588;308.0;297.0;169.0;128.0;10.0
23;Natuur;1997;1941;1618;310.0;298.0;175.0;123.0;12.0
24;Natuur;1998;2053;1648;349.0;339.0;187.0;152.0;10.0
25;Natuur;1999;2011;1700;373.0;366.0;207.0;159.0;8.0
26;Natuur;2000;3202;1508;370.0;356.0;198.0;158.0;13.0
27;Natuur;2001;3249;1410;388.0;368.0;201.0;167.0;20.0
28;Natuur;2002;3324;1423;423.0;396.0;218.0;178.0;28.0
29;Natuur;2003;3367;1409;456.0;429.0;241.0;188.0;26.0
30;Techniek;1994;2551;1757;361.0;337.0;206.0;131.0;24.0
31;Techniek;1995;2448;1706;384.0;352.0;218.0;134.0;32.0
32;Techniek;1996;2305;1597;422.0;374.0;225.0;149.0;48.0
33;Techniek;1997;2252;1488;419.0;355.0;210.0;145.0;64.0
34;Techniek;1998;2271;1405;385.0;362.0;217.0;145.0;22.0
35;Techniek;1999;2230;1410;418.0;370.0;213.0;157.0;47.0
36;Techniek;2000;2725;1283;464.0;381.0;237.0;144.0;83.0
37;Techniek;2001;2766;1280;486.0;391.0;241.0;150.0;95.0
38;Techniek;2002;2816;1240;495.0;410.0;260.0;150.0;84.0
39;Techniek;2003;2965;1186;482.0;430.0;281.0;149.0;53.0
40;Gezondheid;1994;2964;2366;448.0;438.0;241.0;197.0;10.0
41;Gezondheid;1995;2966;2146;457.0;447.0;243.0;204.0;10.0
42;Gezondheid;1996;2884;2117;469.0;458.0;255.0;203.0;10.0
43;Gezondheid;1997;3053;2199;492.0;477.0;265.0;212.0;15.0
44;Gezondheid;1998;3056;2130;515.0;502.0;268.0;234.0;13.0
45;Gezondheid;1999;3236;1925;552.0;537.0;291.0;246.0;16.0
46;Gezondheid;2000;4166;1765;597.0;580.0;322.0;258.0;18.0
47;Gezondheid;2001;4324;1765;605.0;580.0;304.0;276.0;25.0
48;Gezondheid;2002;4496;1765;668.0;629.0;322.0;307.0;40.0
49;Gezondheid;2003;4882;1765;653.0;611.0;325.0;286.0;42.0
50;Economie;1994;570;169;62.0;48.0;35.0;13.0;14.0
51;Economie;1995;567;163;63.0;53.0;37.0;16.0;10.0
52;Economie;1996;565;170;66.0;57.0;39.0;18.0;10.0
53;Economie;1997;537;166;70.0;58.0;38.0;20.0;12.0
54;Economie;1998;557;171;70.0;60.0;39.0;21.0;10.0
55;Economie;1999;582;178;76.0;64.0;41.0;23.0;12.0
56;Economie;2000;643;204;88.0;75.0;50.0;25.0;13.0
57;Economie;2001;639;207;107.0;91.0;60.0;31.0;17.0
58;Economie;2002;805;220;119.0;93.0;65.0;28.0;26.0
59;Economie;2003;782;226;129.0;98.0;68.0;30.0;31.0
60;Rechten;1994;666;259;64.0;53.0;40.0;13.0;11.0
61;Rechten;1995;631;246;69.0;56.0;41.0;15.0;13.0
62;Rechten;1996;619;248;71.0;58.0;43.0;15.0;12.0
63;Rechten;1997;581;238;72.0;58.0;41.0;17.0;14.0
64;Rechten;1998;571;243;71.0;60.0;41.0;19.0;11.0
65;Rechten;1999;574;258;78.0;66.0;45.0;21.0;11.0
66;Rechten;2000;639;261;81.0;68.0;47.0;21.0;13.0
67;Rechten;2001;666;274;97.0;77.0;53.0;24.0;20.0
68;Rechten;2002;668;270;109.0;80.0;56.0;24.0;29.0
69;Rechten;2003;631;282;119.0;87.0;60.0;27.0;31.0
70;Gedrag en maatschappij;1994;1598;650;155.0;140.0;101.0;39.0;15.0
71;Gedrag en maatschappij;1995;1511;597;166.0;147.0;103.0;44.0;19.0
72;Gedrag en maatschappij;1996;1552;610;186.0;167.0;116.0;51.0;19.0
73;Gedrag en maatschappij;1997;1546;644;204.0;182.0;123.0;59.0;23.0
74;Gedrag en maatschappij;1998;1456;618;184.0;168.0;110.0;58.0;16.0
75;Gedrag en maatschappij;1999;1454;620;191.0;176.0;120.0;56.0;15.0
76;Gedrag en maatschappij;2000;1688;542;184.0;160.0;108.0;52.0;24.0
77;Gedrag en maatschappij;2001;1683;521;180.0;147.0;102.0;45.0;33.0
78;Gedrag en maatschappij;2002;1688;537;210.0;158.0;108.0;50.0;51.0
79;Gedrag en maatschappij;2003;1715;558;225.0;168.0;119.0;49.0;56.0
80;Taal en cultuur;1994;972;337;91.0;81.0;62.0;19.0;10.0
81;Taal en cultuur;1995;1005;304;108.0;95.0;69.0;26.0;14.0
82;Taal en cultuur;1996;938;310;112.0;99.0;73.0;26.0;13.0
83;Taal en cultuur;1997;944;325;117.0;102.0;74.0;28.0;14.0
84;Taal en cultuur;1998;931;329;116.0;105.0;74.0;31.0;11.0
85;Taal en cultuur;1999;945;321;122.0;112.0;79.0;33.0;10.0
86;Taal en cultuur;2000;1137;286;122.0;108.0;79.0;29.0;14.0
87;Taal en cultuur;2001;1125;297;132.0;113.0;81.0;32.0;20.0
88;Taal en cultuur;2002;1099;310;147.0;117.0;83.0;34.0;30.0
89;Taal en cultuur;2003;1200;314;157.0;125.0;93.0;32.0;32.0
90;Niet in te delen;1994;36;4916;;;;;
91;Niet in te delen;1995;62;4570;;;;;
92;Niet in te delen;1996;51;4502;;;;;
93;Niet in te delen;1997;39;4495;;;;;
94;Niet in te delen;1998;54;4455;;;;;
95;Niet in te delen;1999;65;4517;;;;;
96;Niet in te delen;2000;75;4603;54.0;;33.0;;21.0
97;Niet in te delen;2001;85;4683;25.0;;25.0;;
98;Niet in te delen;2002;79;4652;11.0;;11.0;;
99;Niet in te delen;2003;51;4603;2.0;;2.0;;
