ID;Geslacht;Migratieachtergrond;Onderwijssoort;Vooropleiding;Opleidingsfase;Perioden;Eerstejaarsstudenten_1
0;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2000/'01;104667.0
1;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2001/'02;105902.0
2;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2002/'03;102594.0
3;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2003/'04;109506.0
4;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2004/'05;112848.0
5;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2005/'06;114401.0
6;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2006/'07;117663.0
7;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2007/'08;121874.0
8;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2008/'09;126317.0
9;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2009/'10;134730.0
10;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2010/'11;134101.0
11;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2011/'12;135114.0
12;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2012/'13;133699.0
13;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2013/'14;143387.0
14;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2014/'15;138638.0
15;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2015/'16;132066.0
16;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2016/'17;141325.0
17;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2017/'18;151011.0
18;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2018/'19;156778.0
19;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2019/'20;159306.0
20;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2020/'21;176965.0
21;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Opleidingsfase totaal;2021/'22;164874.0
22;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2000/'01;102917.0
23;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2001/'02;103811.0
24;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2002/'03;100195.0
25;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2003/'04;106268.0
26;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2004/'05;109111.0
27;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2005/'06;110009.0
28;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2006/'07;113212.0
29;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2007/'08;117049.0
30;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2008/'09;120837.0
31;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2009/'10;128524.0
32;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2010/'11;127152.0
33;Totaal mannen en vrouwen;Totaal;Hoger onderwijs;Totaal vooropleiding;Bachelor- en doctoraalopleidingen;2011/'12;127915.0
