ID;Bedrijfsomvang;BedrijfstakkenBranchesSBI2008;Perioden;WerkzamePersonen_1;Arbeidsjaren_2;UitgavenVoorEigenRDActiviteiten_3;OndernemingenMetEigenRDActiviteiten_4
0;Totaal ;A-U Alle economische activiteiten;2011;121051.0;74011.0;6922.0;18006.0
1;Totaal ;A-U Alle economische activiteiten;2012;134123.0;78562.0;7286.0;19584.0
2;Totaal ;A Landbouw, bosbouw en visserij;2011;4698.0;2263.0;176.0;521.0
3;Totaal ;A Landbouw, bosbouw en visserij;2012;4598.0;2139.0;184.0;591.0
4;Totaal ;B-E Nijverheid (geen bouw) en energie;2011;50641.0;35138.0;4006.0;4802.0
5;Totaal ;B-E Nijverheid (geen bouw) en energie;2012;50949.0;35734.0;4163.0;4756.0
6;Totaal ;B Delfstoffenwinning;2011;124.0;114.0;29.0;24.0
7;Totaal ;B Delfstoffenwinning;2012;193.0;80.0;58.0;16.0
8;Totaal ;C Industrie;2011;49605.0;34570.0;3936.0;4627.0
9;Totaal ;C Industrie;2012;49687.0;35252.0;4068.0;4577.0
10;Totaal ;10-12 Voedings-, genotmiddelenindustrie;2011;4118.0;3082.0;382.0;486.0
11;Totaal ;10-12 Voedings-, genotmiddelenindustrie;2012;4672.0;3359.0;399.0;366.0
12;Totaal ;10 Voedingsmiddelenindustrie;2011;3807.0;2888.0;354.0;460.0
13;Totaal ;10 Voedingsmiddelenindustrie;2012;4398.0;3201.0;381.0;338.0
14;Totaal ;11 Drankenindustrie;2011;229.0;161.0;25.0;16.0
15;Totaal ;11 Drankenindustrie;2012;199.0;127.0;16.0;15.0
16;Totaal ;12 Tabaksindustrie;2011;82.0;33.0;3.0;10.0
17;Totaal ;12 Tabaksindustrie;2012;75.0;32.0;2.0;13.0
18;Totaal ;13-15 Textiel-, kleding-, lederindustrie;2011;464.0;198.0;12.0;56.0
19;Totaal ;13-15 Textiel-, kleding-, lederindustrie;2012;488.0;241.0;17.0;148.0
20;Totaal ;13 Textielindustrie;2011;367.0;180.0;11.0;41.0
21;Totaal ;13 Textielindustrie;2012;326.0;192.0;15.0;110.0
22;Totaal ;14 Kledingindustrie;2011;39.0;10.0;0.0;7.0
23;Totaal ;14 Kledingindustrie;2012;52.0;15.0;1.0;15.0
24;Totaal ;15 Leer- en schoenenindustrie;2011;58.0;9.0;1.0;8.0
25;Totaal ;15 Leer- en schoenenindustrie;2012;110.0;34.0;2.0;22.0
26;Totaal ;16+23 Hout- en bouwmaterialenindustrie;2011;1478.0;556.0;27.0;318.0
27;Totaal ;16+23 Hout- en bouwmaterialenindustrie;2012;896.0;351.0;24.0;184.0
28;Totaal ;16 Houtindustrie;2011;186.0;40.0;2.0;40.0
29;Totaal ;16 Houtindustrie;2012;240.0;54.0;3.0;73.0
30;Totaal ;17-18 Papier- en grafische industrie;2011;645.0;457.0;19.0;205.0
31;Totaal ;17-18 Papier- en grafische industrie;2012;635.0;316.0;18.0;162.0
32;Totaal ;17 Papierindustrie;2011;273.0;112.0;6.0;121.0
33;Totaal ;17 Papierindustrie;2012;415.0;166.0;12.0;97.0
34;Totaal ;18 Grafische industrie;2011;372.0;345.0;14.0;84.0
35;Totaal ;18 Grafische industrie;2012;220.0;150.0;6.0;65.0
36;Totaal ;19-22 Raffinaderijen en chemie;2011;9507.0;7918.0;1083.0;666.0
37;Totaal ;19-22 Raffinaderijen en chemie;2012;9415.0;7516.0;1081.0;680.0
38;Totaal ;19 Aardolie-industrie;2011;551.0;491.0;108.0;11.0
39;Totaal ;19 Aardolie-industrie;2012;666.0;619.0;234.0;15.0
40;Totaal ;20-21 Chemie en farmaceutische industrie;2011;7368.0;6333.0;877.0;399.0
41;Totaal ;20-21 Chemie en farmaceutische industrie;2012;6857.0;5776.0;758.0;383.0
42;Totaal ;20 Chemische industrie;2011;5426.0;4596.0;555.0;342.0
43;Totaal ;20 Chemische industrie;2012;5067.0;4224.0;501.0;315.0
44;Totaal ;21 Farmaceutische industrie;2011;1942.0;1737.0;321.0;57.0
45;Totaal ;21 Farmaceutische industrie;2012;1790.0;1551.0;257.0;68.0
46;Totaal ;22 Rubber- en kunststofproductindustrie;2011;1589.0;1093.0;98.0;256.0
47;Totaal ;22 Rubber- en kunststofproductindustrie;2012;1891.0;1122.0;89.0;282.0
48;Totaal ;23 Bouwmaterialenindustrie;2011;1291.0;516.0;25.0;278.0
49;Totaal ;23 Bouwmaterialenindustrie;2012;656.0;297.0;22.0;111.0
50;Totaal ;24-30, 33 Metaal-elektro industrie;2011;29822.0;20389.0;2303.0;2593.0
51;Totaal ;24-30, 33 Metaal-elektro industrie;2012;32146.0;22658.0;2485.0;2706.0
52;Totaal ;24-25 Basismetaal, metaalprod.-industrie;2011;4622.0;1789.0;158.0;706.0
53;Totaal ;24-25 Basismetaal, metaalprod.-industrie;2012;4726.0;1865.0;144.0;780.0
54;Totaal ;24 Basismetaalindustrie;2011;932.0;510.0;80.0;47.0
55;Totaal ;24 Basismetaalindustrie;2012;833.0;558.0;73.0;53.0
56;Totaal ;25 Metaalproductenindustrie;2011;3690.0;1279.0;78.0;659.0
57;Totaal ;25 Metaalproductenindustrie;2012;3893.0;1307.0;71.0;727.0
58;Totaal ;26-28 Elektrotechn. en machine-industrie;2011;20269.0;15512.0;1883.0;1330.0
59;Totaal ;26-28 Elektrotechn. en machine-industrie;2012;22357.0;17685.0;2070.0;1404.0
60;Totaal ;26-27 Elektrische en elektron. Industrie;2011;10811.0;8848.0;1065.0;596.0
