ID;Geslacht;Leeftijd;KenmerkenPersonen;Marges;Perioden;Rokers_1;ExRokers_2;NooitRokers_3;Drinkers_4;ExDrinkers_5;NooitDrinkers_6;ZwareDrinkersOnderDrinkers_7;OvermatigeDrinkersOnderDrinkers_8;GlazenAlcoholPerDag_9;Maximaal1GlasPerDagOnderBevolking_10;RichtlijnAlcoholgebruik12JrOfOuder_11;AfgelopenMaand_12;AfgelopenJaar_13;Ooit_14;AfgelopenMaand_15;AfgelopenJaar_16;Ooit_17;AgelopenMaand_18;AfgelopenJaar_19;Ooit_20;AfgelopenMaand_21;AfgelopenJaar_22;Ooit_23;AfgelopenMaand_24;AfgelopenJaar_25;Ooit_26;AfgelopenMaand_27;AfgelopenJaar_28;Ooit_29;AfgelopenMaand_30;AfgelopenJaar_31;Ooit_32;OpgegevenLengte18JaarOfOuder_33;OpgegevenGewicht18JaarOfOuder_34;Ondergewicht_35;NormaalGewicht_36;Overgewicht_37;MatigOvergewicht_38;ErnstigOvergewicht_39;VoldoetAanBeweegrichtlijn_40;VoldoendeMatigIntensieveInspanning_41;VoldoendeBotSpierversterkActiviteit_42;WekelijkseSporters_43;AbonnementSportaanbieder_44;LidSportvereniging_45;Inactief_46;SemiActief_47;Normactief_48;Inactief_49;SemiActief_50;Normactief_51;VoldoenAanCombinorm_52;WekelijkseSporters_53;HeeftRisicovolleSeksGehad_54;RisicoOngeplandeZwangerschap1649Jr_55;HivTest_56;SoaTestExclHivTest_57;AnticonceptiegebruikInclPil1649_58;GebruikAnticonceptiepil1649Jaar_59;k_7DagenPerWeekVoldoendeFruit_60;Minimaal5DagenPWVoldoendeFruit_61;k_7DagenPerWeekVoldoendeGroente_62;Minimaal5DagenPWVoldoendeGroente_63;Minimaal1DagPerWeek_64;Min2DagenPWWaarvan1XVetteVis_65;InDeAfgelopen5Jaar_66;LangerDan5JaarGeleden_67;Nooit_68;WeetNiet_69;InDeAfgelopen2Jaar_70;LangerDan2JaarGeleden_71;Nooit_72;WeetNiet_73;InDeAfgelopen5Jaar_74;NietInDeAfgelopen5Jaar_75;WeetNiet_76;InDeAfgelopen12Maanden_77;LangerDan12MaandenGeleden_78;Nooit_79;WeetNiet_80;InDeAfgelopen12Maanden_81;LangerDan12MaandenGeleden_82;Nooit_83;WeetNiet_84;InDeAfgelopen12Maanden_85;LangerDan12MaandenGeleden_86;Nooit_87;WeetNiet_88;InDeAfgelopen2Jaar_89;LangerDan2JaarGeleden_90;Nooit_91;WeetNiet_92;InDeAfgelopen12Maanden_93;LangerDan12MaandenGeleden_94;Nooit_95;WeetNiet_96;Griepprik16JaarOfOuder_97;Bloeddonoren18Tot70Jaar_98;Mantelzorger_99;UrenMantelzorgPerWeek_100;ZwaarBelasteMantelzorgers_101
0;Totaal mannen en vrouwen;Totaal;Totaal ;Waarde;2014/2015;24.4;29.3;46.3;77.2;11.2;11.6;11.8;11.8;1.3;41.0;40.1;;;;;;;;;;;;;;;;;;;;;;174.0;77.4;2.1;54.8;43.1;31.5;11.6;;;;;;;12.5;31.7;55.7;58.0;19.0;23.0;57.8;52.9;2.3;16.1;4.8;5.6;72.2;36.3;27.4;36.4;29.3;55.4;55.9;15.0;52.4;22.8;21.4;3.4;36.8;18.0;44.0;1.2;24.6;69.5;5.9;48.9;39.5;7.2;4.4;30.8;26.0;34.1;9.2;32.8;27.1;29.2;10.9;8.7;5.7;80.1;5.5;2.8;13.6;81.5;2.0;25.2;4.6;;;
1;Totaal mannen en vrouwen;Totaal;Totaal ;Waarde;2016/2017;22.2;30.0;47.9;76.0;11.4;12.6;11.1;11.1;1.3;42.9;42.0;4.2;6.8;20.2;1.7;4.0;9.9;0.5;1.3;4.1;0.8;2.6;7.1;0.6;1.6;4.6;0.6;1.6;5.3;5.1;8.4;21.6;174.2;77.6;2.3;54.5;43.2;31.0;12.2;45.4;51.8;78.1;53.6;21.0;24.2;12.6;31.5;55.9;58.5;18.2;23.3;57.9;54.5;2.7;;4.4;5.4;71.6;35.7;29.6;39.0;19.3;41.1;57.0;16.2;50.5;23.5;23.2;2.8;36.1;19.7;43.4;0.9;24.8;71.2;4.0;49.9;39.2;7.1;3.7;31.8;25.9;34.3;7.9;33.7;28.2;28.9;9.2;16.9;6.4;72.6;4.1;3.0;14.9;80.6;1.5;23.0;;14.4;11.1;13.4
2;Totaal mannen en vrouwen;Totaal;Totaal ;Waarde;2018/2019;20.7;30.4;48.9;75.8;11.2;13.0;11.0;10.2;1.2;43.8;42.9;4.6;7.2;22.0;2.0;4.1;10.8;0.5;1.3;4.2;1.1;2.9;7.9;0.7;1.6;5.0;0.6;1.5;6.2;5.6;9.1;23.6;174.2;78.1;2.3;53.7;44.0;31.2;12.8;47.9;53.4;81.3;53.6;23.4;23.6;;;;;;;;;2.8;;3.9;5.1;72.8;35.9;29.3;39.1;20.2;41.9;56.2;16.2;48.4;24.2;23.3;4.0;36.7;18.3;43.6;1.3;;;;50.6;37.7;6.5;5.2;33.3;25.2;30.6;10.9;34.8;26.8;26.3;12.2;22.7;6.6;64.0;6.7;3.5;15.3;79.2;2.0;23.0;;14.9;10.5;13.8
3;Totaal mannen en vrouwen;Totaal;Totaal ;Waarde;2020/2021;19.2;30.6;50.3;73.8;13.0;13.2;10.5;9.1;1.1;47.2;46.4;4.9;7.8;22.5;1.8;4.6;12.1;0.4;1.2;4.6;0.8;2.9;9.0;0.6;1.7;5.5;0.7;2.0;7.3;5.9;10.0;24.3;174.3;78.0;2.3;53.2;44.5;32.1;12.3;50.0;54.7;84.2;54.4;22.1;23.5;;;;;;;;;2.7;7.1;2.7;4.1;73.3;32.3;28.6;39.7;21.0;43.2;56.2;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.5;;12.4;12.3;13.6
4;Totaal mannen en vrouwen;Totaal;Totaal ;Ondergrens 95%-interval;2014/2015;23.7;28.6;45.6;76.6;10.7;11.1;11.3;11.2;1.3;40.3;39.3;;;;;;;;;;;;;;;;;;;;;;173.9;77.1;1.9;54.0;42.4;30.8;11.2;;;;;;;12.0;31.0;55.0;57.2;18.4;22.3;57.0;52.1;2.1;14.9;4.5;5.2;70.7;34.8;26.7;35.7;28.6;54.6;55.2;14.5;51.3;21.9;20.4;3.0;35.8;17.1;42.9;1.0;23.4;68.2;5.3;48.1;38.7;6.8;4.1;30.0;25.3;33.4;8.7;32.1;26.4;28.5;10.4;8.3;5.4;79.4;5.1;2.6;13.1;80.9;1.8;24.5;4.3;;;
5;Totaal mannen en vrouwen;Totaal;Totaal ;Ondergrens 95%-interval;2016/2017;21.5;29.3;47.1;75.3;10.9;12.1;10.5;10.5;1.2;42.1;41.3;3.9;6.4;19.6;1.5;3.7;9.4;0.4;1.2;3.8;0.7;2.4;6.7;0.5;1.4;4.3;0.5;1.4;5.0;4.8;8.0;21.0;174.0;77.4;2.1;53.7;42.5;30.3;11.7;44.7;51.1;77.5;52.8;20.4;23.6;12.1;30.8;55.1;57.8;17.6;22.6;57.1;53.7;2.5;;4.1;5.0;70.0;34.1;29.0;38.3;18.7;40.3;56.3;15.7;49.4;22.6;22.2;2.5;35.0;18.8;42.3;0.7;23.6;69.9;3.5;49.1;38.5;6.7;3.4;31.1;25.2;33.6;7.5;32.9;27.5;28.2;8.7;16.3;6.0;71.9;3.8;2.7;14.3;80.0;1.3;22.3;;13.9;10.1;12.0
6;Totaal mannen en vrouwen;Totaal;Totaal ;Ondergrens 95%-interval;2018/2019;20.1;29.7;48.2;75.2;10.8;12.5;10.5;9.7;1.2;43.0;42.1;4.3;6.8;21.4;1.8;3.8;10.3;0.4;1.1;3.9;0.9;2.6;7.5;0.6;1.4;4.6;0.5;1.4;5.8;5.2;8.7;23.0;174.1;77.8;2.1;53.0;43.3;30.5;12.3;47.2;52.6;80.8;52.9;22.8;23.0;;;;;;;;;2.6;;3.6;4.7;71.2;34.2;28.6;38.4;19.6;41.2;55.5;15.7;47.3;23.3;22.4;3.6;35.7;17.5;42.6;1.1;;;;49.8;37.0;6.1;4.9;32.6;24.5;29.9;10.4;34.0;26.1;25.6;11.7;22.0;6.2;63.2;6.4;3.2;14.7;78.6;1.8;22.3;;14.3;9.7;12.4
7;Totaal mannen en vrouwen;Totaal;Totaal ;Ondergrens 95%-interval;2020/2021;18.5;29.8;49.4;73.0;12.4;12.6;9.9;8.5;1.1;46.3;45.5;4.5;7.3;21.8;1.6;4.3;11.5;0.3;1.0;4.2;0.7;2.6;8.5;0.5;1.5;5.1;0.6;1.7;6.8;5.5;9.4;23.6;174.1;77.7;2.1;52.4;43.7;31.4;11.8;49.2;53.8;83.6;53.6;21.5;22.8;;;;;;;;;2.4;6.2;2.4;3.8;71.4;30.6;27.9;38.9;20.3;42.4;55.4;15.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.8;;11.8;11.1;12.0
8;Totaal mannen en vrouwen;Totaal;Totaal ;Bovengrens 95%-interval;2014/2015;25.1;30.0;47.1;77.8;11.6;12.1;12.4;12.3;1.4;41.8;40.8;;;;;;;;;;;;;;;;;;;;;;174.2;77.6;2.4;55.5;43.8;32.1;12.1;;;;;;;13.1;32.5;56.5;58.8;19.6;23.6;58.5;53.7;2.6;17.3;5.2;6.0;73.8;37.7;28.0;37.1;29.9;56.1;56.6;15.5;53.5;23.8;22.3;3.8;37.9;18.8;45.1;1.5;25.8;70.8;6.6;49.7;40.2;7.6;4.8;31.5;26.7;34.9;9.6;33.5;27.8;29.9;11.4;9.2;6.1;80.7;5.8;3.1;14.2;82.1;2.2;26.0;5.0;;;
9;Totaal mannen en vrouwen;Totaal;Totaal ;Bovengrens 95%-interval;2016/2017;22.8;30.7;48.6;76.6;11.9;13.1;11.6;11.6;1.3;43.7;42.8;4.5;7.2;20.8;1.9;4.3;10.3;0.6;1.5;4.4;1.0;2.9;7.4;0.7;1.8;5.0;0.8;1.8;5.7;5.5;8.8;22.2;174.4;77.9;2.6;55.2;43.9;31.7;12.7;46.1;52.5;78.7;54.3;21.6;24.9;13.1;32.3;56.6;59.3;18.8;23.9;58.7;55.2;3.0;;4.7;5.7;73.2;37.3;30.3;39.7;19.8;41.8;57.7;16.8;51.6;24.4;24.1;3.2;37.2;20.5;44.4;1.1;26.0;72.5;4.6;50.7;40.0;7.6;4.0;32.5;26.6;35.1;8.4;34.4;28.9;29.7;9.7;17.5;6.8;73.3;4.4;3.3;15.5;81.2;1.7;23.6;;15.0;12.0;14.8
