ID;InstitutioneleBeleggers;Perioden;BeleggingBuitenlandTotaal_1;DirectVastgoed_2;AandelenEnOverigeDeelnemingen_3;Schuldbewijzen_4;LanglopendeLeningen_5;OverigeBeleggingen_6
0;Totaal institutionele beleggers;1980;8.7;1.7;4.0;1.5;1.2;0.3
1;Totaal institutionele beleggers;1981;9.8;1.9;4.4;1.8;1.4;0.4
2;Totaal institutionele beleggers;1982;12.5;2.1;4.5;3.2;1.9;0.8
3;Totaal institutionele beleggers;1983;17.4;2.6;7.3;4.0;2.5;1.0
4;Totaal institutionele beleggers;1984;20.8;3.0;7.9;5.3;3.2;1.3
5;Totaal institutionele beleggers;1985;24.8;3.2;9.5;6.7;4.1;1.4
6;Totaal institutionele beleggers;1986;30.8;3.8;12.4;9.4;4.3;1.0
7;Totaal institutionele beleggers;1987;33.4;4.6;11.9;10.5;4.2;2.1
8;Totaal institutionele beleggers;1988;41.6;5.9;16.8;11.9;4.1;2.9
9;Totaal institutionele beleggers;1989;45.4;7.4;22.1;10.9;4.0;1.0
10;Totaal institutionele beleggers;1990;42.0;7.5;19.0;10.6;3.9;0.9
11;Totaal institutionele beleggers;1991;51.5;8.9;25.8;12.1;4.1;0.6
12;Totaal institutionele beleggers;1992;55.4;8.3;27.8;13.5;4.2;1.5
13;Totaal institutionele beleggers;1993;79.3;8.5;42.3;20.9;4.5;3.2
14;Totaal institutionele beleggers;1994;80.2;8.8;45.3;20.7;3.8;1.5
15;Totaal institutionele beleggers;1995;98.6;9.0;55.6;29.0;4.3;0.6
16;Totaal institutionele beleggers;1996;125.5;10.6;70.1;39.9;4.2;0.7
17;Totaal institutionele beleggers;1997;175.4;12.1;97.3;59.8;4.7;1.6
18;Totaal institutionele beleggers;1998;235.0;13.0;130.4;85.4;4.8;1.4
19;Totaal institutionele beleggers;1999;370.1;15.1;230.4;116.3;5.6;2.6
20;Totaal institutionele beleggers;2000;411.9;21.4;236.1;146.5;5.1;2.8
