ID;Geslacht;Leeftijd;Geboorteland;Herkomstland;Opleiding;EerderGedetineerd;Perioden;Gedetineerden_1
0;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal gedetineerden;2005;50650.0
1;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal gedetineerden;2006;50030.0
2;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal gedetineerden;2007;47620.0
3;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal gedetineerden;2008;45190.0
4;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal gedetineerden;2009;44050.0
5;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal gedetineerden;2010;43760.0
6;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal gedetineerden;2011;43940.0
7;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal gedetineerden;2012;42500.0
8;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal gedetineerden;2013;42700.0
9;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal gedetineerden;2014;43240.0
10;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal gedetineerden;2015;39790.0
11;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal gedetineerden;2016;35250.0
12;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal gedetineerden;2017;33540.0
13;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal gedetineerden;2018;33200.0
14;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal gedetineerden;2019;33960.0
15;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal gedetineerden;2020;27300.0
16;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal gedetineerden;2021;29370.0
17;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal gedetineerden;2022;30380.0
18;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Totaal gedetineerden;2023;30100.0
19;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Eerder gedetineerd;2005;
20;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Eerder gedetineerd;2006;
21;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Eerder gedetineerd;2007;
22;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Eerder gedetineerd;2008;
23;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Eerder gedetineerd;2009;
24;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Eerder gedetineerd;2010;
25;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Eerder gedetineerd;2011;23150.0
26;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Eerder gedetineerd;2012;23290.0
27;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Eerder gedetineerd;2013;23690.0
28;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Eerder gedetineerd;2014;25320.0
29;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Eerder gedetineerd;2015;23780.0
30;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Eerder gedetineerd;2016;21470.0
31;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Eerder gedetineerd;2017;20670.0
32;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Eerder gedetineerd;2018;20140.0
33;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Eerder gedetineerd;2019;20560.0
34;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Eerder gedetineerd;2020;16420.0
35;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Eerder gedetineerd;2021;17490.0
36;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Eerder gedetineerd;2022;17780.0
37;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Eerder gedetineerd;2023;17550.0
38;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Niet eerder gedetineerd;2005;
39;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Niet eerder gedetineerd;2006;
40;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Niet eerder gedetineerd;2007;
41;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Niet eerder gedetineerd;2008;
42;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Niet eerder gedetineerd;2009;
43;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Niet eerder gedetineerd;2010;
44;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Niet eerder gedetineerd;2011;20790.0
45;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Niet eerder gedetineerd;2012;19210.0
46;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Niet eerder gedetineerd;2013;19010.0
47;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Niet eerder gedetineerd;2014;17920.0
48;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Niet eerder gedetineerd;2015;16020.0
49;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Niet eerder gedetineerd;2016;13790.0
50;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Niet eerder gedetineerd;2017;12870.0
51;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Niet eerder gedetineerd;2018;13060.0
52;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Niet eerder gedetineerd;2019;13400.0
53;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Niet eerder gedetineerd;2020;10880.0
54;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Niet eerder gedetineerd;2021;11880.0
55;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Niet eerder gedetineerd;2022;12600.0
56;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal opleidingen;Niet eerder gedetineerd;2023;12560.0
57;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Totaal gedetineerden;2005;
58;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Totaal gedetineerden;2006;
59;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Totaal gedetineerden;2007;
60;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Totaal gedetineerden;2008;
61;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Totaal gedetineerden;2009;
62;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Totaal gedetineerden;2010;
63;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Totaal gedetineerden;2011;
64;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Totaal gedetineerden;2012;
65;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Totaal gedetineerden;2013;2580.0
66;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Totaal gedetineerden;2014;2800.0
67;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Totaal gedetineerden;2015;2530.0
68;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Totaal gedetineerden;2016;2230.0
69;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Totaal gedetineerden;2017;2000.0
70;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Totaal gedetineerden;2018;1780.0
71;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Totaal gedetineerden;2019;1670.0
72;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Totaal gedetineerden;2020;1280.0
73;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Totaal gedetineerden;2021;1360.0
74;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Totaal gedetineerden;2022;1230.0
75;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Totaal gedetineerden;2023;
76;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Eerder gedetineerd;2005;
77;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Eerder gedetineerd;2006;
78;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Eerder gedetineerd;2007;
79;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Eerder gedetineerd;2008;
80;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Eerder gedetineerd;2009;
81;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Eerder gedetineerd;2010;
82;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Eerder gedetineerd;2011;
83;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Eerder gedetineerd;2012;
84;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Eerder gedetineerd;2013;1820.0
85;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Eerder gedetineerd;2014;2040.0
86;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Eerder gedetineerd;2015;1830.0
87;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Eerder gedetineerd;2016;1630.0
88;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Eerder gedetineerd;2017;1510.0
89;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Eerder gedetineerd;2018;1360.0
90;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Eerder gedetineerd;2019;1270.0
91;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Eerder gedetineerd;2020;980.0
92;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Eerder gedetineerd;2021;1040.0
93;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Eerder gedetineerd;2022;970.0
94;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Eerder gedetineerd;2023;
95;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Niet eerder gedetineerd;2005;
96;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Niet eerder gedetineerd;2006;
97;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Niet eerder gedetineerd;2007;
98;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Niet eerder gedetineerd;2008;
99;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Niet eerder gedetineerd;2009;
100;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Niet eerder gedetineerd;2010;
101;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Niet eerder gedetineerd;2011;
102;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Niet eerder gedetineerd;2012;
103;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Niet eerder gedetineerd;2013;770.0
104;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Niet eerder gedetineerd;2014;760.0
105;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Niet eerder gedetineerd;2015;700.0
106;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Niet eerder gedetineerd;2016;600.0
107;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Niet eerder gedetineerd;2017;490.0
108;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Niet eerder gedetineerd;2018;420.0
109;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Niet eerder gedetineerd;2019;400.0
110;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Niet eerder gedetineerd;2020;310.0
111;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Niet eerder gedetineerd;2021;320.0
112;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Niet eerder gedetineerd;2022;270.0
113;Totaal mannen en vrouwen;10000;Totaal;Totaal;Basisonderwijs;Niet eerder gedetineerd;2023;
114;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Totaal gedetineerden;2005;
115;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Totaal gedetineerden;2006;
116;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Totaal gedetineerden;2007;
117;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Totaal gedetineerden;2008;
118;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Totaal gedetineerden;2009;
119;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Totaal gedetineerden;2010;
120;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Totaal gedetineerden;2011;
121;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Totaal gedetineerden;2012;
122;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Totaal gedetineerden;2013;3870.0
123;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Totaal gedetineerden;2014;4010.0
124;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Totaal gedetineerden;2015;3450.0
125;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Totaal gedetineerden;2016;3000.0
126;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Totaal gedetineerden;2017;2700.0
127;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Totaal gedetineerden;2018;2560.0
128;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Totaal gedetineerden;2019;2470.0
129;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Totaal gedetineerden;2020;1860.0
130;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Totaal gedetineerden;2021;2050.0
131;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Totaal gedetineerden;2022;2010.0
132;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Totaal gedetineerden;2023;
133;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Eerder gedetineerd;2005;
134;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Eerder gedetineerd;2006;
135;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Eerder gedetineerd;2007;
136;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Eerder gedetineerd;2008;
137;Totaal mannen en vrouwen;10000;Totaal;Totaal;Vmbo;Eerder gedetineerd;2009;
