ID;Geslacht;Leeftijdsklasse;DiagnoseIndelingBeldo;Perioden;EenjaarssterfteNa1eZiekenhuisopname_1;GecorrigeerdeEenjaarssterfte_2;AantalPersonenMet1eZiekenhuisopname_3
0;Totaal mannen en vrouwen;Alle leeftijden;Alle diagnosen;2000;4.1;2.8;720790.0
1;Totaal mannen en vrouwen;Alle leeftijden;Alle diagnosen;2001;4.0;2.7;734814.0
2;Totaal mannen en vrouwen;Alle leeftijden;Alle diagnosen;2002;3.9;2.6;773970.0
3;Totaal mannen en vrouwen;Alle leeftijden;Alle diagnosen;2003;3.8;2.5;802589.0
4;Totaal mannen en vrouwen;Alle leeftijden;Alle diagnosen;2004;3.5;2.3;834707.0
5;Totaal mannen en vrouwen;Alle leeftijden;Alle diagnosen;2005;3.4;2.2;816627.0
6;Totaal mannen en vrouwen;Alle leeftijden;1 Infectieuze en parasitaire ziekten;2000;10.3;8.6;17089.0
7;Totaal mannen en vrouwen;Alle leeftijden;1 Infectieuze en parasitaire ziekten;2001;11.2;9.5;16875.0
8;Totaal mannen en vrouwen;Alle leeftijden;1 Infectieuze en parasitaire ziekten;2002;11.3;9.6;17766.0
9;Totaal mannen en vrouwen;Alle leeftijden;1 Infectieuze en parasitaire ziekten;2003;11.8;9.9;18266.0
10;Totaal mannen en vrouwen;Alle leeftijden;1 Infectieuze en parasitaire ziekten;2004;11.4;9.6;19269.0
11;Totaal mannen en vrouwen;Alle leeftijden;1 Infectieuze en parasitaire ziekten;2005;11.1;9.2;19666.0
12;Totaal mannen en vrouwen;Alle leeftijden;1.1 Tuberculose;2000;14.2;11.9;339.0
13;Totaal mannen en vrouwen;Alle leeftijden;1.1 Tuberculose;2001;11.2;9.3;298.0
14;Totaal mannen en vrouwen;Alle leeftijden;1.1 Tuberculose;2002;13.1;11.2;299.0
15;Totaal mannen en vrouwen;Alle leeftijden;1.1 Tuberculose;2003;15.6;13.7;306.0
16;Totaal mannen en vrouwen;Alle leeftijden;1.1 Tuberculose;2004;15.6;13.4;282.0
17;Totaal mannen en vrouwen;Alle leeftijden;1.1 Tuberculose;2005;15.3;13.4;296.0
18;Totaal mannen en vrouwen;Alle leeftijden;1.2 Nekkramp;2000;7.8;7.5;548.0
19;Totaal mannen en vrouwen;Alle leeftijden;1.2 Nekkramp;2001;6.4;6.1;748.0
20;Totaal mannen en vrouwen;Alle leeftijden;1.2 Nekkramp;2002;7.7;7.4;612.0
21;Totaal mannen en vrouwen;Alle leeftijden;1.2 Nekkramp;2003;6.8;6.5;353.0
22;Totaal mannen en vrouwen;Alle leeftijden;1.2 Nekkramp;2004;7.5;7.1;293.0
23;Totaal mannen en vrouwen;Alle leeftijden;1.2 Nekkramp;2005;6.4;6.2;216.0
24;Totaal mannen en vrouwen;Alle leeftijden;1.3 Virale hepatitis;2000;7.3;6.6;314.0
25;Totaal mannen en vrouwen;Alle leeftijden;1.3 Virale hepatitis;2001;6.3;5.5;318.0
26;Totaal mannen en vrouwen;Alle leeftijden;1.3 Virale hepatitis;2002;5.9;5.3;330.0
27;Totaal mannen en vrouwen;Alle leeftijden;1.3 Virale hepatitis;2003;4.1;3.5;434.0
28;Totaal mannen en vrouwen;Alle leeftijden;1.3 Virale hepatitis;2004;2.8;2.3;409.0
29;Totaal mannen en vrouwen;Alle leeftijden;1.3 Virale hepatitis;2005;3.8;3.3;413.0
30;Totaal mannen en vrouwen;Alle leeftijden;2 Nieuwvormingen;2000;21.9;19.3;88505.0
31;Totaal mannen en vrouwen;Alle leeftijden;2 Nieuwvormingen;2001;21.8;19.3;90356.0
32;Totaal mannen en vrouwen;Alle leeftijden;2 Nieuwvormingen;2002;21.2;18.8;94171.0
33;Totaal mannen en vrouwen;Alle leeftijden;2 Nieuwvormingen;2003;20.3;17.8;98812.0
34;Totaal mannen en vrouwen;Alle leeftijden;2 Nieuwvormingen;2004;19.3;17.0;105965.0
35;Totaal mannen en vrouwen;Alle leeftijden;2 Nieuwvormingen;2005;18.5;16.1;106650.0
36;Totaal mannen en vrouwen;Alle leeftijden;2.1 Kwaadaardige nieuwvormingen;2000;32.2;29.0;58836.0
37;Totaal mannen en vrouwen;Alle leeftijden;2.1 Kwaadaardige nieuwvormingen;2001;32.1;29.0;60079.0
38;Totaal mannen en vrouwen;Alle leeftijden;2.1 Kwaadaardige nieuwvormingen;2002;31.5;28.4;62219.0
39;Totaal mannen en vrouwen;Alle leeftijden;2.1 Kwaadaardige nieuwvormingen;2003;30.2;27.1;64826.0
40;Totaal mannen en vrouwen;Alle leeftijden;2.1 Kwaadaardige nieuwvormingen;2004;29.0;26.1;69158.0
41;Totaal mannen en vrouwen;Alle leeftijden;2.1 Kwaadaardige nieuwvormingen;2005;27.6;24.6;69904.0
42;Totaal mannen en vrouwen;Alle leeftijden;2.1.1 Kw. nieuwv. van lip, mond en keel;2000;25.2;22.8;1204.0
43;Totaal mannen en vrouwen;Alle leeftijden;2.1.1 Kw. nieuwv. van lip, mond en keel;2001;24.1;21.9;1243.0
44;Totaal mannen en vrouwen;Alle leeftijden;2.1.1 Kw. nieuwv. van lip, mond en keel;2002;26.1;23.9;1284.0
45;Totaal mannen en vrouwen;Alle leeftijden;2.1.1 Kw. nieuwv. van lip, mond en keel;2003;23.5;21.2;1308.0
46;Totaal mannen en vrouwen;Alle leeftijden;2.1.1 Kw. nieuwv. van lip, mond en keel;2004;24.2;21.8;1365.0
47;Totaal mannen en vrouwen;Alle leeftijden;2.1.1 Kw. nieuwv. van lip, mond en keel;2005;22.4;20.3;1411.0
48;Totaal mannen en vrouwen;Alle leeftijden;2.1.2 Kw. nieuwv. van slokdarm;2000;67.9;64.2;1040.0
49;Totaal mannen en vrouwen;Alle leeftijden;2.1.2 Kw. nieuwv. van slokdarm;2001;67.1;63.5;1022.0
50;Totaal mannen en vrouwen;Alle leeftijden;2.1.2 Kw. nieuwv. van slokdarm;2002;66.2;62.8;1165.0
51;Totaal mannen en vrouwen;Alle leeftijden;2.1.2 Kw. nieuwv. van slokdarm;2003;68.0;64.3;1294.0
52;Totaal mannen en vrouwen;Alle leeftijden;2.1.2 Kw. nieuwv. van slokdarm;2004;62.3;58.7;1297.0
53;Totaal mannen en vrouwen;Alle leeftijden;2.1.2 Kw. nieuwv. van slokdarm;2005;62.3;58.8;1437.0
54;Totaal mannen en vrouwen;Alle leeftijden;2.1.3 Kw. nieuwv. van maag;2000;61.2;56.8;2027.0
