ID;Overheidslaag;Perioden;ActivaTotaal_1;ImmaterieleVasteActiva_2;MaterieleVasteActiva_3;LeaseActiva_4;AanOverheden_5;AanWoningcorporaties_6;AanOverigeInstellingen_7;EigenDienstonderdeelAndereSector_8;PrivaatrechtelijkeOndernemingen_9;DeelnemingenCrossBorderLease_10;GeactiveerdeTekorten_11;Voorraden_12;OpEigenDienstAndereSector_13;OpDerdenNietFinancieleInstelling_14;Kasgeldleningen_15;LiquideMiddelen_16;OverigeVorderingen_17;PassivaTotaal_18;AlgemeneReserveSaldo_19;Bestemmingsreserve_20;Voorzieningen_21;LanglopendeSchuldenOG_22;LanglopendeSchuldenRijk_23;Leaseverplichtingen_24;VerplichtingenCrossBorderLease_25;BijEigenDienstAndereSector_26;BijDerdenNietFinancieleInstelling_27;BijFinancieleInstellingen_28;BelegdeReservesEigenBedrijfsmatige_29;Kasgeldleningen_30;OverigeSchulden_31
0;Totaal lagere overheid;1998;75.3;1.5;29.0;0.7;0.0;15.0;6.1;1.3;3.8;1.6;0.2;2.7;0.1;0.2;1.4;3.5;8.3;75.3;5.7;13.9;4.3;35.4;0.4;0.4;1.6;0.0;0.2;1.6;0.6;1.9;9.8
1;Totaal lagere overheid;1999;78.0;1.5;30.0;0.8;0.0;14.1;6.6;3.4;1.7;1.9;0.2;3.1;0.1;0.2;1.5;4.0;8.8;78.0;6.1;15.6;5.3;33.9;0.4;0.4;1.9;0.1;0.2;1.6;0.6;2.1;10.5
2;Totaal lagere overheid;2000;82.2;1.5;31.2;0.9;0.0;13.2;7.9;3.5;1.8;2.1;0.2;4.2;0.0;0.3;1.9;4.7;8.7;82.2;7.9;18.9;5.8;32.7;0.6;0.5;2.1;0.1;0.1;1.3;0.7;1.2;10.9
3;Totaal lagere overheid;2001;84.5;1.6;32.8;0.9;0.1;12.3;7.3;3.7;1.9;2.2;0.2;5.6;0.0;0.3;1.3;4.8;9.6;84.5;7.9;21.1;5.6;32.1;0.4;0.4;2.2;0.3;0.2;1.2;0.6;1.2;11.7
4;Totaal lagere overheid;2002;87.0;1.7;34.9;0.9;0.0;11.2;7.3;3.7;1.9;1.9;0.3;7.2;0.0;0.4;0.8;4.4;10.4;87.0;7.7;22.5;6.1;31.9;0.5;0.5;1.9;0.2;0.2;1.6;0.9;1.7;11.7
5;Totaal lagere overheid;2003;89.5;1.7;36.6;0.9;0.0;9.7;6.8;3.6;1.9;1.7;0.2;8.6;0.1;0.3;0.6;5.6;11.0;89.5;8.0;23.5;7.6;32.2;0.5;0.5;1.7;0.1;0.4;1.8;0.9;1.5;11.3
6;Gemeenten;1998;60.9;1.1;23.0;0.0;0.0;15.0;5.3;1.2;3.3;0.0;0.2;2.6;0.1;0.1;1.0;2.0;6.1;60.9;4.6;11.7;3.1;30.9;0.4;0.0;0.0;0.0;0.1;1.2;0.6;1.4;7.3
7;Gemeenten;1999;62.2;1.1;24.0;0.0;0.0;14.1;5.6;3.3;1.2;0.0;0.2;3.0;0.1;0.1;0.8;2.1;6.5;62.2;4.9;13.2;3.6;29.5;0.4;0.0;0.0;0.1;0.1;1.1;0.6;1.3;7.9
8;Gemeenten;2000;65.1;1.0;25.1;0.0;0.0;13.2;6.5;3.5;1.3;0.0;0.2;4.1;0.0;0.2;1.3;2.4;6.2;65.1;6.3;16.0;4.0;28.0;0.6;0.0;0.0;0.1;0.1;1.0;0.7;0.7;8.2
9;Gemeenten;2001;67.6;1.0;26.5;0.0;0.0;12.3;6.3;3.7;1.3;0.0;0.2;5.5;0.0;0.2;0.9;2.2;7.5;67.6;6.3;17.6;4.3;27.4;0.4;0.0;0.0;0.3;0.1;0.9;0.6;1.0;9.2
10;Gemeenten;2002;69.8;1.1;28.3;0.0;0.0;11.2;6.2;3.7;1.2;0.0;0.3;7.2;0.0;0.2;0.5;2.0;7.9;69.8;6.0;18.7;4.8;27.3;0.5;0.0;0.0;0.2;0.1;1.3;0.8;1.7;8.9
11;Gemeenten;2003;71.8;1.0;30.0;0.0;0.0;9.7;5.5;3.6;1.2;0.0;0.1;8.6;0.0;0.1;0.3;3.0;8.6;71.8;5.9;19.5;6.2;27.5;0.5;0.0;0.0;0.1;0.2;1.5;0.8;1.4;8.5
