ID;Partij;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;Totaal_3;Mannen_4;Vrouwen_5
0;Totaal;6258521;100.0;150;135;15
1;1;545836;8.7;13;12;1
2;2;133231;2.1;3;3;0
3;3;536801;8.6;13;12;1
4;4;1824;0.0;0;0;0
5;5;173325;2.8;4;4;0
6;6;46324;0.7;1;1;0
7;7;1995352;31.9;50;46;4
8;9;22353;0.4;0;0;0
9;8;876;0.0;0;0;0
10;LU/VV;21048;0.3;0;0;0
11;Nieuw-Democratische Partij;13064;0.2;0;0;0
12;Partij Economisch Appèl;37554;0.6;0;0;0
13;PSP;189373;3.0;4;4;0
14;PvdA;1753084;28.0;43;38;5
15;SGP;143818;2.3;3;3;0
16;Volksreferendum;819;0.0;0;0;0
17;VVD;643839;10.3;16;12;4
