ID;Sex;PersonalCharacteristics;Periods;TotalPopulation15YearsOrOlder_1;LabourForce_2;EmployedPopulation_3;UnemployedPopulation_4;EconomicallyInactivePopulation_5;GrossLabourParticipation_6;NetLabourParticipation_7;UnemploymentRate_8
0;1100;1;2010;10716;7643;7137;506.0;3073;71.3;66.6;6.6
1;1100;15550;2010;1675;838;731;108.0;837;50.0;43.6;12.8
2;1100;15600;2010;3893;3603;3376;226.0;290;92.5;86.7;6.3
3;1100;15650;2010;3851;3018;2857;162.0;833;78.4;74.2;5.4
4;1100;15700;2010;1297;184;173;;1113;14.2;13.3;
5;1100;2;2010;4809;3185;2969;216.0;1624;66.2;61.7;6.8
6;1100;3;2010;2225;1523;1413;110.0;702;68.5;63.5;7.2
7;1100;4;2010;878;607;550;57.0;272;69.1;62.6;9.4
8;1100;5;2010;2803;2327;2205;123.0;476;83.0;78.7;5.3
9;3000;1;2010;5447;4184;3910;274.0;1263;76.8;71.8;6.5
10;3000;15550;2010;851;500;448;52.0;351;58.8;52.7;10.3
11;3000;15600;2010;2050;1935;1830;104.0;115;94.4;89.3;5.4
12;3000;15650;2010;1942;1632;1517;115.0;310;84.0;78.1;7.1
13;3000;15700;2010;604;117;114;;487;19.3;18.9;
14;3000;2;2010;2254;1622;1495;127.0;632;72.0;66.3;7.8
15;3000;3;2010;1165;864;809;55.0;301;74.2;69.5;6.3
16;3000;4;2010;497;329;289;40.0;167;66.3;58.3;12.1
17;3000;5;2010;1531;1368;1316;52.0;163;89.3;86.0;3.8
18;4000;1;2010;5269;3459;3227;233.0;1810;65.7;61.2;6.7
19;4000;15550;2010;824;338;282;56.0;486;41.0;34.3;16.5
20;4000;15600;2010;1843;1668;1546;122.0;175;90.5;83.9;7.3
21;4000;15650;2010;1909;1386;1340;46.0;523;72.6;70.2;3.3
22;4000;15700;2010;693;67;58;;626;9.6;8.4;
23;4000;2;2010;2556;1564;1474;89.0;992;61.2;57.7;5.7
24;4000;3;2010;1060;659;604;56.0;401;62.2;56.9;8.4
25;4000;4;2010;382;277;260;;105;72.6;68.2;
26;4000;5;2010;1272;959;888;71.0;313;75.4;69.9;7.4
