ID;Functions;Financing;Periods;HealthCareExpenditure_1
0;Total current health expenditure;Total financing of residents;1998;30737.0
1;Total current health expenditure;Total financing of residents;1999;32822.0
2;Total current health expenditure;Total financing of residents;2000;34836.0
3;Total current health expenditure;Total financing of residents;2001;38837.0
4;Total current health expenditure;Total financing of residents;2002;43344.0
5;Total current health expenditure;Total financing of residents;2003;46443.0
6;Total current health expenditure;Total financing of residents;2004;48222.0
7;Total current health expenditure;Total financing of residents;2005;50112.0
8;Total current health expenditure;Total financing of residents;2006;53080.0
9;Total current health expenditure;Total financing of residents;2007;56053.0
10;Total current health expenditure;Total financing of residents;2008;60038.0
11;Total current health expenditure;Total financing of residents;2009;62440.0
12;Total current health expenditure;Total financing of residents;2010;64910.0
13;Total current health expenditure;Total financing of residents;2011;66555.0
14;Total current health expenditure;Total financing of residents;2012;68816.0
15;Total current health expenditure;Total financing of residents;2013;69901.0
16;Total current health expenditure;Total financing of residents;2014;70964.0
17;Total current health expenditure;Total financing of residents;2015;71236.0
18;Total current health expenditure;Total financing of residents;2016;72918.0
19;Total current health expenditure;Total financing of residents;2017;74614.0
20;Total current health expenditure;Total financing of residents;2018;77553.0
21;Total current health expenditure;Total financing of residents;2019;82447.0
22;Total current health expenditure;Total financing of residents;2020;89402.0
23;Total current health expenditure;Total financing of residents;2021;96852.0
24;Total current health expenditure;Total financing of residents;2022;96820.0
25;Total current health expenditure;HF1: Government, comp. contr. schemes;1998;21286.0
26;Total current health expenditure;HF1: Government, comp. contr. schemes;1999;22501.0
27;Total current health expenditure;HF1: Government, comp. contr. schemes;2000;24050.0
28;Total current health expenditure;HF1: Government, comp. contr. schemes;2001;27043.0
29;Total current health expenditure;HF1: Government, comp. contr. schemes;2002;30332.0
30;Total current health expenditure;HF1: Government, comp. contr. schemes;2003;32586.0
31;Total current health expenditure;HF1: Government, comp. contr. schemes;2004;33079.0
32;Total current health expenditure;HF1: Government, comp. contr. schemes;2005;34288.0
33;Total current health expenditure;HF1: Government, comp. contr. schemes;2006;44454.0
34;Total current health expenditure;HF1: Government, comp. contr. schemes;2007;47126.0
35;Total current health expenditure;HF1: Government, comp. contr. schemes;2008;49637.0
36;Total current health expenditure;HF1: Government, comp. contr. schemes;2009;51937.0
37;Total current health expenditure;HF1: Government, comp. contr. schemes;2010;54120.0
38;Total current health expenditure;HF1: Government, comp. contr. schemes;2011;55016.0
39;Total current health expenditure;HF1: Government, comp. contr. schemes;2012;56506.0
40;Total current health expenditure;HF1: Government, comp. contr. schemes;2013;56722.0
41;Total current health expenditure;HF1: Government, comp. contr. schemes;2014;57538.0
42;Total current health expenditure;HF1: Government, comp. contr. schemes;2015;57972.0
43;Total current health expenditure;HF1: Government, comp. contr. schemes;2016;59201.0
44;Total current health expenditure;HF1: Government, comp. contr. schemes;2017;60951.0
45;Total current health expenditure;HF1: Government, comp. contr. schemes;2018;63675.0
46;Total current health expenditure;HF1: Government, comp. contr. schemes;2019;68267.0
47;Total current health expenditure;HF1: Government, comp. contr. schemes;2020;75960.0
48;Total current health expenditure;HF1: Government, comp. contr. schemes;2021;82251.0
49;Total current health expenditure;HF1: Government, comp. contr. schemes;2022;81551.0
50;Total current health expenditure;HF11: Government schemes;1998;1450.0
51;Total current health expenditure;HF11: Government schemes;1999;1565.0
52;Total current health expenditure;HF11: Government schemes;2000;1656.0
53;Total current health expenditure;HF11: Government schemes;2001;1852.0
54;Total current health expenditure;HF11: Government schemes;2002;2133.0
55;Total current health expenditure;HF11: Government schemes;2003;2215.0
56;Total current health expenditure;HF11: Government schemes;2004;2212.0
57;Total current health expenditure;HF11: Government schemes;2005;2507.0
58;Total current health expenditure;HF11: Government schemes;2006;2747.0
59;Total current health expenditure;HF11: Government schemes;2007;3055.0
60;Total current health expenditure;HF11: Government schemes;2008;3170.0
61;Total current health expenditure;HF11: Government schemes;2009;3347.0
62;Total current health expenditure;HF11: Government schemes;2010;3337.0
63;Total current health expenditure;HF11: Government schemes;2011;3377.0
64;Total current health expenditure;HF11: Government schemes;2012;3482.0
65;Total current health expenditure;HF11: Government schemes;2013;3479.0
66;Total current health expenditure;HF11: Government schemes;2014;3565.0
67;Total current health expenditure;HF11: Government schemes;2015;4437.0
68;Total current health expenditure;HF11: Government schemes;2016;4599.0
69;Total current health expenditure;HF11: Government schemes;2017;4600.0
70;Total current health expenditure;HF11: Government schemes;2018;4943.0
71;Total current health expenditure;HF11: Government schemes;2019;5393.0
72;Total current health expenditure;HF11: Government schemes;2020;9847.0
73;Total current health expenditure;HF11: Government schemes;2021;12896.0
74;Total current health expenditure;HF11: Government schemes;2022;9221.0
75;Total current health expenditure;HF12: Compulsory contributory schemes;1998;19836.0
76;Total current health expenditure;HF12: Compulsory contributory schemes;1999;20935.0
77;Total current health expenditure;HF12: Compulsory contributory schemes;2000;22394.0
78;Total current health expenditure;HF12: Compulsory contributory schemes;2001;25191.0
79;Total current health expenditure;HF12: Compulsory contributory schemes;2002;28199.0
80;Total current health expenditure;HF12: Compulsory contributory schemes;2003;30372.0
81;Total current health expenditure;HF12: Compulsory contributory schemes;2004;30867.0
82;Total current health expenditure;HF12: Compulsory contributory schemes;2005;31781.0
83;Total current health expenditure;HF12: Compulsory contributory schemes;2006;41708.0
84;Total current health expenditure;HF12: Compulsory contributory schemes;2007;44071.0
85;Total current health expenditure;HF12: Compulsory contributory schemes;2008;46466.0
86;Total current health expenditure;HF12: Compulsory contributory schemes;2009;48590.0
87;Total current health expenditure;HF12: Compulsory contributory schemes;2010;50783.0
88;Total current health expenditure;HF12: Compulsory contributory schemes;2011;51639.0
89;Total current health expenditure;HF12: Compulsory contributory schemes;2012;53024.0
90;Total current health expenditure;HF12: Compulsory contributory schemes;2013;53243.0
91;Total current health expenditure;HF12: Compulsory contributory schemes;2014;53973.0
92;Total current health expenditure;HF12: Compulsory contributory schemes;2015;53535.0
93;Total current health expenditure;HF12: Compulsory contributory schemes;2016;54603.0
94;Total current health expenditure;HF12: Compulsory contributory schemes;2017;56351.0
95;Total current health expenditure;HF12: Compulsory contributory schemes;2018;58731.0
96;Total current health expenditure;HF12: Compulsory contributory schemes;2019;62874.0
97;Total current health expenditure;HF12: Compulsory contributory schemes;2020;66114.0
98;Total current health expenditure;HF12: Compulsory contributory schemes;2021;69356.0
99;Total current health expenditure;HF12: Compulsory contributory schemes;2022;72331.0
100;Total current health expenditure;HF121a: Long-term care insurance;1998;8548.0
101;Total current health expenditure;HF121a: Long-term care insurance;1999;9167.0
102;Total current health expenditure;HF121a: Long-term care insurance;2000;9861.0
103;Total current health expenditure;HF121a: Long-term care insurance;2001;11100.0
104;Total current health expenditure;HF121a: Long-term care insurance;2002;12678.0
105;Total current health expenditure;HF121a: Long-term care insurance;2003;13816.0
106;Total current health expenditure;HF121a: Long-term care insurance;2004;14222.0
107;Total current health expenditure;HF121a: Long-term care insurance;2005;14652.0
108;Total current health expenditure;HF121a: Long-term care insurance;2006;15755.0
109;Total current health expenditure;HF121a: Long-term care insurance;2007;16466.0
110;Total current health expenditure;HF121a: Long-term care insurance;2008;15346.0
111;Total current health expenditure;HF121a: Long-term care insurance;2009;15775.0
112;Total current health expenditure;HF121a: Long-term care insurance;2010;16443.0
113;Total current health expenditure;HF121a: Long-term care insurance;2011;17030.0
114;Total current health expenditure;HF121a: Long-term care insurance;2012;18875.0
115;Total current health expenditure;HF121a: Long-term care insurance;2013;18534.0
116;Total current health expenditure;HF121a: Long-term care insurance;2014;18597.0
117;Total current health expenditure;HF121a: Long-term care insurance;2015;14275.0
118;Total current health expenditure;HF121a: Long-term care insurance;2016;14363.0
